IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
156,5207003,AXION GARAY (009),AV. GARAY 1302,CONSTITUCION,Capital Federal,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.627107,-58.384383
235,9902008,CORREO CONSTITUCION,BRASIL 1153,CONSTITUCION,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.627905,-58.38231792
283,9902058,CORREO SERV.ESPECIALES,AV. SAN JUAN 1349,CONSTITUCION,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.62229914,-58.3852051
1091,5149760,FARMACIA NUEVA ERA,AV. CASEROS 999,CONSTITUCION,Capital Federal,0,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,,,-34.628497,-58.377997
1817,8001003,NSA AR CONSTITUCION,LIMA 1793,CONSTITUCION,Capital Federal,1,0,1,0,Lun. a Vie. 08:00hs a 18:00hs ,Sáb. 08:00hs a 18:00hs ,,-34.62899371,-58.38154402
2167,10249630,AGENCIA SAN JOSE,SAN JOSE 1413,CONSTITUCION,Capital Federal,0,1,1,0,Lun. a Vie. 11:30hs a 18:00hs ,Sáb. 11:30hs a 17:00hs ,,-34.62494151,-58.38590737
2581,5319181,CARREFOUR EXPRESS (0486),AV. SAN JUAN 1374,CONSTITUCION,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.622384,-58.384953
2589,5319106,CARREFOUR EXPRESS (0406),SALTA 1637-39,CONSTITUCION,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.627264,-58.382849
2507,5319255,CARREFOUR EXPRESS (0585),LIMA 945,CONSTITUCION,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.61907,-58.381468
2852,8049297,MULTISERVICIOS CONSTITUCION,BRASIL 1302,CONSTITUCION,Capital Federal,1,1,1,0,Lun. a Vie. 07:00hs a 19:00hs ,Sáb. 09:00hs a 15:00hs ,,-34.628191,-58.384336
3032,12249111,LOCUTORIO LAS FRONTERAS,AV. GARAY 1263,CONSTITUCION,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 20:00hs ,,,-34.626989,-58.383795
3079,10249733,AGENCIA LA 172,AV. BRASIL 1128 LOC 88,CONSTITUCION,Capital Federal,1,1,1,0,Lun. a Vie. 06:00hs a 20:00hs ,Sáb. 06:00hs a 20:00hs ,,-34.627808,-58.380594
3372,11949271,POLIRUBRO SERENA,BRASIL 424,CONSTITUCION,Capital Federal,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 09:00hs a 17:00hs ,,-34.625393,-58.37149
3612,8859007,TELECENTRO CONSTITUCION,CONSTITUCION 1302,CONSTITUCION,Capital Federal,0,0,1,0,Lun. a Vie. 10:00hs a 21:00hs ,Sáb. 10:00hs a 21:00hs ,,-34.624696,-58.384496
3665,11649333,LOCUTORIO SOLY,BRASIL 1230,CONSTITUCION,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 20:00hs ,Sáb. 10:00hs a 20:00hs ,,-34.627974,-58.383308
4067,11949450,MAXIKIOSCO FIN DEL MUNDO,BERNARDO DE YRIGOYEN 1556,CONSTITUCION,Capital Federal,0,1,1,0,Lun. a Vie. 08:00hs a 14:00hs y 16:00hs a 22:00hs,,,-34.626832,-58.378723
4134,10249911,AGENCIA LUCK,CARLOS CALVO 995,CONSTITUCION,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.619792,-58.380074
4970,7503001,PUERTO VIRTUAL ENTRE RIOS 2,AV ENTRE RIOS 245,CONSTITUCION,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 08:30hs a 14:30hs ,,-34.612025,-58.391794
