IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
157,5207005,AXION FLORESTA (415),AV. RIVADAVIA 8201-31,FLORESTA,Capital Federal,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.63276,-58.478948
2405,8049279,SERVICIOS FLORESTA,MERCEDES 25,FLORESTA,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.633837,-58.483048
2443,7449090,PETIC-COCO,CESAR DIAZ 4398,FLORESTA,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:30hs a 20:00hs,Sáb. 09:00hs a 13:00hs y 16:30hs a 20:00hs,,-34.624814,-58.493865
2694,5319213,CARREFOUR EXPRESS (0542),SEGUROLA 279,FLORESTA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.63155,-58.485374
2715,5319004,CARREFOUR EXPRESS (0200),AV. RIVADAVIA 8421,FLORESTA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.633831,-58.481989
2744,5319306,CARREFOUR EXPRESS (0643),SEGUROLA 1441,FLORESTA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.622727,-58.496482
3893,11949401,TXV SEGUROLA,SEGUROLA 1696,FLORESTA,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.620587,-58.49928
3894,11949402,TXV BAHIA BLANCA,BAHIA BLANCA 1602,FLORESTA,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.619298,-58.491713
4382,10249954,CASA VERONESI,AV.RIVADAVIA 8311,FLORESTA,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 14:00hs y 17:00hs a 20:00hs,Sáb. 10:00hs a 14:00hs y 17:00hs a 20:00hs,,-34.633484,-58.480601
5078,12649009,LA RUEDA DE LA FORTUNA,RIVADAVIA 8156,FLORESTA,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-34.63302,-58.478403
5454,8749232,LOCUTORIO AVELLANEDA,JOAQUIN V GONZALEZ 471,FLORESTA,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.627845,-58.481177
