IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
85,7549116,POLIRUBRO LA BOINA,VARELA 642,FLORES,Capital Federal,0,1,1,0,Lun. a Vie. 08:00hs a 20:30hs ,Sáb. 08:00hs a 20:30hs ,,-34.63677547,-58.46118973
77,7249020,REGALERIA ARICUER,VARELA 922,FLORES,Capital Federal,1,1,1,0,Lun. a Vie. 08:15hs a 13:30hs y 14:30hs a 20:00hs,Sáb. 09:15hs a 13:30hs y 17:00hs a 20:00hs,,-34.639719,-58.458325
1154,7049383,POLIRUBRO POTENZONI,PAEZ 3199,FLORES,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-34.622883,-58.477265
1317,7049665,MAXIKIOSCO JAZMIN,ALVAREZ JONTE 3792,FLORES,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-34.61387565,-58.4944941
2002,8049234,SERVICIOS ANNA FRANK (DIRECTORIO),AV. DIRECTORIO 1602,FLORES,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.630232,-58.450165
1861,8849999,LOCUTORIO JOSEPHINA,AV. PEDERNERA 147,FLORES,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 19:30hs ,,,-34.63087022,-58.46329637
2340,12249070,NSA LOCUTORIO BONORINO NSA,E. BONONORINO 1750,FLORES,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 08:00hs a 21:00hs ,Dom. 08:00hs a 21:00hs ,-34.64467125,-58.44578722
2550,5319270,CARREFOUR EXPRESS (0600),DIRECTORIO 3960,FLORES,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.640994,-58.479398
2593,5319110,CARREFOUR EXPRESS (0411),AV. EVA PERON 3479,FLORES,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.644728,-58.46464
2599,5319116,CARREFOUR EXPRESS (0417),F. CAYETANO 464,FLORES,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.624623,-58.464493
2888,12049528,MAXIKIOSKO SIKY S,ARTIGAS 1074,FLORES,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 15:00hs a 20:00hs,Sáb. 09:00hs a 19:00hs ,,-34.618421,-58.468942
