IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
134,9649002,CLUB ATLETICO BOCA JUNIORS,BRANDSEN 805,LA BOCA,Capital Federal,0,1,1,0,Lun. a Vie. 14:00hs a 18:00hs ,,,-34.63622224,-58.36375447
272,9902046,CORREO LA BOCA,AV. ALTE BROWN 780,LA BOCA,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.63180639,-58.36130488
1550,7049877,AGENCIA ATALAYA I,AV. REGIMIENTO PATRICIOS 146,LA BOCA,Capital Federal,0,1,1,0,Lun. a Vie. 08:30hs a 20:00hs ,Sáb. 09:00hs a 18:00hs ,,-34.6311718,-58.37045776
2390,8049278,NSA LA BOCA,AV. ALTE. BROWN 1106,LA BOCA,Capital Federal,0,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,Sáb. 10:00hs a 14:00hs ,,-34.634606,-58.359343
2578,5319099,CARREFOUR EXPRESS (0695),ALTE. BROWN 261,LA BOCA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-34.628686,-58.366097
2601,5319118,CARREFOUR EXPRESS (0419),OLAVARRIA 469,LA BOCA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.636515,-58.359419
2502,5319250,CARREFOUR EXPRESS (0579),AV. ALMIRANTE BROWN 795,LA BOCA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.631935,-58.36105
2710,5319228,CARREFOUR EXPRESS (0557),ARZOBISPO ESPINOSA 1187,LA BOCA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.609678,-58.453033
2738,5319235,CARREFOUR EXPRESS (0697),GABOTO 420,LA BOCA,Capital Federal,0,0,1,0,Lun. a Vie. 08:30hs a 22:00hs ,Sáb. 08:30hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.586643,-58.427004
6726,,NSA AR LA BOCA,AV. ALMIRANTE G. BROWN  1102,LA BOCA,Capital Federal,1,0,0,0,Lun. a Vie. 0900 A 1800,Sáb. 0900 A 1800,,-34.634568,-58.359366
5576,8149508,ATM BASE LA BOCA,AV. REGIMIENTO PATRICIOS 447,LA BOCA,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 17:00hs ,,,-34.634152,-58.370306
