IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
38,5149530,FARMACIA SANTA ROSA (CF),CAAGUAZU 6299,LINIERS,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 12:15hs y 15:30hs a 19:30hs,Sáb. 09:00hs a 11:30hs ,,-34.645216,-58.516565
1245,5207105,AXION EMILIO CASTRO (967),EMILIO CASTRO 6512,LINIERS,Capital Federal,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.65075833,-58.51271247
1966,90001065,C.S. CARREFOUR VELEZ SARFIELD,AV. ALVAREZ JONTE 6383,LINIERS,Capital Federal,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,,-34.63355522,-58.520989
2242,6549064,VEROPTICA,ALBARINO 477,LINIERS,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-34.643137,-58.497259
2129,12049241,EL AGUANTE,MONTIEL 28,LINIERS,Capital Federal,1,1,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 08:00hs a 19:00hs ,,-34.63962527,-58.52624659
2446,12249079,LOCUTORIO ICARDI,IBARROLA 7194,LINIERS,Capital Federal,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,Dom. 08:00hs a 20:00hs ,-34.641714,-58.527432
2521,5319265,CARREFOUR EXPRESS (0595),COSQUIN 78-80,LINIERS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.639908,-58.523616
2972,5319327,CARREFOUR EXPRESS (658),LARRAZABAL 265,LINIERS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.642148,-58.513917
2687,5319290,CARREFOUR EXPRESS (0625),MONTIEL 1061,LINIERS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.650881,-58.52567
3493,5319377,CARREFOUR EXPRESS (727),MONTIEL 168,LINIERS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 11:00hs a 20:00hs ,Dom. 11:00hs a 20:00hs ,-34.6410971,-58.526266599
3494,5319377,CARREFOUR EXPRESS (727),MONTIEL 168,LINIERS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 11:00hs a 20:00hs ,Dom. 11:00hs a 20:00hs ,-34.641073,-58.526236
3539,5319383,CARREFOUR EXPRESS (0726),LISANDRO DE LA TORRE 199,LINIERS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.641338,-58.520981
3672,11949344,PEPERLA,MADERO 106,LINIERS,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 16:00hs ,Sáb. 09:00hs a 15:00hs ,,-34.637878,-58.525221
