IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
94,10249005,AGENCIA VERONESI,LISANDRO DE LA TORRE 2201,MATADEROS,Capital Federal,0,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 08:00hs a 19:00hs ,,-34.660464,-58.503032
241,9902014,CORREO MATADEROS,JUAN B. ALBERDI 5924,MATADEROS,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.65280584,-58.50336708
1373,10249399,AGENCIA LA QUINIELA,AV. JUAN B. ALBERDI 5669,MATADEROS,Capital Federal,1,1,1,0,Lun. a Vie. 08:30hs a 17:00hs ,,,-34.65030171,-58.50101271
2068,90001113,C.S. CARREFOUR MATADEROS,AV. GRAL PAZ 12950,MATADEROS,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,Dom. 10:00hs a 14:00hs ,-34.6644,-58.5142
2354,9749176,MEGAKIOSCO JOACO,MONTIEL 3173,MATADEROS,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 18:00hs ,,-34.67159327,-58.50075202
2553,5319273,CARREFOUR EXPRESS (0605),J. B. ALBERDI 7071,MATADEROS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.659406,-58.512995
2588,5319105,CARREFOUR EXPRESS (0405),J. B. ALBERDI 5719-23,MATADEROS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.650642,-58.501486
2680,5319205,CARREFOUR EXPRESS (0534),MARTINIANO LEGUIZAMON 1576,MATADEROS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.653398,-58.50714
2973,5319328,CARREFOUR EXPRESS (667),DIRECTORIO 4989,MATADEROS,Capital Federal,0,0,1,0,Lun. a Vie. 08:30hs a 22:00hs ,Sáb. 08:30hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.650742,-58.490912
2991,5319351,CARREFOUR EXPRESS (680),CARHUE 1427,MATADEROS,Capital Federal,0,0,1,0,Lun. a Vie. 07:30hs a 21:00hs ,Sáb. 07:30hs a 21:00hs ,Dom. 11:00hs a 20:30hs ,-34.653948,-58.518926
