IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
88,8104001,EL SURCO,AV. DE MAYO 701 PISO 19,MONSERRAT,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 18:00hs ,,,-34.608728,-58.376469
108,11149028,ESTUDIO POLICREDITO,PIEDRAS 77 PISO 11,MONSERRAT,Capital Federal,0,1,1,0,Lun. a Vie. 09:30hs a 18:00hs ,,,-34.60919517,-58.37787692
111,90001013,C.S. PERU,PERU 139,MONSERRAT,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:30hs ,,-34.60976129,-58.37500718
273,9902047,CORREO MONSERRAT,AV. ENTRE RIOS 452,MONSERRAT,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.61434259,-58.39153953
888,8949143,TELECENTRO LIMA,LIMA 625,MONSERRAT,Capital Federal,0,1,1,0,Lun. a Vie. 09:30hs a 19:30hs ,Sáb. 10:30hs a 19:00hs ,,-34.61559439,-58.38162745
1836,11849090,FARMACIA SOY MAGA SOY FARMA,AV. DE MAYO 892-900,MONSERRAT,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.60895596,-58.3791269
2649,5319183,CARREFOUR EXPRESS (0488),AV. BELGRANO 1562,MONSERRAT,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.613622,-58.388392
2494,5319242,CARREFOUR EXPRESS (0571),TACUARI 89,MONSERRAT,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.609384,-58.379173
2505,5319253,CARREFOUR EXPRESS (0583),AV. DE MAYO 1241,MONSERRAT,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.609209,-58.384005
2514,5319259,CARREFOUR EXPRESS (0589),PERU 487,MONSERRAT,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.613654,-58.374699
