IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
161,5207010,AXION GENERAL PAZ C.F (447),AV. GRAL PAZ 11200,MONTECASTRO,Capital Federal,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.646164,-58.528189
240,9902013,CORREO LINIERS,AV. RIVADAVIA 11256,MONTECASTRO,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.63908959,-58.52299971
274,9902048,CORREO MONTECASTRO,ALVAREZ JONTE 5150,MONTECASTRO,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.62265863,-58.509763
1456,7049785,KIOSCO JUAN JOSE,BERMUDEZ 1840,MONTECASTRO,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.62145945,-58.50740382
1815,12049093,FANELLI,AV. LOPE DE VEGA 1893,MONTECASTRO,Capital Federal,0,1,1,0,Lun. a Vie. 07:00hs a 22:00hs ,Sáb. 07:00hs a 22:00hs ,,-34.62263825,-58.5138055
2777,5319030,CARREFOUR EXPRESS (0314),SEGUROLA 2344,MONTECASTRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.614747,-58.505577
2791,5319042,CARREFOUR EXPRESS (0326),JONTE 4872,MONTECASTRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.620142,-58.50666
3191,12249121,LOCUTORIO JR,ALVAREZ JONTE Y LOPE DE VEGA,MONTECASTRO,Capital Federal,1,1,1,0,Lun. a Vie. 08:30hs a 19:00hs ,Sáb. 08:30hs a 19:00hs ,,-34.624299,-58.511646
2997,5319355,CARREFOUR EXPRESS (733),LISANDRO DE LATORRE 790,MONTECASTRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:30hs a 22:00hs ,Sáb. 08:30hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.64753,-58.519896
3379,8021004,VITACOM RECARGATE (004),COSQUIN 10,MONTECASTRO,Capital Federal,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.639234,-58.523593
3861,11949389,TXV LOPE DE VEGA,LOPE DE VEGA 2699,MONTECASTRO,Capital Federal,0,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,,,-34.617112,-58.521008
3629,8859009,AGL LOCUTORIO SAN PEDRO,BERMUDEZ 2065,MONTECASTRO,Capital Federal,0,0,1,0,Lun. a Vie. 09:00hs a 14:00hs y 17:00hs a 21:00hs,,,-34.619385,-58.509493
4233,5319400,CARREFOUR EXPRESS (718),SANABRIA 3039,MONTECASTRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:30hs a 22:00hs ,Sáb. 08:30hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.608766,-58.508335
4819,10249996,AGENCIA GANTOFF,AV. ALVAREZ JONTE 4317,MONTECASTRO,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 12:00hs y 15:30hs a 19:30hs,,,-34.616878,-58.500554
5061,7505004,PUERTO VIRTUAL BEIRO,AV BEIRO 5389,MONTECASTRO,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 08:30hs a 14:30hs ,,-34.614863,-58.526226
5632,90001239,C.S. MONTE CASTRO,ALVAREZ JONTE 4884,MONTECASTRO,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:30hs ,,-34.620315,-58.506658
