IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
173,5207025,AXION CENTENERA (948),AV. CRUZ 1501,NUEVA POMPEYA,Capital Federal,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.64795,-58.428547
73,7049081,MAXIKIOSCO ROMY,AV. CASEROS 3808,NUEVA POMPEYA,Capital Federal,0,1,1,0,Lun. a Vie. 07:30hs a 18:30hs ,Sáb. 07:30hs a 13:00hs ,,-34.63921822,-58.4186308
321,9902100,CORREO NUEVA POMPEYA,AV. SAENZ 753,NUEVA POMPEYA,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.64855833,-58.416285
1641,8849941,LOCUTORIO MARINA S,AV. LA PLATA 2528,NUEVA POMPEYA,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 10:00hs a 13:00hs y 17:00hs a 19:00hs,,-34.64403738,-58.421754
2598,5319115,CARREFOUR EXPRESS (0416),AV. ALMAFUERTE 880,NUEVA POMPEYA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.648094,-58.416067
2860,5849007,PASEO GRAN POMPEYA,AV. SAENZ 855,NUEVA POMPEYA,Capital Federal,0,1,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 09:30hs a 17:00hs ,,-34.650306,-58.416361
3255,9749230,DESPENSA DELFY,CHICLANA 4125,NUEVA POMPEYA,Capital Federal,1,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 09:00hs a 14:00hs ,,-34.641231,-58.420916
3035,12049586,METEORO II,AV. DEL BARCO CENTENERA 3026,NUEVA POMPEYA,Capital Federal,1,1,1,0,Lun. a Vie. 07:00hs a 12:30hs ,Sáb. 09:00hs a 12:30hs ,,-34.651515,-58.423267
3785,11949358,MAXIKIOSCO TRAFUL,TRAFUL 3896,NUEVA POMPEYA,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,Sáb. 10:00hs a 21:00hs ,,-34.651599,-58.413994
4215,8759048,AGL AGENCIA POMPEYA,AV. SAENZ 946 LOCAL 47,NUEVA POMPEYA,Capital Federal,0,0,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.651272,-58.416211
4689,11949518,POLIRUBRO SAENZ,SAENZ 1171,NUEVA POMPEYA,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.654225,-58.41652
6742,,NSA AR NUEVA POMPEYA,LYNCH  3925,NUEVA POMPEYA,Capital Federal,1,0,0,0,Lun. a Vie. 0900 A 1800,Sáb. 1000 A 1300,,-34.653024,-58.415593
5895,10349158,GRUPO IMAGEN,DEL BARCO CENTENERA 3216,NUEVA POMPEYA,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.652941,-58.421172
