IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
242,9902015,CORREO NUNEZ,AV. CABILDO 4576,NUNEZ,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.54289092,-58.47232741
2562,5319086,CARREFOUR EXPRESS (0373),11 DE SEPTIEMBRE 3910,NUNEZ,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 22:00hs ,-34.543192,-58.463175
2489,5319081,CARREFOUR EXPRESS (0368),CUBA 2919,NUNEZ,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.553407,-58.462054
2498,5319246,CARREFOUR EXPRESS (0575),AV. DIRECTORIO 483,NUNEZ,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.627965,-58.433568
2499,5319247,CARREFOUR EXPRESS (0576),NUNEZ 1563,NUNEZ,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.545687,-58.459535
2709,5319227,CARREFOUR EXPRESS (0556),GRECIA 3595,NUNEZ,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.546513,-58.46321
2763,5319016,CARREFOUR EXPRESS (0300),DEHEZA 2239,NUNEZ,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.54058,-58.471963
2782,5319035,CARREFOUR EXPRESS (0319),C. LARRALDE 2718,NUNEZ,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.550627,-58.471127
3005,5319367,CARREFOUR EXPRESS (675),CABILDO 4861,NUNEZ,Capital Federal,0,0,1,0,Lun. a Vie. 08:30hs a 22:00hs ,Sáb. 08:30hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.540308,-58.474725
3399,8749117,AGENCIA CABILDO,AV. CABILDO 3644 LOC 10,NUNEZ,Capital Federal,1,1,1,0,Lun. a Vie. 08:30hs a 19:30hs ,Sáb. 10:00hs a 13:00hs ,,-34.549637,-58.467896
4003,10249895,AGENCIA EL NUEVO BINGUITO,AV. CABILDO 3196,NUNEZ,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.553216,-58.465092
5703,6949573,STOP,ARCOS 3003,NUNEZ,Capital Federal,1,1,1,0,Lun. a Vie. 07:30hs a 20:00hs ,Sáb. 07:30hs a 14:00hs ,,-34.55193,-58.461808
