IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
153,6449051,AMCIRSE,GODOY CRUZ 2960,PALERMO,Capital Federal,0,0,1,0,Lun. a Vie. 08:30hs a 14:00hs ,,,-34.57595573,-58.42326253
19,5149300,FARMACIA ANTIGUA CHARCAS,CHARCAS 4299,PALERMO,Capital Federal,0,1,1,0,Lun. a Vie. 08:30hs a 13:30hs y 15:00hs a 20:00hs,Sáb. 10:00hs a 15:00hs ,,-34.583766,-58.423394
40,5149552,FARMACIA ILIADA,PARAGUAY 4502,PALERMO,Capital Federal,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-34.584619,-58.424356
381,9902166,CORREO ALTO PALERMO 2,AV. CORONEL DIAZ 2190,PALERMO,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 19:00hs ,,,-34.58668655,-58.40849598
278,9902053,CORREO PLAZA ITALIA,AV. SANTA FE 3882,PALERMO,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.58380678,-58.41824294
307,9902084,CORREO PLAZA LAS HERAS,LAPRIDA 2128,PALERMO,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.58690888,-58.39892688
1455,11649196,CIBER GURRUCHAGA,GURRUCHAGA 2239,PALERMO,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,,-34.58509604,-58.42300157
1715,7049988,ELLIANE,AV. MEDRANO 1702,PALERMO,Capital Federal,1,1,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 08:00hs a 14:00hs ,,-34.589909,-58.418472
1605,8149183,SERVICIOS EXPRESS NEWBERY,JORGE NEWBERY 1626,PALERMO,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:30hs a 14:00hs ,,-34.56666549,-58.43428714
1965,90001064,C.S. CARREFOUR SALGUERO,JERONIMO SALGUERO 3212,PALERMO,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 20:00hs ,Sáb. 10:00hs a 20:00hs ,Dom. 10:00hs a 20:00hs ,-34.57624129,-58.40496396
2334,10249649,AGENCIA LA RULA,AV.SANTA FE 4208,PALERMO,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 19:30hs ,Sáb. 09:00hs a 15:00hs ,,-34.581193,-58.42206325
2573,5319094,CARREFOUR EXPRESS (0392),J. L. BORGES 2463-65,PALERMO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.582235,-58.421153
2574,5319095,CARREFOUR EXPRESS (0394),SANTA FE 4489-91,PALERMO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.579204,-58.424127
2585,5319103,CARREFOUR EXPRESS (0403),AV. SANTA FE 5052,PALERMO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.576853,-58.430857
2650,5319277,CARREFOUR EXPRESS (0609),LIBERTADOR 4534,PALERMO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.566577,-58.431589
2654,5319186,CARREFOUR EXPRESS (0493),CHARCAS 3940,PALERMO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.58663,-58.419209
2666,5319284,CARREFOUR EXPRESS (0618),BULNES 2751,PALERMO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.580462,-58.405902
2673,5319198,CARREFOUR EXPRESS (0527),FRAY JUSTO STA MARIA DE ORO 2121,PALERMO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.58325,-58.427889
2677,5319202,CARREFOUR EXPRESS (0531),AREVALO 1736,PALERMO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.580638,-58.440058
2504,5319252,CARREFOUR EXPRESS (0581),JUAN MARIA GUTIERREZ 3759,PALERMO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.580954,-58.413063
2796,5319046,CARREFOUR EXPRESS (0330),FITZ ROY 2470,PALERMO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.577848,-58.42907
2802,5319051,CARREFOUR EXPRESS (0336),CHARCAS 3315,PALERMO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.59146,-58.412569
2806,5319055,CARREFOUR EXPRESS (0340),ORTEGA Y GASSET 1876,PALERMO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.57064,-58.432921
2814,5319063,CARREFOUR EXPRESS (0349),AV. CABILDO 34,PALERMO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.571073,-58.442309
2815,5319064,CARREFOUR EXPRESS (0350),HUMBOLDT 1982,PALERMO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.582574,-58.432696
2976,5319331,CARREFOUR EXPRESS (660),JUAN SEGUI 4524,PALERMO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.574077,-58.420282
2981,5319335,CARREFOUR EXPRESS (679),SCALABRINI ORTIZ 1396,PALERMO,Capital Federal,0,0,1,0,Lun. a Vie. 08:30hs a 22:00hs ,Sáb. 08:30hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.592208,-58.426936
2688,5319208,CARREFOUR EXPRESS (0537),CHARCAS 4389,PALERMO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.583103,-58.4239
