IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
246,9902019,CORREO PARQUE PATRICIOS,LA RIOJA 1954,PARQUE PATRICIOS,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.63413692,-58.40575788
270,9902044,CORREO CASEROS Y ENTRE RIOS,AV. CASEROS 1999,PARQUE PATRICIOS,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.634045,-58.390601
1120,7049324,KIOSCO LA ESQUINA (CF),AV. BRASIL 2602,PARQUE PATRICIOS,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.63157,-58.400646
2267,9749162,ALMACEN CHUCHY S,ALBERTI 1691,PARQUE PATRICIOS,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 15:00hs a 19:00hs,Sáb. 09:00hs a 13:00hs ,,-34.62952341,-58.39968769
2344,7549969,KIOSCO LA PULPERIA,AV. JUAN DE GARAY 2302,PARQUE PATRICIOS,Capital Federal,0,1,1,0,Lun. a Vie. 12:00hs a 20:00hs ,,,-34.628043,-58.396853
2373,10249655,AGENCIA LT PAVON,DEAN FUNES 2095,PARQUE PATRICIOS,Capital Federal,0,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,,,-34.627393,-58.400493
2385,6349371,ELECTROCELULAR,CASEROS 2848,PARQUE PATRICIOS,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 14:00hs y 16:00hs a 20:00hs,,,-34.636558,-58.402673
2651,5319184,CARREFOUR EXPRESS (0489),AV. CASEROS 2423,PARQUE PATRICIOS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.635447,-58.396293
2490,5319082,CARREFOUR EXPRESS (0369),CASEROS 2864,PARQUE PATRICIOS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.636697,-58.403168
2520,5319264,CARREFOUR EXPRESS (0594),INCLAN 2502,PARQUE PATRICIOS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.629789,-58.399568
2998,5319360,CARREFOUR EXPRESS (412),AV. CASEROS 3535,PARQUE PATRICIOS,Capital Federal,0,0,1,0,Lun. a Vie. 08:30hs a 22:00hs ,Sáb. 08:30hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.63852,-58.415133
4118,12449098,MAXIKIOSCO LAS VEGAS,FINOCHIETO 2178,PARQUE PATRICIOS,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,,,-34.63597,-58.392867
4119,8021013,VITACOM ELECTRO (013),ARRIOLA 27,PARQUE PATRICIOS,Capital Federal,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.637078,-58.402922
4768,12449259,CANDILICIUS,AV. JUAN DE GARAY   4106,PARQUE PATRICIOS,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,,,-34.63208,-58.42177
