IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
81,7549082,POLIRUBRO LA LOCURA,AV. JUAN B. JUSTO 4552-4,PATERNAL,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.608184,-58.464243
103,10249143,AGENCIA MARIANO,AV. SAN MARTIN 3165,PATERNAL,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 20:30hs ,Sáb. 09:00hs a 20:30hs ,,-34.60174572,-58.46863234
378,9902163,CORREO CHACARITA,AV. FEDERICO LACROZE 4164,PATERNAL,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.58741692,-58.4550098
277,9902052,CORREO PATERNAL,AV. SAN MARTIN 2710,PATERNAL,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.60285582,-58.46424363
2020,90001084,C.S. CARREFOUR WARNES,AV. WARNES 2707,PATERNAL,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,Dom. 10:00hs a 14:00hs ,-34.59706869,-58.4770489
1822,9749112,LOURDES,JUAN AGUSTIN GARCIA 2100,PATERNAL,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 17:00hs ,Sáb. 09:00hs a 17:00hs ,,-34.604763,-58.472558
2576,5319097,CARREFOUR EXPRESS (0396),SAN MARTIN 2289,PATERNAL,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.604115,-58.459891
2875,5207109,AXION TRELLES (436),AV. GAONA 2399,PATERNAL,Capital Federal,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.614332,-58.460666
2993,5319353,CARREFOUR EXPRESS (687),ALVAREZ JONTE 1987,PATERNAL,Capital Federal,0,0,1,0,Lun. a Vie. 07:30hs a 22:00hs ,Sáb. 07:30hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.603755,-58.471569
3431,11949294,MG SERVICIOS,QUIROS 2635,PATERNAL,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 18:00hs ,,-34.588084,-58.473893
4103,11849220,GRANDES PERFUMERIAS ANIKA,AV. SAN MARTIN 2311,PATERNAL,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 10:00hs a 18:00hs ,,-34.604008,-58.460343
4104,11849221,ANIKA SHOP III,AV. SAN MARTIN 2711,PATERNAL,Capital Federal,1,1,1,0,Lun. a Vie. 11:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-34.602705,-58.463852
4105,11849222,ANIKA SHOP IV,AV. SAN MARTIN 1669,PATERNAL,Capital Federal,1,1,1,0,Lun. a Vie. 09:30hs a 19:30hs ,Sáb. 10:00hs a 19:00hs ,,-34.605505,-58.452666
4107,11849223,ANIKA SHOP,AV. SAN MARTIN 2159,PATERNAL,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 20:00hs ,Sáb. 12:00hs a 20:00hs ,,-34.60463,-58.45769
3986,10249887,AGENCIA LA SUERTE LOCA,AV. SAN MARTIN 2765,PATERNAL,Capital Federal,0,1,1,0,Lun. a Vie. 08:00hs a 14:00hs y 16:00hs a 20:30hs,,,-34.602923,-58.464518
4481,12449176,TXV MARGARINOS CERVANTES,MARGARINOS CERVANTES 1602,PATERNAL,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.605725,-58.463783
4814,11949535,DONA DULZURA,AV. GAONA 2025,PATERNAL,Capital Federal,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-34.612547,-58.456172
5324,8159357,AGL-GRAZIADEI SEGUROS Y ASOCIADOS,BIARRITZ 2054,PATERNAL,Capital Federal,0,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-34.602706,-58.474392
5369,11949607,LOS AMIGOS,DR. LUIS BELAUSTEGUI 1344,PATERNAL,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 19:00hs ,,-34.606882,-58.4591
5648,8749269,TELECENTRO LA PATERNAL,CARACAS 2201,PATERNAL,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 14:00hs y 16:00hs a 19:00hs,,,-34.606303,-58.474679
