IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
101,10249112,AGENCIA EL TORREON,ARENALES 2702,RECOLETA,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 19:30hs ,Sáb. 09:00hs a 13:00hs ,,-34.592423,-58.404217
8,5149066,FARMACIA FRANCO SUIZA,AV. SANTA FE 2166,RECOLETA,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 14:00hs ,,-34.595456,-58.397776
230,9902003,CORREO BARRIO NORTE,AV. PUEYRREDON 1352,RECOLETA,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.59507843,-58.40237586
244,9902017,CORREO PLAZA VICENTE LOPEZ,MONTEVIDEO 1408,RECOLETA,Capital Federal,0,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.59268292,-58.38984453
271,9902045,CORREO FACULTAD,PASTEUR 768,RECOLETA,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.59967296,-58.39607137
279,9902054,CORREO PLAZA R.PENA,URUGUAY 1069,RECOLETA,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.59603978,-58.3867112
280,9902055,CORREO RECOLETA,AV. CALLAO 1577,RECOLETA,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.59102776,-58.39112365
1501,6949282,LIBRERIA PMB,CHARCAS 3210,RECOLETA,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 13:00hs y 15:00hs a 18:00hs,,,-34.592593,-58.4110526747
2035,8749038,NEW MULTISERVICIOS TRIBUNALES,PARANA 848,RECOLETA,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.59876718,-58.38797335
1834,8149203,SERVICIOS EXPRESS RECOLETA,LAS HERAS 1692,RECOLETA,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:30hs a 14:30hs ,,-34.59227773,-58.39086027
1908,90001063,C.S. MONTEVIDEO BP,AV. CORDOBA 1591,RECOLETA,Capital Federal,1,1,1,0,Lun. a Vie. 08:30hs a 18:30hs ,Sáb. 09:00hs a 12:30hs ,,-34.59926857,-58.38922937
1917,8749033,NEW MULTISERVICIOS RECOLETA,MONTEVIDEO 1726,RECOLETA,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.5903661,-58.38676284
2152,90001150,C.S. CARREFOUR BERUTI,BERUTI 2951,RECOLETA,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 20:00hs ,Sáb. 10:00hs a 20:00hs ,Dom. 10:00hs a 20:00hs ,-34.589974,-58.405823
2566,5319090,CARREFOUR EXPRESS (0378),BILLINGHURST 1872-6,RECOLETA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.588983,-58.409026
2681,5319286,CARREFOUR EXPRESS (0620),MARCELO T. DE ALVEAR 1626,RECOLETA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.597216,-58.390275
2492,5319240,CARREFOUR EXPRESS (0569),AV. DEL LIBERTADOR 1140,RECOLETA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.585536,-58.388159
2515,5319260,CARREFOUR EXPRESS (0590),PENA 2544,RECOLETA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.588864,-58.400292
2797,5319047,CARREFOUR EXPRESS (0331),CHARCAS 3171,RECOLETA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.59259,-58.410509
2798,5319048,CARREFOUR EXPRESS (0332),BILLINGHURST 1380,RECOLETA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.593862,-58.412912
