IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
84,7549114,MINIMARKET EL CANCILLER DE JUNCAL,ESMERALDA 1274,RETIRO,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.59319298,-58.37881078
166,5207016,AXION ALVEAR (904),LIBERTADOR 2589,RETIRO,Capital Federal,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.57867749,-58.406873
167,5207017,AXION LAS HERAS (089),LAS HERAS 2499,RETIRO,Capital Federal,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.586468,-58.398262
346,9902125,CORREO CATALINAS,AV. LEANDRO N. ALEM  616,RETIRO,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.60046971,-58.37030071
403,9902189,CORREO CENTRO POSTAL INTERNACIONAL,ANTARTIDA ARGENTINA 1100,RETIRO,Capital Federal,1,0,1,0,Lun. a Vie. 09:00hs a 16:00hs ,,,-34.592714,-58.375891
236,9902009,CORREO CORDOBA Y FLORIDA,AV. CORDOBA 663,RETIRO,Capital Federal,1,0,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.59869482,-58.37654641
247,9902020,CORREO RET.FFC.MITRE,AV. DEL LIBERTADOR 132,RETIRO,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.59271059,-58.37581476
308,9902085,CORREO PLAZA SAN MARTIN,AV. SANTA FE 945,RETIRO,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.59516388,-58.38076169
1816,8001002,NSA AR RETIRO,RAMOS MEJIA 1680 LOC 13 Y 14,RETIRO,Capital Federal,1,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,Dom. 08:00hs a 18:00hs ,-34.58843206,-58.37171767
2374,11849150,FARMACIA MAGA SHOP LA RECOVA,LIBERTADOR 810,RETIRO,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 19:00hs ,,-34.587639,-58.383973
2799,5319049,CARREFOUR EXPRESS (0334),PARAGUAY 521,RETIRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.597377,-58.374503
2818,5319067,CARREFOUR EXPRESS (0353),TALCAHUANO 467,RETIRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.60317,-58.385146
2853,6949433,IMPRENTA CERVINI,ESMERALDA 1075 LOC 10,RETIRO,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.595452,-58.378469
2698,5319216,CARREFOUR EXPRESS (0545),LIBERTAD 1043-45,RETIRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.596337,-58.384187
2720,5319005,CARREFOUR EXPRESS (0213),PARAGUAY 919,RETIRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.597695,-58.380103
2762,5319015,CARREFOUR EXPRESS (0299),ARENALES 975,RETIRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.594127,-58.381187
2765,5319018,CARREFOUR EXPRESS (0302),ESMERALDA 823,RETIRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.598622,-58.378279
2781,5319034,CARREFOUR EXPRESS (0318),ARROYO 859,RETIRO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.591566,-58.379331
3176,7059017,AGL KIOSCO BEBO,MARCELO T.DE ALVEAR 967,RETIRO,Capital Federal,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 18:00hs ,,-34.596618,-58.38091
4060,8749163,TOTAL PAYMENT SANTA FE,AV. SANTA FE 992,RETIRO,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,,,-34.595414,-58.381246
3939,10249875,AGENCIA MONTECARLO,LIBERTAD 1060,RETIRO,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.596043,-58.384311
4509,12449206,TOTAL PAYMENT OPEN PARAGUAY,PARAGUAY 1200,RETIRO,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,,,-34.59813,-58.383974
4621,12449238,TOTAL PAYMENT OPEN PARAGUAY 2,PARAGUAY 1396,RETIRO,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,,,-34.598354,-58.386799
4622,12449238,TOTAL PAYMENT OPEN PARAGUAY 2,PARAGUAY 1396,RETIRO,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,,,-34.598354,-58.386799
