IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
107,11149027,ESTUDIO BRUZZESE,AV. DE MAYO 1437 PISO 5 DTO J,SAN NICOLAS,Capital Federal,0,0,1,0,Lun. a Vie. 10:00hs a 15:00hs ,,,-34.60938757,-58.38657984
61,6449012,MUPIM,URUGUAY 656,SAN NICOLAS,Capital Federal,0,1,1,0,Lun. a Vie. 08:30hs a 13:30hs ,,,-34.60099594,-58.38638961
347,9902126,CORREO OBELISCO,CERRITO 368,SAN NICOLAS,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.60425678,-58.38245096
379,9902164,CORREO TRIBUNALES - 1,PARANA 777,SAN NICOLAS,Capital Federal,1,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.60028665,-58.3878022
309,9902086,CORREO CENTRAL,TTE.GRAL.JUAN D. PERON 321,SAN NICOLAS,Capital Federal,1,0,1,0,Lun. a Vie. 09:00hs a 20:00hs ,,,-34.605409,-58.37123
918,10249189,AGENCIA EL ESTRIBO III,MAIPU 386,SAN NICOLAS,Capital Federal,0,0,1,0,Lun. a Vie. 09:30hs a 17:30hs ,Sáb. 09:30hs a 13:00hs ,,-34.60376229,-58.3768
1255,90024002,C.S. ASISTIDO AV. CORRIENTES,AV. CORRIENTES 535,SAN NICOLAS,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.60339367,-58.37452696
1906,8049212,SERVICIOS EXPRESS SAN MARTIN 518,SAN MARTIN 518,SAN NICOLAS,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.60189861,-58.37417402
2292,8113004,BANCO ROELA,TUCUMAN 767,SAN NICOLAS,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.60106457,-58.3778618
2564,5319088,CARREFOUR EXPRESS (0375),ESMERALDA 428,SAN NICOLAS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.60319,-58.378097
2592,5319109,CARREFOUR EXPRESS (0410),TUCUMAN 2173,SAN NICOLAS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.602182,-58.398093
2804,5319053,CARREFOUR EXPRESS (0338),TUCUMAN 831,SAN NICOLAS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.60121,-58.37859
2807,5319056,CARREFOUR EXPRESS (0341),VIAMONTE 351,SAN NICOLAS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.599638,-58.372067
2817,5319066,CARREFOUR EXPRESS (0352),RODRIGUEZ PENA 1185,SAN NICOLAS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.595046,-58.391969
2822,5319071,CARREFOUR EXPRESS (0357),SARMIENTO 1592,SAN NICOLAS,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.605413,-58.389244
