IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
99,10249073,AGENCIA CHAMIGO,ACEVEDO 507,VILLA CRESPO,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 19:30hs ,Sáb. 10:00hs a 14:00hs ,,-34.59691014,-58.43930545
163,5207012,AXION LUIS VIALE (419),SAN MARTIN 1521,VILLA CRESPO,Capital Federal,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.60597383,-58.45211417
76,7049143,DRUGSTORE HOMERO,FRIAS 232,VILLA CRESPO,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 20:30hs ,Sáb. 09:00hs a 16:30hs ,,-34.60251394,-58.43544553
249,9902022,CORREO VILLA CRESPO,AV. SCALABRINI ORTIZ 176,VILLA CRESPO,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.60059104,-58.44021606
1176,5449326,ARTICULOS DEL HOGAR DICK,AV. CORRIENTES 6076,VILLA CRESPO,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 15:00hs a 19:00hs,Sáb. 09:00hs a 13:00hs ,,-34.59253439,-58.44627253
1180,7049418,POLIRUBRO EL BOCHA,TRES ARROYOS 198,VILLA CRESPO,Capital Federal,1,1,1,0,Lun. a Vie. 07:30hs a 20:30hs ,Sáb. 07:30hs a 19:00hs ,,-34.60092561,-58.44634745
2552,5319272,CARREFOUR EXPRESS (0604),AV. ESTADO DE ISRAEL 4684,VILLA CRESPO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.600589,-58.430877
2558,5319276,CARREFOUR EXPRESS (0608),SERRANO 280,VILLA CRESPO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.598206,-58.444916
2577,5319098,CARREFOUR EXPRESS (0397),CORRIENTES 5980,VILLA CRESPO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.59349,-58.445665
2674,5319199,CARREFOUR EXPRESS (0528),AGUIRRE 236,VILLA CRESPO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.599589,-58.43358
