IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
96,10249064,AGENCIA SAN JORGE DEVOTO,BERMUDEZ 2214,VILLA DEL PARQUE,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 13:00hs y 16:00hs a 19:00hs,,-34.6184202,-58.51133353
131,90017002,C.S. SHOPPING DEL PARQUE,NAZARRE 3135,VILLA DEL PARQUE,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 21:00hs ,Sáb. 10:00hs a 22:00hs ,Dom. 10:00hs a 22:00hs ,-34.6016788,-58.49433955
250,9902023,CORREO VILLA DEL PARQUE,GERONIMO DE HELGUERA 2901,VILLA DEL PARQUE,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.601927,-58.492996
1546,7049870,MAXIKIOSCO LUCAS,AV. SEGUROLA 2299,VILLA DEL PARQUE,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 20:00hs ,Sáb. 11:00hs a 20:00hs ,Dom. 14:00hs a 20:00hs ,-34.615217,-58.505323
1850,12049109,NUEVO MAXIKIOSCO EL GARAGE,LASCANO 2656,VILLA DEL PARQUE,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 20:00hs ,Sáb. 09:00hs a 14:00hs ,,-34.605125,-58.4821465
2547,5319267,CARREFOUR EXPRESS (0597),SANABRIA 2733,VILLA DEL PARQUE,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.611142,-58.506367
2565,5319089,CARREFOUR EXPRESS (0376),JONTE 3709,VILLA DEL PARQUE,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.613239,-58.49347
2653,5319185,CARREFOUR EXPRESS (0492),PEDRO LOZANO 3150,VILLA DEL PARQUE,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.600927,-58.494515
2903,8049302,SERVICIOS BEIRO,AV. F. BEIRO 3192,VILLA DEL PARQUE,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.597436,-58.498168
2990,5319350,CARREFOUR EXPRESS (677),ALVAREZ JONTE 3079,VILLA DEL PARQUE,Capital Federal,0,0,1,0,Lun. a Vie. 08:30hs a 22:00hs ,Sáb. 08:30hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.609523,-58.48619
2772,5319025,CARREFOUR EXPRESS (0309),CAMPANA 3050,VILLA DEL PARQUE,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.602641,-58.496339
2778,5319031,CARREFOUR EXPRESS (0315),VARELA 3191,VILLA DEL PARQUE,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.598446,-58.497283
3364,11949269,DOMINO,LASCANO 3386,VILLA DEL PARQUE,Capital Federal,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 09:00hs a 14:00hs y 17:00hs a 21:00hs,,-34.6101,-58.490763
3657,12349033,LOCUTORIO MF,HELGUERA 2809,VILLA DEL PARQUE,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.602902,-58.492132
3666,8049357,REMISES RIVAS,AV. SAN MARTIN 4402,VILLA DEL PARQUE,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.598407,-58.482426
4282,5319403,CARREFOUR EXPRESS (713),BERMUDEZ 2446,VILLA DEL PARQUE,Capital Federal,0,0,1,0,Lun. a Vie. 08:30hs a 22:00hs ,Sáb. 08:30hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.616422,-58.513601
4338,11949488,MAXIKIOSCO BAHIA,BAHIA BLANCA 2497,VILLA DEL PARQUE,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-34.610916,-58.50052
4342,12249165,HIPERMEGARED,EMILIO LAMARCA 1980,VILLA DEL PARQUE,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 19:00hs ,,-34.613963,-58.493045
4822,11949536,LOCAL Y VISITANTE,NAZARRE 3250,VILLA DEL PARQUE,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 15:00hs a 18:00hs,,,-34.602744,-58.495302
6697,,MONTECARLO VILLA DEL PARQUE,CUENCA  3098,VILLA DEL PARQUE,Capital Federal,1,0,0,0,Lun. a Vie. 0900 A 2000,Sáb. 0900 A 1900,,-34.6014925,-58.495284
