IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
102,10249128,AGENCIA LOS CABALEROS,AV. LOPE DE VEGA 3389,VILLA DEVOTO,Capital Federal,0,1,1,0,Lun. a Vie. 09:15hs a 13:30hs y 15:45hs a 20:00hs,Sáb. 09:15hs a 13:00hs ,,-34.6127235,-58.52695633
164,5207014,AXION AMERICA (444),AV. MOSCONI 2500,VILLA DEVOTO,Capital Federal,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.583529,-58.497684
165,5207015,AXION AMANECER (427),BEIRO 5501,VILLA DEVOTO,Capital Federal,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-34.61594,-58.527548
338,9902117,CORREO VILLA DEVOTO,AV. SAN MARTIN 6354,VILLA DEVOTO,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.59424808,-58.50486182
915,90017003,C.S. SHOPPING DEVOTO,JOSE PEDRO VARELA 4866,VILLA DEVOTO,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 22:00hs ,Sáb. 10:00hs a 22:00hs ,Dom. 10:00hs a 16:00hs ,-34.61131069,-58.51813139
1003,5349100,SUPERMERCADO SUPERSERVICIO,JOSE CUBAS 4450,VILLA DEVOTO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 21:00hs,Sáb. 08:00hs a 13:30hs y 17:00hs a 21:00hs,Dom. 09:00hs a 13:00hs ,-34.60049896,-58.51951441
1289,8949358,TELECENTRO VILLA DEVOTO NORTE,AV. SAN MARTIN 6907,VILLA DEVOTO,Capital Federal,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 09:00hs a 14:00hs ,,-34.59172751,-58.51103069
2055,90001118,C.S. CARREFOUR VILLA DEVOTO,JOSE PEDRO VARELA 4750,VILLA DEVOTO,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 20:00hs ,Sáb. 10:00hs a 20:00hs ,Dom. 10:00hs a 20:00hs ,-34.61041308,-58.51671951
2508,5319256,CARREFOUR EXPRESS (0586),SAN MARTIN 5930,VILLA DEVOTO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.59585,-58.499864
2967,5319322,CARREFOUR EXPRESS (624),NAZCA 3214,VILLA DEVOTO,Capital Federal,0,0,1,0,Lun. a Vie. 08:30hs a 22:00hs ,Sáb. 08:30hs a 22:00hs ,,-34.599032,-58.491609
2968,5319323,CARREFOUR EXPRESS (664),NOGOYA 3644,VILLA DEVOTO,Capital Federal,0,0,1,0,Lun. a Vie. 08:30hs a 22:00hs ,Sáb. 08:30hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.606384,-58.497794
