IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
251,9902024,CORREO VILLA LUGANO,AV. RIESTRA 5719,VILLA LUGANO,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.67751294,-58.475823
1063,8849493,LOCUTORIO MIRAMAR,ESCALADA 2278,VILLA LUGANO,Capital Federal,0,1,1,0,Lun. a Vie. 09:30hs a 19:30hs ,Sáb. 09:30hs a 14:00hs ,,-34.65834583,-58.47820067
1192,8849706,LOCUTORIO CADAC,SOLDADO DE LA FRONTERA 5251 ED. 37 LOC C,VILLA LUGANO,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.68578552,-58.46354709
1454,8849891,LOCUTORIO JUSAR,AV. PIEDRABUENA 4920,VILLA LUGANO,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 19:00hs,,,-34.68784016,-58.47538216
1481,10249456,AGENCIA ESQUINA DE LA SUERTE,ALBARINO 2505,VILLA LUGANO,Capital Federal,0,1,1,0,Lun. a Vie. 10:30hs a 18:00hs ,,,-34.66074516,-58.48335851
1267,7049580,MAXIKIOSCO LUGANO,MURGUIONDO 4057,VILLA LUGANO,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 18:30hs ,Sáb. 09:00hs a 14:00hs ,,-34.67622,-58.477218
1543,7049868,DRUGSTORE VERO,UNANUE 6760,VILLA LUGANO,Capital Federal,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:00hs a 22:00hs,Sáb. 08:00hs a 13:00hs y 15:00hs a 22:00hs,,-34.68639071,-58.48120433
2604,5319122,CARREFOUR EXPRESS (0423),AV. CASTANARES 4854,VILLA LUGANO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.667115,-58.473055
2682,5319206,CARREFOUR EXPRESS (0535),MURGUIONDO 4324,VILLA LUGANO,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.677968,-58.474328
3232,7059025,AGL KIOSCO DIANA,LARRAZABAL 4066,VILLA LUGANO,Capital Federal,0,0,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 19:00hs,,,-31.39893,-64.182129
3013,5319345,CARREFOUR EXPRESS (614),MURGUIONDO 4053,VILLA LUGANO,Capital Federal,0,0,1,0,Lun. a Vie. 08:30hs a 22:00hs ,Sáb. 08:30hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.749981,-58.583751
3014,5319346,CARREFOUR EXPRESS (672),AV. CHILAVERT 6901,VILLA LUGANO,Capital Federal,0,0,1,0,Lun. a Vie. 08:30hs a 22:00hs ,Sáb. 08:30hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.689438,-58.479536
3084,10349075,SEBASTIAN II,2 DE ABRIL DE 1982 6937 ESC.12 A PB L 38,VILLA LUGANO,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-34.674209,-58.481464
3346,9749240,GRANJA CHOCO POLLO,MURGUIONDO 4736,VILLA LUGANO,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-34.681606,-58.469719
3613,12349031,LOCUTORIO LUGANO,MURGIONDO 4002,VILLA LUGANO,Capital Federal,1,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,,-34.675714,-58.477439
3632,11649332,CYBER J Y G,CORVALAN MZA 17 CASA 2,VILLA LUGANO,Capital Federal,0,1,1,0,Lun. a Vie. 07:00hs a 22:00hs ,,,-34.672323,-58.466824
4112,12349045,GRAFICA LUGANO,FERNANDEZ D.L.CRUZ A 6735,VILLA LUGANO,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-34.689071,-58.477209
