IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
20,5149352,FARMACIA LERIDA,AV. OLAZABAL 4577,VILLA URQUIZA,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 13:00hs y 17:00hs a 19:00hs,,,-34.573335,-58.480397
50,5449047,J.J.LIMOLI,AV. MONROE 5475,VILLA URQUIZA,Capital Federal,0,0,1,0,Lun. a Vie. 09:00hs a 13:00hs y 15:30hs a 17:00hs,Sáb. 10:00hs a 12:00hs ,,-34.57659076,-58.49045661
74,7049084,KIOSCO SILVINA,ANDONAEGUI 1551,VILLA URQUIZA,Capital Federal,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 17:00hs a 20:00hs,,,-34.58484524,-58.482378
233,9902006,CORREO COGHLAN,AV. MONROE 3381,VILLA URQUIZA,Capital Federal,1,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-34.56395467,-58.46944641
1325,8849827,TELEFONIA MULTIPHONE,AV. MONROE 5169,VILLA URQUIZA,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 14:00hs y 16:00hs a 20:00hs,Sáb. 10:00hs a 13:00hs ,,-34.574761,-58.487207
2030,90001092,C.S. CARREFOUR VILLA URQUIZA,FRANKLIN D. ROOSEVELT 5749,VILLA URQUIZA,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,Dom. 10:00hs a 14:00hs ,-34.57746986,-58.49456188
2355,6949408,CANDOS,BAUNES 2646,VILLA URQUIZA,Capital Federal,1,1,1,0,Lun. a Vie. 07:30hs a 13:00hs y 16:30hs a 19:00hs,Sáb. 10:00hs a 14:00hs ,,-34.573134,-58.48928
2545,5319084,CARREFOUR EXPRESS (0371),OLAZABAL 5483,VILLA URQUIZA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.579089,-58.490435
2549,5319269,CARREFOUR EXPRESS (0599),BLANCO ENCALADA 4470,VILLA URQUIZA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.571735,-58.479931
2572,6949428,LIBRERIA SAN ANDRES,AV. F. D. ROOSEVELT 5621,VILLA URQUIZA,Capital Federal,0,1,1,0,Lun. a Vie. 07:00hs a 14:00hs y 15:30hs a 19:00hs,Sáb. 09:00hs a 12:00hs ,,-34.576765,-58.492953
2989,5319343,CARREFOUR EXPRESS (710),NAHUEL HUAPI 5038,VILLA URQUIZA,Capital Federal,0,0,1,0,Lun. a Vie. 08:30hs a 22:00hs ,Sáb. 08:30hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.570993,-58.488337
2696,5319214,CARREFOUR EXPRESS (0543),OLAZABAL 5179,VILLA URQUIZA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.605812,-58.513714
2701,5319219,CARREFOUR EXPRESS (0548),CONGRESO 5241,VILLA URQUIZA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.570615,-58.491811
2748,5319309,CARREFOUR EXPRESS (0646),BAUNES 2692,VILLA URQUIZA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.572782,-58.489499
3246,11949245,POLIRUBRO BURBUJAS,AV. MONROE 4817,VILLA URQUIZA,Capital Federal,1,1,1,0,Lun. a Vie. 10:30hs a 19:00hs ,Sáb. 11:00hs a 14:00hs ,,-34.572286,-58.482885
3582,11149056,DM CONSULTORA,MONROE 5163 PISO 3,VILLA URQUIZA,Capital Federal,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-34.574595,-58.487025
3849,5319391,CARREFOUR EXPRESS (741),AV. TRIUNVIRATO 4210,VILLA URQUIZA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-34.578295,-58.480616
3674,5319388,CARREFOUR EXPRESS (738),CULLEN 4232,VILLA URQUIZA,Capital Federal,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-34.570793,-58.484139
4383,12449177,EL KIOSCO DE LA ESQUINA,AV.MONROE 5699,VILLA URQUIZA,Capital Federal,1,1,1,0,Lun. a Vie. 07:00hs a 20:30hs ,Sáb. 07:00hs a 20:30hs ,,-34.578114,-58.493027
4518,6949543,BOUTIQUE,OLAZABAL 4842,VILLA URQUIZA,Capital Federal,1,1,1,0,Lun. a Vie. 08:30hs a 20:30hs ,Sáb. 09:00hs a 20:30hs ,,-34.574915,-58.483171
4244,12449136,LA ESQUINA DE GALVAN,GALVAN 2701,VILLA URQUIZA,Capital Federal,1,1,1,0,Lun. a Vie. 09:00hs a 11:00hs y 14:00hs a 19:00hs,Sáb. 09:00hs a 11:00hs y 14:00hs a 19:00hs,,-34.570138,-58.484389
4703,5949073,CALIFORNIA VIDEOCLUB,PACHECO 2289,VILLA URQUIZA,Capital Federal,0,1,1,0,Lun. a Vie. 10:00hs a 17:00hs ,,,-34.573972,-58.483349
5464,11449086,COMPUNETT SOLUCIONES,AV. CONSTITUYENTES 5930,VILLA URQUIZA,Capital Federal,1,1,1,0,Lun. a Vie. 10:00hs a 20:00hs ,Sáb. 10:00hs a 18:00hs ,,-34.572787,-58.504678
