IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
458,9902254,CORREO CATAMARCA - C,SAN MARTIN 761,SAN FDO DEL VALLE DE CATA,Catamarca,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:30hs a 20:30hs,,,-28.469869,-65.776479
227,8149099,INVERSIONES RT,RIVADAVIA 535,SAN FDO DEL VALLE DE CATA,Catamarca,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 18:00hs a 21:00hs,,,-28.46788988,-65.77896984
711,9902537,CORREO RENTAS,CHACABUCO 881,SAN FDO DEL VALLE DE CATA,Catamarca,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 18:00hs a 20:00hs,,,-28.47119128,-65.77467831
1029,8949203,TELECENTRO NUEVO HOSPITAL(CA),DR. JULIO HERRERA 106,SAN FDO DEL VALLE DE CATA,Catamarca,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-28.46258796,-65.78903424
1434,90003033,C. S. CHANGO MAS CATAMARCA (WAL MART),AV. COSTA VILLAFANE Y MANUEL NAVARRO,SAN FDO DEL VALLE DE CATA,Catamarca,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,,-28.466986,-65.756615
1696,9749080,DESPENSA Y VERDULERIA KUKI,B. ACUNA ISI II ETAPA - CASA 20,SAN FDO DEL VALLE DE CATA,Catamarca,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 18:00hs a 21:00hs,,,-28.493533,-65.790027
2145,90001144,C.S. CARREFOUR CATAMARCA,H. YRIGOYEN 1283,SAN FDO DEL VALLE DE CATA,Catamarca,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,,-28.47775567,-65.77862633
2204,8118023,COREFIN (CATAMARCA),RIVADAVIA 886,SAN FDO DEL VALLE DE CATA,Catamarca,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-28.47241643,-65.77872843
3250,12149047,DISTRIBUIDORA LA LEY,AV. DR. ENRIQUE OCAMPO 123,SAN FDO DEL VALLE DE CATA,Catamarca,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 18:00hs a 21:00hs,,,-26.830524,-65.200014
3092,6349385,SERVIRAP,SARMIENTO 935,SAN FDO DEL VALLE DE CATA,Catamarca,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 18:00hs a 22:00hs,Sáb. 09:00hs a 12:00hs y 18:00hs a 22:00hs,,-28.469983,-65.779717
3330,11949267,TELECENTRO NUEVO HOSPITAL II,B 130 VIVIENDAS NORTE -CASA 45,SAN FDO DEL VALLE DE CATA,Catamarca,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 21:00hs,,,-28.42509,-65.780317
3384,10249797,QUINIELA BUENA SUERTE,MIGUEL DE LA PENA 109,SAN FDO DEL VALLE DE CATA,Catamarca,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 20:30hs,,-28.469581,-65.779544
3796,9749267,AUTOSERVICIO LA ESTRELLA II,MATE DE LUNA 258,SAN FDO DEL VALLE DE CATA,Catamarca,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 18:00hs a 21:00hs,,,-28.473603,-65.783113
4019,10049025,ALFA PC,SALTA 976,SAN FDO DEL VALLE DE CATA,Catamarca,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:30hs,Sáb. 09:00hs a 13:00hs y 18:00hs a 21:00hs,,-28.472799,-65.776859
3924,5449454,IN GOD WE TRUST,JOSE FIGUEROA 171,SAN FDO DEL VALLE DE CATA,Catamarca,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 21:00hs,,,-28.457008,-65.785035
5303,8749229,TRAMITEL,CASEROS 192,SAN FDO DEL VALLE DE CATA,Catamarca,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 08:30hs a 13:00hs ,,-28.463261,-65.785884
