IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
594,9902393,CORREO PRESIDENCIA ROQUE SAENZ PENA,DR. MANUEL BELGRANO 601,PRESIDENCIA ROQUE SAENZ P,Chaco,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 16:00hs a 19:00hs,,,-26.788525,-60.439632
1035,5349106,SUPERMERCADO EL ARRIERO II,CALLE 317 Y CALLE 312,PRESIDENCIA ROQUE SAENZ P,Chaco,0,1,1,0,Lun. a Vie. 08:00hs a 11:00hs y 17:00hs a 19:00hs,Sáb. 08:00hs a 11:00hs y 17:30hs a 19:00hs,,-26.789904,-60.425985
1036,5349105,SUPERMERCADO EL ARRIERO I,SAN MARTIN 1470,PRESIDENCIA ROQUE SAENZ P,Chaco,0,1,1,0,Lun. a Vie. 08:00hs a 11:00hs y 17:00hs a 19:00hs,Sáb. 08:00hs a 11:00hs y 17:30hs a 19:00hs,,-26.7785,-60.436579
1037,5349107,SUPERMERCADO EL ARRIERO III,SARMIENTO Y M.MORENO,PRESIDENCIA ROQUE SAENZ P,Chaco,0,1,1,0,Lun. a Vie. 08:00hs a 11:00hs y 17:00hs a 19:00hs,Sáb. 08:00hs a 11:00hs y 17:30hs a 19:00hs,,-26.792758,-60.444074
1038,5349108,SUPERMERCADO EL ARRIERO IV,MITRE 600,PRESIDENCIA ROQUE SAENZ P,Chaco,0,1,1,0,Lun. a Vie. 08:00hs a 11:00hs y 17:00hs a 19:00hs,Sáb. 08:00hs a 11:00hs y 17:30hs a 19:00hs,,-26.78659,-60.441434
1149,6149167,SUPERMERCADO EL ARRIERO V,AV. LOS ESPANOLES 1695,PRESIDENCIA ROQUE SAENZ P,Chaco,0,1,1,0,Lun. a Vie. 08:00hs a 11:00hs y 17:00hs a 19:00hs,Sáb. 08:00hs a 11:00hs y 17:00hs a 19:00hs,,-26.770839,-60.45206
1599,8118014,COREFIN (SAENZ PENA),SAN MARTIN 456,PRESIDENCIA ROQUE SAENZ P,Chaco,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 21:00hs,Sáb. 08:00hs a 13:00hs ,,-26.788718,-60.441024
2134,5349307,SUPERMERCADO EL ARRIERO VI,PARCELA 34 E/LOTE 6 Y 18 ENSANCHE SUD,PRESIDENCIA ROQUE SAENZ P,Chaco,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:30hs a 21:30hs,Sáb. 08:00hs a 13:00hs y 16:30hs a 21:30hs,,-26.785805,-60.430899
2166,12049268,MAXI JEES,AV. 2 NRO 2060,PRESIDENCIA ROQUE SAENZ P,Chaco,0,1,1,0,Lun. a Vie. 08:30hs a 12:00hs y 17:00hs a 20:30hs,Sáb. 08:30hs a 12:00hs y 17:00hs a 20:00hs,,-26.780489,-60.430507
3574,8049344,SERVICIOS ROSA MABEL FOGAR,CALLE 306 Y CALLE 303,PRESIDENCIA ROQUE SAENZ P,Chaco,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 13:00hs ,,-26.79492,-60.431002
3575,8159003,F.E.S. PRODUCTOR ASESOR DE SEGUROS,COL. NORTE ENTRE 12 Y 14 ENS. SUR LOC 1,PRESIDENCIA ROQUE SAENZ P,Chaco,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 15:30hs a 19:30hs,,,-26.806721,-60.434169
4477,8021014,VITACOM  DESPENSA EL GRINGO CHA (014),PC 5 MZA 84 BARRIO JUAN D. PERON,PRESIDENCIA ROQUE SAENZ P,Chaco,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 23:00hs,,,-26.776141,-60.438104
4807,10249994,LOTERIAS JIMENEZ,SAN MARTIN 7,PRESIDENCIA ROQUE SAENZ P,Chaco,0,1,1,0,Lun. a Vie. 07:30hs a 14:00hs y 15:30hs a 18:30hs,Sáb. 07:30hs a 14:00hs y 15:30hs a 21:00hs,,-26.793084,-60.44284
4810,10249993,LOTERIA MENDOZA JOSE,CALLE 6 ESQUINA 25,PRESIDENCIA ROQUE SAENZ P,Chaco,0,1,1,0,Lun. a Vie. 08:00hs a 20:30hs ,,,-26.781858,-60.43412
