IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
384,9902169,CORREO RESISTENCIA - C,SARMIENTO 102,RESISTENCIA,Chaco,1,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-27.450438,-58.985502
1598,8118013,COREFIN (RESISTENCIA II),JULIO A. ROCA 99,RESISTENCIA,Chaco,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 21:00hs,Sáb. 08:00hs a 13:00hs ,,-27.451254,-58.988265
2406,8021001,VITACOM MI RECARGA CHACO (001),JUAN B. JUSTO 80,RESISTENCIA,Chaco,0,0,1,0,Lun. a Vie. 08:00hs a 12:30hs y 17:00hs a 21:00hs,Sáb. 08:00hs a 12:30hs y 17:00hs a 21:00hs,,-27.452797,-58.986459
3205,5320006,SUPERMAYORISTA VITAL RESISTENCIA,RUTA 16 KM 15,RESISTENCIA,Chaco,0,0,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 08:00hs a 20:00hs ,,-27.409186,-58.981562
3253,7059027,AGL TENTACIONES,B.LLAPONAGAT T.2 CASA 17 BRIO 102 VDAS,RESISTENCIA,Chaco,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 15:00hs a 20:00hs,Sáb. 08:00hs a 12:00hs y 15:00hs a 20:00hs,,-27.451862,-58.985555
4074,8149344,CREDIBEL RESISTENCIA I,AV. 9 DE JULIO 274,RESISTENCIA,Chaco,1,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 12:30hs ,,-27.453327,-58.984267
4075,8149345,CREDIBEL RESISTENCIA II,SALTA Y AV. ALBERDI,RESISTENCIA,Chaco,1,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:30hs a 20:30hs,Sáb. 08:30hs a 12:30hs ,,-27.453499,-58.989073
4415,8121008,CREDITO AZTECA RESISTENCIA,JUAN B. JUSTO 171,RESISTENCIA,Chaco,0,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 09:00hs a 12:00hs ,,-27.4531939,-27.4531939
4486,8021018,VITACOM  SMN SA CHA (018),VEDIA 121,RESISTENCIA,Chaco,0,0,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:30hs a 20:30hs,,,-27.450658,-58.989245
6750,,NSA AR RESISTENCIA-EMPRESA SILVIA,AV.MALVINAS ARGENTINAS  Y AV.MAC LEAN,RESISTENCIA,Chaco,1,0,0,0,Lun. a Vie. 0700 A 2100,Sáb. 0700 A 2100,Dom. 0700 A 2100,-27.453979,-59.019372
5739,8159489,AGL SEGUROS BERMUDEZ,AVENIDA EDISON 43,RESISTENCIA,Chaco,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 17:00hs a 20:00hs,Sáb. 09:00hs a 12:00hs ,,-27.464231,-59.000247
5742,8159490,AGL SEGUROS ALVARES 2,GRAL OBLIGADO 114,RESISTENCIA,Chaco,0,0,1,0,Lun. a Vie. 08:00hs a 16:00hs ,Sáb. 08:00hs a 16:00hs ,,-27.454161,-58.988329
5127,8159275,AGL SEGUROS ESTUDIO HEITRICH,AV. PARAGUAY 545 PB,RESISTENCIA,Chaco,0,0,1,0,Lun. a Vie. 07:30hs a 12:00hs y 16:30hs a 20:30hs,,,-27.451357,-58.977044
5152,8159295,AGL SEGUROS GLOBALES,SALTA 799,RESISTENCIA,Chaco,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 21:00hs,Sáb. 08:00hs a 12:00hs y 16:00hs a 21:00hs,,-27.44711,-58.996296
5330,8159345,AGL SEGUROS MARCONI,AV AVALOS 301,RESISTENCIA,Chaco,0,0,1,0,Lun. a Vie. 08:00hs a 14:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 14:00hs ,,-27.44239,-58.991078
5373,8159378,AGL SEGUROS MAZZAROLI,AV. PARAGUAY 526,RESISTENCIA,Chaco,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 20:00hs,,,-27.451464,-58.977502
5378,8159381,AGL SEGUROS STANGAFERRO,BELGRANO 599,RESISTENCIA,Chaco,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 13:00hs ,,-27.451972,-58.996088
5657,8159491,AGL SEGUROS ALVARES 1,SANTA FE 279,RESISTENCIA,Chaco,0,0,1,0,Lun. a Vie. 08:00hs a 16:00hs ,Sáb. 08:00hs a 16:00hs ,,-27.447538,-58.987222
5658,8159492,AGL SEGUROS FALCON,MARCELO T DE ALVEAR 1265,RESISTENCIA,Chaco,0,0,1,0,Lun. a Vie. 08:30hs a 17:30hs ,Sáb. 08:30hs a 17:30hs ,,-27.440331,-58.997072
5661,8159494,AGL SEGUROS BLANES,FORMOSA 148,RESISTENCIA,Chaco,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 12:00hs ,,-27.444601,-58.99128
