IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
808,9902649,CORREO VILLA ANGELA,1 DE MAYO 199,VILLA ANGELA,Chaco,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 16:00hs a 19:00hs,,,-27.576343,-60.709099
1423,5149981,FARMACIA DOSIS,SAN MARTIN 597,VILLA ANGELA,Chaco,1,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Dom. 08:00hs a 12:00hs y 16:00hs a 20:00hs,-27.572994,-60.710401
2376,8049276,MOTOMANDADOS VILLA ANGELA,MITRE 254,VILLA ANGELA,Chaco,0,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 20:30hs,Sáb. 08:00hs a 12:30hs y 16:00hs a 20:30hs,,-27.576761,-60.712983
2790,11949161,TEXET,INTENDENTE JOSE MARTIN 345,VILLA ANGELA,Chaco,1,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 12:00hs y 16:00hs a 20:00hs,,-27.583187,-60.715527
3549,12049896,TEXET IV,BALCARCE S/N,VILLA ANGELA,Chaco,0,1,1,0,Lun. a Vie. 07:30hs a 13:00hs y 16:00hs a 21:00hs,Sáb. 08:00hs a 14:00hs ,,-27.576284,-60.714995
3563,12049907,TEXET III,JACARANDA E/J.INGENIEROS Y W.ESPINOSA,VILLA ANGELA,Chaco,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:30hs a 20:30hs,Sáb. 08:00hs a 13:00hs ,,-27.581776,-60.724343
3363,12049781,TEXET II,COLON 975,VILLA ANGELA,Chaco,0,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 08:00hs a 21:00hs ,,-27.568823,-60.705549
3365,5349354,SUPERMERCADO EL ARRIERO VII,PASTEUR 170,VILLA ANGELA,Chaco,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:30hs a 21:00hs,Sáb. 08:00hs a 13:00hs y 15:30hs a 21:00hs,Dom. 08:00hs a 13:00hs ,-27.577408,-60.709757
4423,12149070,EL BUEN GUSTO,AMEGHINO 50,VILLA ANGELA,Chaco,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,,,-27.579179,-60.704274
4581,12449227,JL MAXI KIOSCO,25 DE MAYO Y PAMPA,VILLA ANGELA,Chaco,1,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 17:00hs a 21:30hs,Sáb. 08:30hs a 12:30hs y 17:00hs a 21:00hs,,-37.722931,-67.764036
5094,8159269,AGL R & B SEGUROS Y GESTIONES,SARMIENTO Y JUAN B JUSTO,VILLA ANGELA,Chaco,0,0,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 12:00hs ,,-27.579612,-60.70944
