IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
154,5449288,DON JOSE HOGAR S.A.,SAN MARTIN 647,COMODORO RIVADAVIA,Chubut,0,0,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 20:00hs,,,-45.86090488,-67.48375678
492,9902288,CORREO COMODORO RIVADAVIA - C,SAN MARTIN 180,COMODORO RIVADAVIA,Chubut,1,0,1,0,Lun. a Vie. 08:00hs a 17:00hs ,,,-45.86098,-67.47651
1659,90003049,WAL MART COMODORO RIVADAVIA,ENRIQUE GIROLAMO Y CHILE,COMODORO RIVADAVIA,Chubut,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,,-45.882863,-67.525057
2119,90001138,C.S. CARREFOUR COMODORO RIVADAVIA,PELLEGRINI 851,COMODORO RIVADAVIA,Chubut,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 09:00hs a 16:00hs ,,-45.86146492,-67.47987798
3262,12049724,EN RED,13 DE DICIEMBRE 165,COMODORO RIVADAVIA,Chubut,0,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,,,-45.86927,-67.501881
3760,12049986,DRUGSTORE DE LA PATAGONIA,SAN MARTIN 133,COMODORO RIVADAVIA,Chubut,1,1,1,0,Lun. a Vie. 07:00hs a 23:00hs ,Sáb. 07:00hs a 23:00hs ,Dom. 08:00hs a 13:00hs ,-45.861033,-67.475852
4166,90001195,C.S. CARREFOUR POLONIA (COMODORO,AV. POLONIA 1340,COMODORO RIVADAVIA,Chubut,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 16:00hs ,,-45.870027,-67.532661
3965,8049369,WESTERN DEL VIENTO,ESPANA 898,COMODORO RIVADAVIA,Chubut,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 13:00hs ,,-34.637542,-58.491491
4483,90049069,LA ANONIMA SUC 21,13 DE DICIEMBRE 100,COMODORO RIVADAVIA,Chubut,1,1,1,0,Lun. a Vie. 09:00hs a 22:00hs ,Sáb. 09:00hs a 22:00hs ,Dom. 09:00hs a 21:30hs ,-45.869958,-67.501903
6229,,CORREO COMODORO RIVADAVIA - 1,DON BOSCO 490,COMODORO RIVADAVIA,Chubut,1,0,0,0,Lun. a Vie. 0800 a 1600,,,-45.838293,-67.476715
6230,,CORREO COMODORO RIVADAVIA - 7,ALEJANDRO MAIZ  801,COMODORO RIVADAVIA,Chubut,1,0,0,0,Lun. a Vie. 0800 a 1600,,,-45.795097,-67.422926
5057,8749220,LA ANONIMA COMMODO MUY PERSONAL,SAN MARTIN 100,COMODORO RIVADAVIA,Chubut,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 19:00hs ,,-45.861096,-67.475426
5727,8149524,ORG DAMBROSIO COMODORO RIVADAVIA,BROWN 578,COMODORO RIVADAVIA,Chubut,0,0,1,0,Lun. a Vie. 09:00hs a 12:30hs y 16:00hs a 20:00hs,,,-45.864459,-67.482649
5818,8159543,AGL SEGUROS BONGIOVANNI ANTONIO,ESPA¿ 545,COMODORO RIVADAVIA,Chubut,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-45.865142,-67.485953
5827,8159562,"AGL SEGUROS MARCOS, JUAN MANUEL",AMEGHINO 506,COMODORO RIVADAVIA,Chubut,0,0,1,0,Lun. a Vie. 09:00hs a 16:00hs ,,,-45.863575,-67.481587
5833,8159565,AGL SEGUROS MARCOS ESTEBAN LUIS,AMEGHINO 506,COMODORO RIVADAVIA,Chubut,0,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-45.863575,-67.481587
5916,8149590,ORGANIZACION COMODORO,MITRE 570,COMODORO RIVADAVIA,Chubut,0,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,Sáb. 09:00hs a 13:00hs ,,-45.864712,-67.483498
6043,8159615,AGL SEGUROS ORGANIZACION AUSTRAL,AVDA RIVADAVIA 1298,COMODORO RIVADAVIA,Chubut,0,0,1,0,Lun. a Vie. 08:00hs a 17:00hs ,,,-45.862424,-67.493797
5604,8159474,AGL SEGUROS BORRAS BEATRIZ,AV. TEHUELCHES 165 KM 3,COMODORO RIVADAVIA,Chubut,0,0,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 13:00hs ,,-45.836597,-67.476588
4940,90049107,ITALIA 876,ITALIA 876,COMODORO RIVADAVIA,Chubut,1,1,1,0,Lun. a Vie. 08:00hs a 18:00hs ,Sáb. 09:00hs a 14:00hs ,,-45.861287,-67.487776
