IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
553,9902350,CORREO PUERTO MADRYN,GDOR ALEJANDRO MAIZ 293,PUERTO MADRYN,Chubut,1,0,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 19:00hs,,,-42.768941,-65.039587
2357,90001183,C.S. PUERTO MADRYN,GOBERNADOR MAIZ 298,PUERTO MADRYN,Chubut,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 19:00hs,Sáb. 09:00hs a 13:00hs ,,-42.768883,-65.039674
2410,8149262,TORRES BOAGLIO ASESORES DE SEGUROS,AV. ROCA 936,PUERTO MADRYN,Chubut,0,1,1,0,Lun. a Vie. 08:30hs a 20:30hs ,Sáb. 09:00hs a 13:00hs ,,-42.77331,-65.028755
2122,90001141,C.S. CARREFOUR PUERTO MADRYN I,28 DE JULIO 136,PUERTO MADRYN,Chubut,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,Dom. 09:30hs a 13:30hs ,-42.76640149,-65.03522014
2123,90001142,C.S. CARREFOUR PUERTO MADRYN II,AV. GALES 1315,PUERTO MADRYN,Chubut,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,Dom. 10:00hs a 14:00hs ,-42.77551644,-65.04852778
3584,12049921,CIBERNIK,PASAJE POGGIO 668,PUERTO MADRYN,Chubut,0,1,1,0,Lun. a Vie. 08:00hs a 23:00hs ,Sáb. 08:00hs a 23:00hs ,Dom. 08:00hs a 23:00hs ,-42.757312,-65.043338
3585,6949489,LIBRERIA COLORES,JUAN B. JUSTO 1906,PUERTO MADRYN,Chubut,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:00hs a 18:00hs,Sáb. 09:00hs a 13:00hs ,,-42.784056,-65.033349
4185,11949462,LA FAMILIA,RIO MAYO 1344,PUERTO MADRYN,Chubut,1,1,1,0,Lun. a Vie. 08:00hs a 13:30hs y 16:30hs a 22:00hs,Sáb. 08:00hs a 13:30hs y 16:30hs a 22:00hs,,-42.758835,-65.063549
4219,5449470,MALL DON BOSCO 28 DE JULIO,28 DE JULIO 398,PUERTO MADRYN,Chubut,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 20:00hs,,-42.767478,-65.038909
4220,5449471,MALL DON BOSCO SAENZ PENA,SAENZ PENA 76,PUERTO MADRYN,Chubut,0,1,1,0,Lun. a Vie. 09:00hs a 12:30hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 12:30hs y 17:00hs a 21:00hs,,-42.765037,-65.035224
4221,5449472,MALL DON BOSCO CASA CENTRAL,BELGRANO 219,PUERTO MADRYN,Chubut,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 20:30hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 20:30hs,,-38.860337,-62.084513
4491,12449193,LOS MOSKAS DEL SUR,SAN MARTIN 112,PUERTO MADRYN,Chubut,0,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,,-42.766626,-65.0395
4492,12449185,LOS MOSKAS DEL SUR 2,SAN MARTIN 601,PUERTO MADRYN,Chubut,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,,-42.771452,-65.036435
4290,7249130,SONAFRANKA,25 DE MAYO 246,PUERTO MADRYN,Chubut,1,1,1,0,Lun. a Vie. 08:30hs a 20:30hs ,Sáb. 08:30hs a 20:30hs ,Dom. 10:00hs a 20:30hs ,-42.766569,-65.034657
5728,8149525,ORG DAMBROSIO PUERTO MADRYN,ROSALES 529,PUERTO MADRYN,Chubut,0,0,1,0,Lun. a Vie. 09:30hs a 12:00hs y 16:00hs a 20:00hs,,,-42.773449,-65.044879
5145,8159293,AGL SEGUROS PREVER,SARMIENTO 673,PUERTO MADRYN,Chubut,0,0,1,0,Lun. a Vie. 09:00hs a 12:30hs y 16:00hs a 20:00hs,,,-42.771656,-65.040722
5834,8149566,SINERGIA GRUPO,VILLARINO 143,PUERTO MADRYN,Chubut,0,0,1,0,Lun. a Vie. 08:00hs a 18:00hs ,,,-42.777363,-65.028568
5263,8159327,AGL SEGUROS KEES,KEES MARIA ALDANA,PUERTO MADRYN,Chubut,0,0,1,0,Lun. a Vie. 09:00hs a 18:30hs ,Sáb. 09:00hs a 13:00hs ,,-42.764854,-65.041834
5336,8159362,AGL SEGUROS CASTELNUOVO JOSE MARIA,SARMIENTO 391,PUERTO MADRYN,Chubut,0,0,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:30hs a 20:30hs,,,-42.770381,-65.036981
5339,8159363,AGL SEGUROS ANSELMINO ENZO,HIPOLITO YRIGOYEN 860,PUERTO MADRYN,Chubut,0,0,1,0,Lun. a Vie. 09:00hs a 19:30hs ,Sáb. 09:00hs a 13:00hs ,,-42.771209,-65.043897
6041,8159620,AGL SEGUROS AM PRODUCTOR ASESOR DE,SARMIENTO 466,PUERTO MADRYN,Chubut,0,0,1,0,Lun. a Vie. 08:00hs a 17:00hs ,,,-42.770727,-65.037962
5377,8159379,AGL SEGUROS MARTINI NESTOR VICENTE,JUAN B. JUSTO 1517,PUERTO MADRYN,Chubut,0,0,1,0,Lun. a Vie. 08:30hs a 20:30hs ,,,-42.78179,-65.034799
6060,12449395,LOS MOSKAS DEL SUR,SAN MARTIN 112,PUERTO MADRYN,Chubut,0,1,1,0,Lun. a Vie. 08:30hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,,-42.766711,-65.039446
6080,8149647,ORGANIZACION KELLER PUERTO MADRYN,HIPOLITO YRIGOYEN 201,PUERTO MADRYN,Chubut,0,1,1,0,Lun. a Vie. 08:00hs a 17:00hs ,,,-42.764562,-65.037585
5452,8159419,AGL SEGUROS KELLER MADRYN,HIPOLITO YRIGOYEN 201,PUERTO MADRYN,Chubut,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-42.764562,-65.037585
5623,8159479,AGL SEGUROS LAGLERA RODRIGO,M.A.ZAR 821,PUERTO MADRYN,Chubut,0,0,1,0,Lun. a Vie. 09:00hs a 20:30hs ,,,-42.773635,-65.033601
