IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
439,9902235,CORREO ALTA GRACIA,AV. LIBERTADOR 577,ALTA GRACIA,Córdoba,1,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:00hs a 19:00hs,,,-31.658505,-64.420727
1052,8049050,NUEVO CENTRO DE SERVICIOS,RAFAEL LOZADA 79,ALTA GRACIA,Córdoba,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 14:30hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-31.661811,-64.434692
1752,6349061,MAXIHOME CLARO II,BELGRANO 378,ALTA GRACIA,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:30hs a 21:30hs,Sáb. 09:00hs a 13:00hs y 17:30hs a 21:30hs,,-31.657953,-64.429609
1528,11849014,FARMACIA DEL HOSPITAL,EDUCADOR GALASSO Y RECONQUISTA,ALTA GRACIA,Córdoba,0,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 17:00hs a 19:30hs,,,-33.089916,-61.792214
3892,12149060,EL TRIGAL,BUTORI 246,ALTA GRACIA,Córdoba,1,1,1,0,Lun. a Vie. 08:00hs a 13:30hs ,Sáb. 08:00hs a 13:30hs ,,-31.653282,-64.446496
4991,8149404,C.C.P,AV. LIBERTADOR 1943,ALTA GRACIA,Córdoba,1,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 17:00hs a 20:30hs,Sáb. 08:30hs a 12:30hs ,,-31.658361,-64.410642
5750,8759064,AGL SEGUROS MOLINA ALTA GRACIA,URUGUAY 289,ALTA GRACIA,Córdoba,0,0,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 20:00hs,Sáb. 09:00hs a 12:00hs ,,-31.653794,-64.430925
5248,7149039,FOTOCOPIADORA JUAQUI,AV DE MAYO 165,ALTA GRACIA,Córdoba,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 20:00hs,Sáb. 08:30hs a 13:00hs y 17:00hs a 20:00hs,,-31.661142,-64.44465
5972,5449496,TRABUCO S.A. ALTA GRACIA,AVDA.DEL LIBERTADOR 1330,ALTA GRACIA,Córdoba,1,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 17:00hs a 21:00hs,Sáb. 08:30hs a 12:30hs y 17:00hs a 21:00hs,,-31.65856,-64.417491
5982,6249102,CASA LUNA,AV LIBERTADOR 625,ALTA GRACIA,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 12:30hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 12:30hs y 17:00hs a 21:00hs,,-31.658393,-64.425537
