IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
121,90003009,WAL MART CORDOBA ESTE,MAURICIO YADAROLA 1699,CORDOBA,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 22:00hs ,Sáb. 11:00hs a 22:00hs ,Dom. 11:00hs a 22:00hs ,-31.391097,-64.160641
122,90003010,WAL MART CORDOBA OESTE,AV. COLON Y DE CIRCUNVALACION,CORDOBA,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 22:00hs ,Sáb. 11:00hs a 22:00hs ,Dom. 11:00hs a 22:00hs ,-31.397007,-64.266902
125,90015002,C.S. LIBERTAD CORDOBA LUGONES,F. L. BELTRAN Y CARDENOSA,CORDOBA,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 22:00hs ,Sáb. 09:00hs a 22:00hs ,Dom. 09:00hs a 22:00hs ,-31.365669,-64.217757
126,90015003,C.S. LIBERTAD CORDOBA J. RIOS,LIBERTAD Y CNEL PRINGLES,CORDOBA,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 22:00hs ,Sáb. 09:00hs a 22:00hs ,Dom. 09:00hs a 22:00hs ,-31.408838,-64.169056
127,90015004,C.S. LIBERTAD CORDOBA RUTA 9,AV. SABATTINI 3250,CORDOBA,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 22:00hs ,Sáb. 09:00hs a 22:00hs ,Dom. 09:00hs a 22:00hs ,-31.433189,-64.142626
130,90016002,C.S. MARIANO MAX II,AV. ARTURO CAPDEVILLA Y RANCAGUA,CORDOBA,Córdoba,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,,,-31.379753,-64.147744
174,8049024,COCAPROSECO-COOP.LTDA.,"RUTA 19 KM 7,5",CORDOBA,Córdoba,0,1,1,0,Lun. a Vie. 13:00hs a 18:00hs ,,,-31.393807,-64.109051
383,9902168,CORREO CORDOBA - C,AV. COLON 210,CORDOBA,Córdoba,1,0,1,0,Lun. a Vie. 08:30hs a 19:30hs ,,,-31.412816,-64.185825
425,9902221,CORREO CORDOBA - 1,AV. JUAN B. JUSTO 3479,CORDOBA,Córdoba,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-31.384635,-64.175913
430,9902226,CORREO CORDOBA - 6,JUAN RODRIGUEZ 1351 - BRIO SAN VICENTE,CORDOBA,Córdoba,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-31.423801,-64.149294
432,9902228,CORREO CORDOBA - 12,AV. L. N. ALEM 753,CORDOBA,Córdoba,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-31.3937,-64.166298
434,9902230,CORREO CORDOBA - 9,AV. RAFAEL NUNEZ 3782 LOCAL 2 BRIO CERRO,CORDOBA,Córdoba,1,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:00hs a 19:00hs,,,-31.375667,-64.22677
435,9902231,CORREO CORDOBA - 16,AV. VELEZ SARSFIELD 3458,CORDOBA,Córdoba,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-31.449911,-64.19987
440,9902236,CORREO CORDOBA - 10,AV. FUERZA AEREA ARGENTINA 2921,CORDOBA,Córdoba,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-31.431569,-64.227393
443,9902239,CORREO CORDOBA - 8,MONS. P.CABRERA 3160 - BRIO ZUMARAN,CORDOBA,Córdoba,1,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:00hs a 19:00hs,,,-31.375971,-64.206636
444,9902240,CORREO CORDOBA - 3,AV. COLON  2547,CORDOBA,Córdoba,1,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:00hs a 19:00hs,,,-31.40418149,-64.21545516
