IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
428,9902224,CORREO RIO CUARTO,GENERAL PAZ 624,RIO CUARTO,Córdoba,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-33.122686,-64.345999
775,9902610,CORREO AGENCIA 5 RIO CUARTO,DR. AMADEP SABATTINI 1982,RIO CUARTO,Córdoba,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-33.13527333,-64.35238867
776,9902611,CORREO RIO CUARTO AG. 4,MARTIRES RIOCUARTENSES 1044,RIO CUARTO,Córdoba,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:00hs a 19:00hs,,,-33.126678,-64.3605365
779,9902615,CORREO RIO CUARTO AG. 1,ENTRE RIOS 484,RIO CUARTO,Córdoba,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs ,,,-33.13136388,-64.33271024
1062,90003012,WAL MART RIO CUARTO,AGENTE DUARTE Y RUTA 5,RIO CUARTO,Córdoba,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-33.131063,-64.382983
1662,7549701,SIETE ESTRELLAS,MONTEVIDEO 373,RIO CUARTO,Córdoba,1,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,,,-33.13515418,-64.33191341
2071,7249088,PATAS,ESTADOS UNIDOS 559,RIO CUARTO,Córdoba,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 20:30hs,Sáb. 08:30hs a 13:00hs y 16:30hs a 20:30hs,,-33.11194333,-64.32902167
2075,10249617,ASA HOSTEL,COLON 369,RIO CUARTO,Córdoba,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-33.123909,-64.354584
2664,12049496,KIOSCO FELY,JOSE SERRANO 321,RIO CUARTO,Córdoba,0,1,1,0,Lun. a Vie. 08:00hs a 14:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 14:00hs y 16:00hs a 20:00hs,Dom. 08:00hs a 14:00hs ,-33.138842,-64.314833
2424,8118039,COREFIN (RIO CUARTO),BUENOS AIRES 81,RIO CUARTO,Córdoba,0,0,1,0,Lun. a Vie. 08:00hs a 12:30hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-33.124139,-64.349425
2430,10249668,QUINIELA SAN JOSE,AV. MARCELO T. DE ALVEAR 1549,RIO CUARTO,Córdoba,0,1,1,0,Lun. a Vie. 08:30hs a 13:30hs y 16:00hs a 20:30hs,Sáb. 08:00hs a 13:30hs y 17:00hs a 20:30hs,,-33.097669,-64.328184
3273,11949251,POLIRUBRO EKEKO,GRAL. SOLER 2001,RIO CUARTO,Córdoba,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs ,Sáb. 09:00hs a 13:00hs ,,-33.134858,-64.359562
3080,12049621,KIOSCO SILVANA,TUCUMAN 833,RIO CUARTO,Córdoba,0,1,1,0,Lun. a Vie. 08:30hs a 13:30hs y 17:00hs a 22:30hs,Sáb. 08:30hs a 13:30hs y 17:00hs a 22:30hs,,-33.130098,-64.327856
3081,12249116,LOCUTORIO NORVEA,AV. MARCELO T DE ALVEAR 350,RIO CUARTO,Córdoba,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 14:00hs a 22:30hs,Sáb. 08:30hs a 12:30hs y 13:00hs a 22:30hs,,-33.109955,-64.341175
3411,12049813,MAXIKIOSCO LEO,SARMIENTO 2453,RIO CUARTO,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 14:00hs y 17:00hs a 23:00hs,Sáb. 09:00hs a 14:00hs y 17:00hs a 23:00hs,,-33.143475,-64.349098
3544,12049893,KIOSCO ROJO,MITRE 1027,RIO CUARTO,Córdoba,0,1,1,0,Lun. a Vie. 08:00hs a 23:55hs ,Sáb. 08:00hs a 23:55hs ,,-33.126046,-64.353381
3369,12049787,MARITA,SUCRE 21,RIO CUARTO,Córdoba,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-33.139206,-64.35235
3382,12049794,NEWEN,BUENOS AIRES 55,RIO CUARTO,Córdoba,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,Dom. 11:00hs a 20:00hs ,-33.124243,-64.349249
3389,7449107,PILCHERIA STELLA MARYS,H. YRIGOYEN 2850,RIO CUARTO,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-33.14784,-64.353807
4348,12449166,QUIOSCO EL NUEVO 22,FRAY QUIRICO PORRECA 671,RIO CUARTO,Córdoba,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:30hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-33.114502,-64.331631
4723,12449256,SUPER KIOSKO EL RENUEVO,WENCESLAO TEJERINA 478,RIO CUARTO,Córdoba,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 21:00hs,Sáb. 08:00hs a 13:00hs y 16:00hs a 21:00hs,,-33.104181,-64.368952
4728,5949074,VIDEO CLUB PKS,GUARDIAS NACIONALES Y GONDART,RIO CUARTO,Córdoba,0,1,1,0,Lun. a Vie. 09:00hs a 13:30hs y 18:00hs a 23:00hs,Sáb. 09:00hs a 13:30hs y 18:00hs a 23:00hs,,-34.533764,-58.74591
4749,7149036,SAN MARTIN EXPRESS,LUIS REINAUDI 978,RIO CUARTO,Córdoba,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 09:00hs a 13:00hs ,,-33.12256,-64.36553
4758,8149373,GUSTAVO LOPEZ,SARMIENTO 1351,RIO CUARTO,Córdoba,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:00hs a 19:30hs,Sáb. 09:00hs a 12:00hs ,,-33.131344,-64.345442
4834,12149082,FP CYBER,MARTIN QUENON 995,RIO CUARTO,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 14:00hs y 16:30hs a 23:00hs,,,-33.136978,-64.367104
6533,,CORREO RIO CUARTO - 4,MARTIRES RIOCUARTENSES  1044,RIO CUARTO,Córdoba,1,0,0,0,Lun. a Vie. 0800 A 1300 1700 A 2000,,,-33.127459,-64.36155
4981,7849058,INVERSIONES INMOBILIARIAS,CONSTITUCION 296,RIO CUARTO,Córdoba,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-33.119625,-64.348288
5060,12449311,KIOSCO CLICK,HIPOLITO IRIGOYEN 760,RIO CUARTO,Córdoba,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:30hs a 21:00hs,Sáb. 09:00hs a 13:00hs y 18:00hs a 21:00hs,,-33.12447,-64.346593
5186,12449332,KIOSCO RIO 4,MARIA OLGUIN 946,RIO CUARTO,Córdoba,1,1,1,0,Lun. a Vie. 08:00hs a 11:00hs y 14:00hs a 19:00hs,,,-33.124006,-64.357207
5412,9749346,ALMACEN LAURA,MARIA OLGUIN 1401,RIO CUARTO,Córdoba,0,1,1,0,Lun. a Vie. 09:00hs a 14:00hs y 17:00hs a 22:30hs,Sáb. 08:00hs a 14:00hs y 17:00hs a 22:30hs,Dom. 09:00hs a 14:00hs ,-33.129128,-64.358904
4878,5249116,AGROSERVICE LAS VERTIENTES,JULIO A ROCA 470,RIO CUARTO,Córdoba,0,1,1,0,Lun. a Vie. 07:00hs a 22:00hs ,Sáb. 07:00hs a 22:00hs ,,-33.277075,-64.582303
4930,11949568,LO Q SE TE OCURRA,JUAN SEBASTIAN BACH 1080,RIO CUARTO,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs y 16:00hs a 20:00hs,,33.122595,-64.372525
