IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
441,9902237,CORREO RIO TERCERO,INT. DE BUONO 81,RIO TERCERO,Córdoba,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-32.171307,-64.108877
1349,10249369,AGENCIA QUINIELA ALADINO,25 DE MAYO 267,RIO TERCERO,Córdoba,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 20:00hs,,-32.17635843,-64.11616686
1711,6949313,LIBRERIA AMERICA,SAVIO 269,RIO TERCERO,Córdoba,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 13:00hs y 16:00hs a 20:00hs,,-32.17132422,-64.12191716
1777,8149194,ORGANIZACION NELDO RAFFO SEGUROS,VELEZ SARSFIELD 157,RIO TERCERO,Córdoba,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 12:00hs ,,-32.174563,-64.112685
1565,10249494,AGENCIA QUINIELA MORENA,ALBERDI 197,RIO TERCERO,Córdoba,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 21:00hs,,-32.17491941,-64.11200727
2140,6449256,COOP.DE PROM.Y DESARROLLO REGIONAL LTDA,AV. SAN MARTIN 320,RIO TERCERO,Córdoba,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs ,,,-32.17659894,-64.11215978
4346,5449474,MUEBLERIA ROMERO,JUSTINIANO POSSE 2810,RIO TERCERO,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 15:30hs a 21:00hs,Sáb. 09:00hs a 13:00hs y 15:30hs a 21:00hs,,-32.166857,-64.16001
4524,11849245,FARMACIA SOMALE,AV. GRAL SAVIO 1143,RIO TERCERO,Córdoba,1,1,1,0,Lun. a Vie. 08:30hs a 12:00hs y 16:30hs a 19:30hs,Sáb. 08:30hs a 12:00hs ,,-32.170155,-64.131894
5748,9749352,AUTOSERVICIO LOS VECINOS,SAN MIGUEL 507 B¿ ESCUELA,RIO TERCERO,Córdoba,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:30hs a 20:30hs,Sáb. 08:00hs a 13:00hs y 16:30hs a 20:30hs,,-32.166764,-64.123437
5969,5449493,TRABUCO S.A. RIO TERCERO TECNO,VELEZ SARSFIELD 259,RIO TERCERO,Córdoba,1,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 17:00hs a 21:00hs,Sáb. 08:30hs a 12:30hs y 17:00hs a 21:00hs,,-32.172918,-64.113518
5975,5449499,TRABUCO S.A. RIO TERCERO HOGAR,AV VELEZ SARSFIELD 215,RIO TERCERO,Córdoba,1,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 17:00hs a 21:00hs,Sáb. 08:30hs a 12:30hs y 17:00hs a 21:00hs,,-32.173176,-64.113122
4947,11149069,ESTUDIO ELVIO GUBLER Y ASOCIADOS,BOLIVAR 243,RIO TERCERO,Córdoba,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 19:00hs,,,-32.172121,-64.115276
4966,12449297,LA ESQUINA DE ORI,ESPERANZA 1191,RIO TERCERO,Córdoba,0,1,1,0,Lun. a Vie. 08:00hs a 24:00hs ,Sáb. 08:00hs a 24:00hs ,Dom. 10:00hs a 20:00hs ,-32.174865,-64.11839
