IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
431,9902227,CORREO VILLA CARLOS PAZ,SAN MARTIN 199,VILLA CARLOS PAZ,Córdoba,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-31.41994,-64.497645
1199,7049456,KIOSCO CARLOS PAZ,9 DE JULIO 499,VILLA CARLOS PAZ,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 12:30hs y 17:00hs a 20:30hs,Sáb. 09:00hs a 12:30hs y 17:00hs a 20:30hs,,-31.418888,-64.505261
2965,5319320,CARREFOUR EXPRESS (650),SAN MARTIN 26,VILLA CARLOS PAZ,Córdoba,0,0,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 20:00hs ,-31.413836,-64.183089
3595,11949331,LIBRERIA Y REGALERIA C Y G,ALVEAR 325,VILLA CARLOS PAZ,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 18:00hs a 21:00hs,Sáb. 10:00hs a 13:00hs ,,-31.420255,-64.494684
3286,12049735,EQUILIBRIO,PERON 1085 LOC 2,VILLA CARLOS PAZ,Córdoba,0,1,1,0,Lun. a Vie. 08:30hs a 14:00hs y 17:00hs a 21:00hs,Sáb. 08:30hs a 14:00hs y 17:00hs a 21:00hs,,-31.440103,-64.506004
3331,10249793,COOPECOR QUINIELA MARICEL,AV. LIBERTAD 162,VILLA CARLOS PAZ,Córdoba,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 19:00hs,Sáb. 09:00hs a 13:00hs y 16:00hs a 19:00hs,,-31.421688,-64.493502
3824,8249076,IMAN TURISIMO,CARCANO 57,VILLA CARLOS PAZ,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 13:30hs y 17:00hs a 21:30hs,Sáb. 09:15hs a 13:30hs y 18:00hs a 21:30hs,,-31.423122,-64.495509
4120,12449097,LA CASITA 2,AV. CARCANO 487,VILLA CARLOS PAZ,Córdoba,1,1,1,0,Lun. a Vie. 08:30hs a 14:00hs y 16:30hs a 21:00hs,,,-31.430135,-64.497392
4121,6349413,TECHNOZONE IV,GENERAL PAZ 280,VILLA CARLOS PAZ,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 19:00hs,Sáb. 09:00hs a 13:00hs ,,-31.421971,-64.495533
3944,11649339,UNNO COMPUTERS,LEANDRO N. ALEM 20,VILLA CARLOS PAZ,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,,-31.420817,-64.500955
5731,8149527,ORG DAMBROSIO CARLOS PAZ,CARCANO 1119,VILLA CARLOS PAZ,Córdoba,0,0,1,0,Lun. a Vie. 09:00hs a 12:30hs y 16:00hs a 20:00hs,,,-31.460936,-64.511861
5184,8749224,CENTRO DE SERVICIOS LAS HERAS,LAS HERAS 434,VILLA CARLOS PAZ,Córdoba,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 19:00hs,Sáb. 08:30hs a 13:00hs y 16:30hs a 19:00hs,,-31.422248,-64.500317
6048,12449393,KIOSCO JUAMPI,AV. CARCANO 1801,VILLA CARLOS PAZ,Córdoba,0,1,1,0,Lun. a Vie. 07:00hs a 20:30hs ,,,-31.460336,-64.5116
6049,12649039,LOS TATES,SAN MARTIN 2345 LOCAL 1,VILLA CARLOS PAZ,Córdoba,0,1,1,0,Lun. a Vie. 09:00hs a 14:00hs y 16:00hs a 21:00hs,Sáb. 09:00hs a 14:00hs y 16:00hs a 21:00hs,,-31.402096,-64.469225
