IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
788,9902624,CORREO VILLA DOLORES,ITALIA 299,VILLA DOLORES,Córdoba,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-31.948599,-65.188929
1955,7549871,POLIRUBRO MANCHITAS,MIGUEL CANE 149,VILLA DOLORES,Córdoba,0,1,1,0,Lun. a Vie. 09:30hs a 13:00hs y 17:30hs a 21:00hs,Sáb. 09:30hs a 13:00hs y 17:30hs a 21:00hs,,-31.947308,-65.16567
2375,12049409,VITIMAX,AV. SAN MARTIN 183,VILLA DOLORES,Córdoba,1,1,1,0,Lun. a Vie. 07:00hs a 22:30hs ,Sáb. 09:00hs a 22:30hs ,,-31.946131,-65.192742
2128,9749145,DESPENSA LAURA,AV. SAN MARTIN 1050,VILLA DOLORES,Córdoba,0,1,1,0,Lun. a Vie. 09:00hs a 12:30hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 12:00hs ,,-31.955403,-65.19504
3945,12449033,EL CATA,BELGRANO 655,VILLA DOLORES,Córdoba,1,1,1,0,Lun. a Vie. 07:30hs a 14:00hs y 16:00hs a 24:00hs,,,-31.946085,-65.181575
4526,9749300,DESPENSA JARDIN,HORMAECHE 515,VILLA DOLORES,Córdoba,0,1,1,0,Lun. a Vie. 07:30hs a 12:00hs y 17:30hs a 20:30hs,Sáb. 07:30hs a 12:00hs y 17:30hs a 20:30hs,,-31.951618,-65.189706
6698,,MULTITEL COMUNICACIONES,FELIPE ERDMAN  426,VILLA DOLORES,Córdoba,1,0,0,0,Lun. a Vie. 0900 A 1230 1700 A 2100,Sáb. 0900 A 1230 1700 A 2100,,-31.9463865,-65.1877075
5006,9849175,ABRAMO EXPRESS,AV. BELGRANO 1201,VILLA DOLORES,Córdoba,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 21:00hs,Sáb. 08:30hs a 13:00hs y 16:30hs a 21:00hs,,-31.947592,-65.173617
5683,8649090,LA NATIVIDAD,CENOBIO SOTO 100,VILLA DOLORES,Córdoba,1,1,1,0,Lun. a Vie. 07:00hs a 14:00hs y 17:00hs a 22:00hs,Sáb. 07:00hs a 14:00hs y 17:00hs a 22:00hs,Dom. 08:30hs a 14:00hs y 17:00hs a 20:30hs,-31.945232,-65.192565
5686,8649091,LA NATIVIDAD I,25 DE MAYO 899,VILLA DOLORES,Córdoba,0,1,1,0,Lun. a Vie. 07:00hs a 14:00hs y 17:00hs a 22:00hs,Sáb. 07:00hs a 14:00hs y 17:00hs a 22:00hs,Dom. 08:30hs a 14:00hs y 17:00hs a 20:30hs,-31.945574,-65.177435
