IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
436,9902232,CORREO VILLA MARIA,CATAMARCA 1190,VILLA MARIA,Córdoba,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-32.40919694,-63.24346971
1137,9049015,PANALERA Y ACCESORIOS ENANOS,SARMIENTO 1586,VILLA MARIA,Córdoba,1,1,1,0,Lun. a Vie. 07:00hs a 12:30hs y 17:00hs a 20:00hs,Sáb. 07:00hs a 12:30hs y 17:00hs a 20:00hs,,-32.429162,-63.244603
1012,5149699,FARMACIA DEL SUB NIVEL,MITRE 54,VILLA MARIA,Córdoba,0,1,1,0,Lun. a Vie. 08:00hs a 12:30hs ,,,-32.41399057,-63.24497186
1438,5149982,FARMACIA MODERNA II,BUENOS AIRES 1301,VILLA MARIA,Córdoba,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 17:00hs a 20:00hs,,,-32.410303,-63.24048
1663,9749076,INAKI,RECONQUISTA 169,VILLA MARIA,Córdoba,0,1,1,0,Lun. a Vie. 08:00hs a 13:30hs y 16:30hs a 20:30hs,Sáb. 08:00hs a 13:00hs ,,-32.41855096,-63.24954176
2003,10249609,COOPECOR AGENCIA 043,GRAL. PAZ 149,VILLA MARIA,Córdoba,0,1,1,0,Lun. a Vie. 08:00hs a 13:30hs y 16:00hs a 20:30hs,Sáb. 09:00hs a 13:30hs y 17:00hs a 20:30hs,,-32.41027878,-63.24407786
1911,9902843,CORREO AGENCIA 2 VILLA MARIA,AV. PRESIDENTE PERON 2756,VILLA MARIA,Córdoba,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs ,,,-32.421686,-63.216828
1912,9902844,CORREO VILLA MARIA - AGENCIA 3,CARTAGENA 690,VILLA MARIA,Córdoba,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs ,,,-32.407278,-63.213131
2231,8049251,CALL CENTER,CATAMARCA 1253,VILLA MARIA,Córdoba,0,1,1,0,Lun. a Vie. 08:30hs a 20:30hs ,,,-32.40866447,-63.2428082
2127,11849126,FARMACIA LA EUROPEA I,BOULEVARD ESPANA 417,VILLA MARIA,Córdoba,0,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 20:30hs,,,-32.40485794,-63.24180904
4129,7449128,SIN VUELTAS,INDEPENDENCIA 31,VILLA MARIA,Córdoba,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:00hs a 19:00hs,Sáb. 09:00hs a 13:00hs ,,-32.404383,-63.233559
4722,11949522,EL SHOPPING DE LA LIMPIEZA,ESPANA 287,VILLA MARIA,Córdoba,1,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:30hs a 20:30hs,Sáb. 08:30hs a 12:30hs ,,-32.405493,-63.241384
4836,7449140,CRISTOBAL,AV. COLON 357,VILLA MARIA,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 12:30hs y 14:00hs a 20:30hs,,,-32.40921,-63.257337
5047,6949565,MULTIESPACIO ABM,DARIO DAVID RAMONDA 2198,VILLA MARIA,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 13:00hs y 16:30hs a 20:30hs,,-32.405822,-63.229474
5934,6749139,TODO POSITIVO,VELEZ SARSFIELD 727,VILLA MARIA,Córdoba,0,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 12:00hs y 16:30hs a 20:30hs,,-32.40665,-63.253077
6079,6949577,LIBRERIA Y JUGUETERIA EL AUTOR,TUCUMAN 880,VILLA MARIA,Córdoba,0,1,1,0,Lun. a Vie. 07:00hs a 14:00hs y 17:00hs a 22:00hs,,,-32.416576,-63.242437
4901,6449347,MUTUAL DE ASOCIADOS DEL CLUB SPORTIVO,SAN JUAN 1047,VILLA MARIA,Córdoba,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs ,,,-32.408562,-63.246744
