IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
386,9902171,CORREO CORRIENTES - C,SAN JUAN 1098,CORRIENTES,Corrientes,1,0,1,0,Lun. a Vie. 07:30hs a 19:30hs ,,,-27.469584,-58.837047
713,9902540,CORREO CORRIENTES - 3,COSQUIN 1890,CORRIENTES,Corrientes,1,0,1,0,Lun. a Vie. 07:00hs a 12:30hs y 16:30hs a 19:30hs,,,-27.494178,-58.829408
1203,90003017,WAL MART CORRIENTES,AV. GREGORIO POMAR 840,CORRIENTES,Corrientes,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-27.472393,-58.806706
1700,8849957,TELECABINAS 360,9 DE JULIO 2102,CORRIENTES,Corrientes,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:30hs a 13:00hs ,,-27.467498,-58.823843
1725,8249027,DISTRIBUIDORA MLL,LAS GARDEMIAS 925 MZNA 61-145 CASA 110,CORRIENTES,Corrientes,0,1,1,0,Lun. a Vie. 08:30hs a 12:00hs y 17:00hs a 19:00hs,Sáb. 08:30hs a 12:00hs ,,-27.450513,-58.777634
1810,12049092,MARISEL,TUCUMAN 1198,CORRIENTES,Corrientes,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 08:30hs a 13:00hs ,,-27.470253,-58.841979
1594,8118007,COREFIN (CORRIENTES),JUNIN 954,CORRIENTES,Corrientes,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 21:00hs,Sáb. 08:00hs a 13:00hs ,,-27.467539,-58.838592
1958,12049174,EDU JUEGOS,CATAMARCA 978,CORRIENTES,Corrientes,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 08:30hs a 13:00hs ,,-27.468656,-58.833257
2130,8120001,CREDITO AZTECA CORRIENTES,CARLOS PELLEGRINI 1199,CORRIENTES,Corrientes,0,0,1,0,Lun. a Vie. 07:30hs a 12:30hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 12:30hs ,,-27.465361,-58.835524
2135,12049248,MAXIKIOSCO SAN JUAN,SAN JUAN 715,CORRIENTES,Corrientes,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 08:30hs a 13:00hs ,,-27.465637,-58.836459
2467,12049466,MAXIKIOSCO IRIGOYEN,IRIGOYEN 2160,CORRIENTES,Corrientes,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 17:00hs a 21:00hs,Sáb. 08:30hs a 12:30hs ,,-27.46982,-58.824757
2841,90001187,C. S. CARREFOUR CORRIENTES (HIPER),AV. PEDRO FERRE Y CHACABUCO,CORRIENTES,Corrientes,1,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,,-27.478383,-58.815125
2867,5749021,LA TABELA I,AV. TENIENTE IBANEZ 1535,CORRIENTES,Corrientes,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:30hs a 23:00hs,Sáb. 09:00hs a 13:00hs y 17:30hs a 23:00hs,,-27.485397,-58.837974
2868,5749022,LA TABELA II,JUNIN 1795,CORRIENTES,Corrientes,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:30hs a 23:00hs,Sáb. 09:00hs a 13:00hs y 17:30hs a 23:00hs,,-27.4682507,-58.8279673
2869,5749023,LA TABELA III,GODOY CRUZ 1199,CORRIENTES,Corrientes,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:30hs a 23:00hs,Sáb. 09:00hs a 13:00hs y 17:30hs a 23:00hs,,-27.481079,-58.789322
2928,6949441,ARLIM,GUTEMBER 2740,CORRIENTES,Corrientes,0,1,1,0,Lun. a Vie. 07:00hs a 13:00hs y 16:30hs a 21:00hs,Sáb. 08:00hs a 13:00hs y 16:30hs a 21:00hs,,-27.484649,-58.832519
3182,6049060,PAGOS MAXI,AV.INDEPENDENCIA 4392,CORRIENTES,Corrientes,0,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 17:00hs a 21:00hs,Sáb. 08:00hs a 12:30hs y 17:00hs a 21:00hs,,-27.4818035,-58.7986191
3562,12049905,MAXIKIOSCO MORENO,MORENO 1699,CORRIENTES,Corrientes,0,1,1,0,Lun. a Vie. 09:00hs a 12:30hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 12:30hs ,,-27.473884,-58.829857
3733,8149320,VIENTO NORTE,AV. PEDRO FERRE 981,CORRIENTES,Corrientes,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-27.475139,-58.839075
3734,12049975,LOS REBO,AV. TENIENTE IBANEZ 972,CORRIENTES,Corrientes,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 08:30hs a 13:00hs y 17:00hs a 21:00hs,,-27.485133,-58.840981
3823,12349016,MAXIKIOSCO 33,SALTA 671,CORRIENTES,Corrientes,1,1,1,0,Lun. a Vie. 07:00hs a 22:00hs ,Sáb. 09:00hs a 22:00hs ,Dom. 18:00hs a 22:00hs ,-27.464663,-58.839025
4021,8149336,LOCRED I,HIPOLITO YRIGOYEN 1102 LOCAL 3,CORRIENTES,Corrientes,1,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:30hs a 21:00hs,Sáb. 08:30hs a 12:30hs y 16:30hs a 21:00hs,,-27.468756,-58.83675
4023,8149337,LOCRED II,MENDOZA 832,CORRIENTES,Corrientes,1,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:30hs a 21:00hs,Sáb. 08:30hs a 12:30hs y 16:30hs a 21:00hs,,-27.466942,-58.835603
4132,12449101,EL SOL,AV. MAIPU 1491,CORRIENTES,Corrientes,1,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 17:00hs a 20:00hs,Sáb. 08:00hs a 12:00hs y 17:00hs a 20:00hs,,-27.491137,-58.819807
4707,12449252,3 DE ABRIL,AV. 3 DE ABRIL 576,CORRIENTES,Corrientes,0,1,1,0,Lun. a Vie. 08:00hs a 14:00hs y 17:00hs a 21:00hs,Sáb. 08:00hs a 14:00hs y 17:00hs a 21:00hs,,-27.474987,-58.844725
4845,8249097,FAVIO VIAJES,GUTEMBERG 1715,CORRIENTES,Corrientes,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:30hs a 12:30hs ,,-27.477854,-58.831459
6713,,NSA AR CORRIENTES,AV. MAIPU  2700,CORRIENTES,Corrientes,1,0,0,0,Lun. a Vie. 0800 A 2000,Sáb. 0800 A 2000,,-27.499612,-58.814327
6252,,CORREO CORRIENTES - 1,GRAL MANUEL BELGRANO  2295,CORRIENTES,Corrientes,1,0,0,0,Lun. a Vie. 0800 A 1630,,,-27.4735464,-58.82208
5043,9049053,MERCERIA TERESITA,GASCON 1520,CORRIENTES,Corrientes,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 21:30hs,Sáb. 08:30hs a 12:30hs ,,-27.479659,-58.795187
5935,8149599,SOLIMANO Y ASOCIADOS,ESPANA 807,CORRIENTES,Corrientes,0,1,1,0,Lun. a Vie. 08:30hs a 13:30hs y 17:30hs a 20:30hs,,,-27.467151,-58.82902
5940,8149598,ORGANIZACION MARCHI,BOLIVAR 1201,CORRIENTES,Corrientes,1,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 20:30hs,Sáb. 08:30hs a 12:30hs ,,-27.47088,-58.835881
6023,8149621,SEGUROS VERGARA MELO,CHACABUCO 2369,CORRIENTES,Corrientes,1,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 12:30hs ,,27.486339,-58.81621
5458,8149487,SEGUROS ROA II,JUNIN 1792,CORRIENTES,Corrientes,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 12:00hs ,,-27.468492,-58.828107
