IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
810,9902651,CORREO CURUZU CUATIA,B. DE ASTRADA OESTE 999,CURUZU CUATIA,Corrientes,1,0,1,0,Lun. a Vie. 07:00hs a 12:30hs y 16:30hs a 19:30hs,,,-29.790317,-58.057888
887,8149100,SEGUROS ROA,BERON DE ASTRADA 601,CURUZU CUATIA,Corrientes,1,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 12:00hs ,,-29.790649,-58.052125
1117,5149791,FARMACIA MORANDINI,ISABEL LA CATOLICA 2370 LOC 6,CURUZU CUATIA,Corrientes,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 14:30hs a 20:00hs,Sáb. 08:00hs a 12:00hs y 14:30hs a 20:00hs,,-29.782965,-58.049998
903,8149106,TARJETA CONSUMAX CURUZU CUATIA,BERON DE ASTRADA 676,CURUZU CUATIA,Corrientes,0,0,1,0,,,,-29.7906791,-58.05316298
1925,10649010,CENTRO DE ESTETICA Y SPA DORITA,SAN MARTIN 975,CURUZU CUATIA,Corrientes,0,0,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs y 18:00hs a 21:00hs,,-29.79447484,-58.05778
2282,6149288,DOMINICI,B. 246 VIV. - PARMEDIA DI TELLA 2051,CURUZU CUATIA,Corrientes,0,1,1,0,Lun. a Vie. 07:00hs a 13:30hs y 16:30hs a 21:00hs,Sáb. 07:00hs a 13:30hs y 16:30hs a 21:00hs,Dom. 07:00hs a 13:30hs y 16:30hs a 21:00hs,-29.776056,-58.069868
3129,6159002,AGL AUTOSERVICIO ANTILLANO,SARMIENTO 1410,CURUZU CUATIA,Corrientes,0,0,1,0,Lun. a Vie. 08:30hs a 12:30hs y 17:30hs a 21:30hs,Sáb. 08:30hs a 12:30hs y 17:30hs a 21:30hs,Dom. 08:30hs a 12:30hs y 17:30hs a 21:30hs,-29.784399240931,-58.060748577118
3050,11849179,FARMACIA MORANDINI II,DR. ACUNA 2050,CURUZU CUATIA,Corrientes,0,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:30hs a 21:00hs,Sáb. 08:00hs a 12:30hs y 16:30hs a 21:00hs,,-29.792128,-58.069868
4583,12449228,LOS 3 HERMANOS II,JAURECHE 2716 BRIO VILLA DOLORES,CURUZU CUATIA,Corrientes,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 22:00hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 22:00hs,Dom. 09:00hs a 13:00hs ,-29.788239,-58.081835
5219,8159308,AGL SEGUROS ZULEMA,CAA GUAZU 924,CURUZU CUATIA,Corrientes,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:30hs a 19:30hs,Sáb. 09:00hs a 12:00hs ,,-29.789333,-58.05269
