IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
552,9902349,CORREO GOYA,GRAL. MANUEL BELGRANO 942,GOYA,Corrientes,1,0,1,0,Lun. a Vie. 07:00hs a 12:30hs y 16:30hs a 19:30hs,,,-29.143565,-59.26586
1130,5208030,ESTACION DE SERVICIO SERVICENTRO ESSO,9 DE JULIO 873,GOYA,Corrientes,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Dom. 08:00hs a 12:00hs ,-29.144188,-59.258839
1208,11649128,C-TRES INFORMATICA,ALVEAR 402,GOYA,Corrientes,1,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 12:00hs ,,-29.138802,-59.261844
1283,7549258,POLIRUBRO AZ,COLON 718,GOYA,Corrientes,0,1,1,0,Lun. a Vie. 07:10hs a 12:30hs y 16:30hs a 20:00hs,Sáb. 08:00hs a 12:30hs ,,-29.14127,-59.263862
1596,8118009,COREFIN (GOYA),COLON 951,GOYA,Corrientes,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 21:00hs,Sáb. 08:00hs a 13:00hs ,,-29.144021,-59.264345
2247,10349065,PAGOS GOYA,BELGRANO 610,GOYA,Corrientes,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 17:00hs a 20:00hs,Sáb. 08:00hs a 12:00hs ,,-29.13958041,-59.26486702
3408,11949287,POLIRUBRO LAURA,AV. JOSE J. ROLON 233,GOYA,Corrientes,0,1,1,0,Lun. a Vie. 08:30hs a 21:00hs ,Sáb. 08:00hs a 21:00hs ,,-29.136986,-59.255567
4379,12449174,SAN FELIPE,BAIBIENE 701,GOYA,Corrientes,0,1,1,0,Lun. a Vie. 07:00hs a 24:00hs ,Sáb. 07:00hs a 02:00hs ,Dom. 11:00hs a 18:00hs ,-29.15012,-59.26874
4431,11849237,ROCA I,25 DE MAYO 740,GOYA,Corrientes,0,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:30hs a 21:30hs,Sáb. 08:00hs a 12:30hs y 16:30hs a 21:30hs,,-29.145241,-59.268178
4432,11849238,ROCA II,25 DE MAYO 313,GOYA,Corrientes,0,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:30hs a 21:30hs,Sáb. 08:00hs a 12:30hs y 16:30hs a 21:00hs,,-29.146464,-59.262329
4237,12449134,PAGOS BELU,SARMIENTO 614,GOYA,Corrientes,0,1,1,0,Lun. a Vie. 07:30hs a 12:30hs y 16:00hs a 20:00hs,Sáb. 07:30hs a 12:30hs y 16:00hs a 20:00hs,,-29.155197,-59.268829
4950,12449299,APRIL,BAIBIENE 370,GOYA,Corrientes,0,1,1,0,Lun. a Vie. 08:00hs a 14:00hs y 17:00hs a 23:00hs,Sáb. 09:30hs a 14:00hs y 18:30hs a 23:00hs,,-29.151073,-59.264288
