IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
562,9902359,CORREO PASO DE LOS LIBRES,JUAN SITJANIN 998,PASO DE LOS LIBRES,Corrientes,1,0,1,0,Lun. a Vie. 07:00hs a 12:30hs y 16:30hs a 19:30hs,,,-29.712573,-57.087177
1284,6949236,LIBRERIA DEL VALLE,BELGRANO 1875,PASO DE LOS LIBRES,Corrientes,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:30hs a 19:00hs,Sáb. 08:00hs a 12:00hs y 16:30hs a 19:00hs,,-29.713272,-57.099924
1312,10249344,LIBRERIA DEL VALLE II,COLON 1098,PASO DE LOS LIBRES,Corrientes,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:30hs a 19:00hs,Sáb. 08:00hs a 12:00hs y 16:30hs a 19:00hs,,-29.711384,-57.089851
1597,8118011,COREFIN (PASO DE LOS LIBRES),BME. MITRE 1096,PASO DE LOS LIBRES,Corrientes,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 21:00hs,Sáb. 08:00hs a 13:00hs ,,-29.714211,-57.087493
2107,12049233,MAGO SOL,LOS CIENTO OCHO 1315,PASO DE LOS LIBRES,Corrientes,1,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 12:30hs y 16:30hs a 19:30hs,,-29.7215148,-57.096833
3464,6149324,AUTOSERVICIO MIGUEL,COLON 1826,PASO DE LOS LIBRES,Corrientes,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 17:00hs a 21:00hs,Sáb. 08:00hs a 12:00hs y 17:00hs a 21:00hs,,-29.704406,-57.095632
4390,11949491,PAGOS TERESITA,SITJA NIN 526,PASO DE LOS LIBRES,Corrientes,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 17:00hs a 21:00hs,Sáb. 08:30hs a 12:30hs y 17:00hs a 21:00hs,,-29.708707,-57.080894
4813,9759153,AGL DESPENSA MAXI,B 35 VIV. MZA G CASA 17,PASO DE LOS LIBRES,Corrientes,0,0,1,0,Lun. a Vie. 09:00hs a 24:00hs ,Sáb. 09:00hs a 24:00hs ,Dom. 09:00hs a 14:00hs ,-29.717035,-57.110675
5725,8159503,AGL SEGUROS GM,BELGRANO 1797,PASO DE LOS LIBRES,Corrientes,0,0,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:30hs a 20:30hs,Sáb. 08:30hs a 12:30hs ,,-29.71274,-57.099062
5148,6249098,PERLA NEGRA,URUGUAY 1051,PASO DE LOS LIBRES,Corrientes,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 21:00hs,Sáb. 08:00hs a 13:00hs ,,-29.70918,-57.090901
5204,12449312,GEME I,B 99 VIV. MZA K CASA 14,PASO DE LOS LIBRES,Corrientes,0,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 12:30hs y 16:00hs a 20:00hs,,-29.709065,-57.129569
5208,7449142,GEME II,BARRIO COVIYAL CASA 57,PASO DE LOS LIBRES,Corrientes,0,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 19:00hs,Sáb. 08:00hs a 12:30hs y 16:00hs a 19:00hs,,-29.710556,-57.103583
4885,8149379,SEGUROS GABRIEL,BARTOLOME MITRE 651,PASO DE LOS LIBRES,Corrientes,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:00hs a 20:00hs,Sáb. 08:30hs a 12:30hs ,,-29.720313,-57.097294
4968,11949576,GEME,B 508 VIV. SEC 208 MZ F CASA 21,PASO DE LOS LIBRES,Corrientes,0,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 17:00hs a 20:30hs,Sáb. 08:00hs a 12:30hs ,,-29.708974,-57.110526
