IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
487,9902283,CORREO CONCEPCION DEL URUGUAY,GALARZA 712,CONCEPCION DEL URUGUAY,Entre Ríos,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 17:00hs a 20:00hs,,,-32.483955,-58.232636
973,10249203,AGENCIA OFICIAL NUMERO 683,AV. 9 DE JULIO 1683,CONCEPCION DEL URUGUAY,Entre Ríos,1,1,1,0,Lun. a Vie. 08:00hs a 14:00hs y 16:00hs a 20:30hs,Sáb. 08:00hs a 14:00hs y 16:00hs a 20:30hs,,-32.48734333,-58.24999633
1309,10249359,AGENCIA 179,URQUIZA 77,CONCEPCION DEL URUGUAY,Entre Ríos,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:45hs,,,-32.483656,-58.23348217
1318,7049677,POLIRUBRO CHINCHU S,J. J. BRUNO 2550,CONCEPCION DEL URUGUAY,Entre Ríos,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 21:00hs,,,-32.48784429,-58.26795329
2083,12049214,TMK2,POSADAS 856,CONCEPCION DEL URUGUAY,Entre Ríos,0,0,1,0,Lun. a Vie. 07:00hs a 13:00hs y 17:00hs a 20:30hs,Sáb. 07:00hs a 13:00hs ,,-32.48216733,-58.2357335
1898,11349009,MMM RIQUISIMO,ARTUSI 391,CONCEPCION DEL URUGUAY,Entre Ríos,0,1,1,0,Lun. a Vie. 09:00hs a 12:30hs y 16:30hs a 20:30hs,,,-32.47952733,-58.22782167
2206,8118025,COREFIN (CONC. DEL URUGUAY),9 DE JULIO 1029,CONCEPCION DEL URUGUAY,Entre Ríos,0,0,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 20:00hs,Sáb. 08:30hs a 12:30hs ,,-32.48558283,-58.23825117
2420,8149270,CREDIFE (CONC. DEL URUGUAY),URQUIZA 122,CONCEPCION DEL URUGUAY,Entre Ríos,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 08:30hs a 12:30hs ,,-32.483044,-58.233329
3259,10249777,AGENCIA DE LOTERIA PARRA,J.J. BRUNO 3002,CONCEPCION DEL URUGUAY,Entre Ríos,0,1,1,0,Lun. a Vie. 08:00hs a 13:30hs y 16:30hs a 20:30hs,Sáb. 08:00hs a 13:30hs ,,-32.487863,-58.272676
3037,12049588,POLIRUBRO ARACELI,SANTA TERESITA 1045,CONCEPCION DEL URUGUAY,Entre Ríos,0,0,1,0,Lun. a Vie. 08:00hs a 12:30hs y 17:00hs a 21:00hs,Sáb. 08:00hs a 12:30hs y 17:00hs a 22:00hs,,-32.475232,-58.240097
3420,6949481,LIBRERIA DETALLES,BOULEVARD ARAOZ 128,CONCEPCION DEL URUGUAY,Entre Ríos,0,1,1,0,Lun. a Vie. 07:30hs a 13:00hs y 16:00hs a 20:00hs,,,-32.4895,-58.249324
4053,12449074,PITU,25 DE AGOSTO 891,CONCEPCION DEL URUGUAY,Entre Ríos,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 22:00hs,Sáb. 08:30hs a 12:30hs y 17:00hs a 21:30hs,,-32.491573,-58.234085
5702,8149545,STELLA MARIS ROUGIER E HIJOS-L.C.URUGUAY,SANSONI 2163,CONCEPCION DEL URUGUAY,Entre Ríos,1,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 19:30hs,,,-32.488099,-58.258142
5027,8159257,AGL SEGUROS DE GRACIA JUAN LUIS,GALARZA 1688,CONCEPCION DEL URUGUAY,Entre Ríos,0,0,1,0,Lun. a Vie. 08:00hs a 17:00hs ,,,-32.486916,-58.249749
5382,8159384,AGL SEGUROS AVANZINI NESTOR FERNANDO,CONGRESO DE TUCUMAN 166,CONCEPCION DEL URUGUAY,Entre Ríos,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,,,-32.482751,-58.235063
5621,6449353,AMASOL,8 DE JUNIO 805,CONCEPCION DEL URUGUAY,Entre Ríos,0,1,1,0,Lun. a Vie. 09:00hs a 15:00hs ,,,-32.482883,-58.234298
