IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
464,9902260,CORREO CONCORDIA,H. YRIGOYEN 575,CONCORDIA,Entre Ríos,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 17:00hs a 20:00hs,,,-31.40024,-58.015296
505,9902302,CORREO CONCORDIA - 2,AV. LAS HERAS 396,CONCORDIA,Entre Ríos,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 17:00hs a 20:00hs,,,-31.38915183,-58.02401883
1084,10249243,LA ESQUINA GANADORA,DR. TOMAS FLORENZA 907,CONCORDIA,Entre Ríos,0,1,1,0,Lun. a Vie. 08:30hs a 13:30hs y 16:00hs a 20:30hs,Sáb. 08:30hs a 14:30hs y 16:00hs a 20:30hs,,-31.39073725,-58.03440925
1118,7049315,RAYUELA DRUGSTORE,AV. JUAN B. JUSTO 264,CONCORDIA,Entre Ríos,1,1,1,0,Lun. a Vie. 08:00hs a 13:30hs y 16:30hs a 21:30hs,Sáb. 08:00hs a 13:30hs y 16:30hs a 21:30hs,,-31.384016,-58.00938
902,8149105,TARJETA CONSUMAX CONCORDIA,SAN MARTIN 19,CONCORDIA,Entre Ríos,0,0,1,0,Lun. a Vie. 08:00hs a 16:00hs ,,,-31.398428,-58.0184725
1380,6749058,FERRETERIA ENRIQUE,VERA PENALOZA 1748,CONCORDIA,Entre Ríos,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 15:30hs a 19:30hs,Sáb. 08:00hs a 12:00hs y 15:30hs a 19:30hs,,-31.372484,-58.05078
1737,12049014,KIOSCO EL MERCANTIL,TTE. DACHARY 3305,CONCORDIA,Entre Ríos,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 22:00hs,Sáb. 08:00hs a 13:00hs y 16:00hs a 22:00hs,,-31.35185629,-58.00737986
1535,7549618,POLIRUBRO LAS TEJAS,SAN ANTONIO DE PADUA 3837,CONCORDIA,Entre Ríos,0,1,1,0,Lun. a Vie. 09:30hs a 13:00hs y 17:00hs a 22:00hs,,,-31.410062,-58.079319
2313,6149291,AUTOSERVICIO ALVARENGA,DAMIAN P. GARAT 1663,CONCORDIA,Entre Ríos,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 20:30hs,Sáb. 08:30hs a 13:00hs ,,-31.3818935,-58.006919
2207,8118026,COREFIN (CONCORDIA),SAN MARTIN 20,CONCORDIA,Entre Ríos,0,0,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 20:00hs,Sáb. 08:30hs a 12:30hs ,,-31.398516,-58.0184945
2421,8149271,CREDIFE (CONCORDIA),VELEZ SARSFIELD 40,CONCORDIA,Entre Ríos,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 08:30hs a 12:30hs ,,-31.393898,-58.019068
2486,6149302,DESPENSA MARY-ALE,FELICIANO 3509,CONCORDIA,Entre Ríos,0,1,1,0,Lun. a Vie. 07:00hs a 15:00hs y 15:30hs a 22:00hs,Sáb. 08:00hs a 15:00hs y 15:30hs a 22:00hs,,-31.387929,-58.033836
4062,12449078,DRUGSTORE EL TIO,CHABRILLON 805,CONCORDIA,Entre Ríos,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:30hs a 20:30hs,Sáb. 08:00hs a 13:00hs y 16:30hs a 20:30hs,,-31.383229,-57.995768
3925,12449022,MAXIQUIOSCO SAN MARTIN,SAN MARTIN 151,CONCORDIA,Entre Ríos,1,1,1,0,Lun. a Vie. 07:30hs a 13:00hs y 16:30hs a 21:30hs,Sáb. 07:30hs a 13:00hs y 16:30hs a 21:30hs,,-31.396038,-58.021927
4729,10249984,AGENCIA REINA FORTUNA,J.J. VALLE 1170,CONCORDIA,Entre Ríos,0,1,1,0,Lun. a Vie. 08:30hs a 13:30hs y 16:30hs a 20:30hs,Sáb. 08:30hs a 13:30hs y 16:30hs a 20:30hs,,-31.365626,-58.036426
4770,12449267,ELECTRONICA EXPRESS,BUENOS AIRES 95,CONCORDIA,Entre Ríos,0,1,1,0,Lun. a Vie. 09:00hs a 12:30hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 12:30hs y 17:00hs a 21:00hs,,-31.398791,-58.017309
5734,8149547,ARG BROKER - CONCORDIA,ENTRE RIOS 455,CONCORDIA,Entre Ríos,1,1,1,0,Lun. a Vie. 08:00hs a 17:00hs ,,,-31.400214,-58.019455
5321,8159355,AGL SEGUROS WALTER PACOR,A DEL VALLE 156 LOCAL B,CONCORDIA,Entre Ríos,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,,,-31.395292,-58.021754
5569,8159412,AGL SEGUROS CARUBIA,SARMIENTO 711,CONCORDIA,Entre Ríos,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 17:00hs a 20:00hs,Sáb. 09:00hs a 12:00hs ,,-31.395271,-58.020488
