IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
388,9902173,CORREO PARANA - C,25 DE MAYO 102,PARANA,Entre Ríos,1,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-31.733878,-60.528641
494,9902290,CORREO PARANA - 1,CORDOBA 360,PARANA,Entre Ríos,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 17:00hs a 20:00hs,,,-31.727102,-60.531305
495,9902291,CORREO PARANA SUC. 3,GENERAL F. RAMIREZ 2664,PARANA,Entre Ríos,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 17:00hs a 20:00hs,,,-31.743655,-60.517254
496,9902292,CORREO PARANA - 4,ALMAFUERTE 1737,PARANA,Entre Ríos,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 17:00hs a 20:00hs,,,-31.756031,-60.495194
735,9902568,CORREO PARANA SUC. 2,GENERAL JOSE M. GALAN 1620,PARANA,Entre Ríos,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 17:00hs a 20:00hs,,,-31.741458,-60.540642
1276,6401002,CAJA MUTUAL SAN CRISTOBAL II,GUALEGUAYCHU 305,PARANA,Entre Ríos,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs ,,,-31.73779484,-60.52670827
1660,10249520,EL PRETO,DIVISION DE LOS ANDES 775,PARANA,Entre Ríos,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 20:30hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 20:30hs,,-31.75305233,-60.51303294
1670,7049955,LAS 3 M,CORONEL PIRAN 1305,PARANA,Entre Ríos,0,1,1,0,Lun. a Vie. 09:00hs a 14:00hs y 18:00hs a 21:00hs,Sáb. 10:00hs a 14:00hs y 18:00hs a 21:00hs,,-31.742099,-60.538628
1538,90003038,CHANGO MAS PARANA (WAL MART),AV. BLAS PARERA 1152,PARANA,Entre Ríos,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-31.741776,-60.493428
1848,6949333,MULTIVENTAS COLIBRI,AV. RAMIREZ 3639 LOC 2,PARANA,Entre Ríos,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 20:30hs,,-31.754171,-60.520567
