IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
150,8949111,TELECENTRO BELGRANO,BELGRANO 865,FORMOSA,Formosa,0,1,1,0,Lun. a Vie. 07:00hs a 23:00hs ,Sáb. 07:00hs a 15:00hs ,,-26.18305892,-58.16470049
472,9902268,CORREO FORMOSA,9 DE JULIO 920,FORMOSA,Formosa,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 16:00hs a 19:00hs,,,-26.18673,-58.173499
1748,12149013,EL RAFA,RUTA 11 KM 1163 LOTE RURAL 42 MZA 3,FORMOSA,Formosa,0,1,1,0,Lun. a Vie. 07:30hs a 12:30hs y 16:00hs a 20:30hs,Sáb. 07:30hs a 12:30hs y 16:00hs a 20:30hs,Dom. 08:00hs a 12:30hs ,-26.185242,-58.203795
1588,10249500,ASOCIACION CIVIL NOSOTROS,EVA PERON 539,FORMOSA,Formosa,0,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 17:00hs a 22:00hs,Sáb. 09:00hs a 12:00hs ,,-26.18167335,-58.17289255
1595,8118008,COREFIN (FORMOSA),RIVADAVIA 758,FORMOSA,Formosa,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 21:00hs,Sáb. 08:00hs a 13:00hs ,,-26.182088,-58.16627486
1888,10249581,AGENCIA 014,AV. JUAN DOMINGO PERON 1675,FORMOSA,Formosa,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 13:00hs y 16:00hs a 20:00hs,,-26.159396,-58.184053
2301,7249095,PAGOS FORMOSA,AV. JUAN B. CABRAL 766,FORMOSA,Formosa,1,1,1,0,Lun. a Vie. 08:30hs a 21:00hs ,Sáb. 08:30hs a 21:00hs ,,-26.17256551,-58.18998061
3041,12049592,MAXIKIOSCO MARIO,HIPOLITO MARCIAL ROJAS 830,FORMOSA,Formosa,0,1,1,0,Lun. a Vie. 07:00hs a 19:00hs ,Sáb. 07:00hs a 19:00hs ,,-26.158534,-58.174552
3059,12049606,MAXIKIOSCO TAZZ,SAAVEDRA 2285,FORMOSA,Formosa,0,1,1,0,Lun. a Vie. 10:00hs a 13:00hs y 17:00hs a 22:00hs,Sáb. 10:00hs a 13:00hs y 17:00hs a 22:00hs,Dom. 10:00hs a 13:00hs y 17:00hs a 22:00hs,-26.188312,-58.191385
3069,12249113,TELECABINA PIPO,AV. MASAFERRO 404,FORMOSA,Formosa,0,1,1,0,Lun. a Vie. 08:00hs a 14:00hs y 16:30hs a 22:00hs,Sáb. 08:00hs a 14:00hs y 16:30hs a 22:30hs,,-26.162685,-58.164719
3324,10849046,PUNTO EXPRESS II,FOTHERINGHAN 1445,FORMOSA,Formosa,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 12:00hs y 16:00hs a 20:00hs,,-26.191498,-58.179017
3836,8049363,MOTO YA,PRINGLES 496,FORMOSA,Formosa,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 22:00hs,Sáb. 08:00hs a 13:00hs y 16:00hs a 22:00hs,,-26.180555,-58.170951
4082,12449085,LO DE MATU,JUNIN 115,FORMOSA,Formosa,0,1,1,0,Lun. a Vie. 09:00hs a 22:00hs ,Sáb. 09:00hs a 22:00hs ,Dom. 09:00hs a 22:00hs ,-26.1750383,-58.1682954
4264,10249925,AGENCIA 017,LOS PIONEROS 2415,FORMOSA,Formosa,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 21:00hs,Sáb. 08:00hs a 13:00hs y 16:00hs a 20:00hs,,-26.166191,-58.20569
4777,12449270,CIBER V,CORRIENTES 708,FORMOSA,Formosa,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs y 16:00hs a 20:00hs,,-26.178245,-58.174592
5722,8159516,AGL SEGUROS JOJOT,FONTANA 678,FORMOSA,Formosa,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:30hs a 20:00hs,Sáb. 08:00hs a 12:00hs ,,-26.183403,-58.173535
5164,8159297,AGL SEGUROS PS,JONAS SALK 72,FORMOSA,Formosa,0,0,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:30hs a 20:00hs,Sáb. 08:30hs a 12:30hs ,,-26.174568,-58.173493
5474,10349140,PAGOS CABAS,EVA PERON 810,FORMOSA,Formosa,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 13:00hs y 16:00hs a 20:00hs,,-26.184654,-58.171766
5583,8159464,AGL SEGUROS ORQUERA,AV. GONZALEZ LELONG 1676,FORMOSA,Formosa,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:30hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-26.179887,-58.186584
