IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
460,9902256,CORREO JUJUY - C,GRAL. MANUEL BELGRANO 1136,SAN SALVADOR DE JUJUY,Jujuy,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-24.18523918,-65.30519745
1092,11649073,CIBER DOBLE CLICK,URDININEA 168,SAN SALVADOR DE JUJUY,Jujuy,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-24.190912,-65.301113
1400,5349203,DESPENSA LIBERTADOR,AV. LIBERTADOR 556,SAN SALVADOR DE JUJUY,Jujuy,0,1,1,0,Lun. a Vie. 08:00hs a 13:30hs y 17:00hs a 21:30hs,Sáb. 08:00hs a 14:00hs y 17:00hs a 20:00hs,Dom. 09:00hs a 13:00hs ,-24.198642,-65.280195
1409,8149161,SUCREDITO JUJUY,BALCARCE 385,SAN SALVADOR DE JUJUY,Jujuy,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs ,Sáb. 09:00hs a 13:00hs ,,-24.184282,-65.305554
1254,6149189,DESPENSA PUCA,REPUBLICA DOMINICANA 595,SAN SALVADOR DE JUJUY,Jujuy,0,1,1,0,Lun. a Vie. 09:00hs a 16:00hs y 18:00hs a 23:30hs,Sáb. 09:00hs a 16:00hs y 18:00hs a 23:30hs,Dom. 09:00hs a 16:00hs y 18:00hs a 23:30hs,-24.197809,-65.307076
1332,7549362,DESPENSA GABRIELA,VELEZ SARSFIELD 505,SAN SALVADOR DE JUJUY,Jujuy,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 22:00hs,,,-24.194772,-65.31698
1521,7549600,COTILLON ISIDORITO,AV. JOSE DE LA IGLESIA 1069,SAN SALVADOR DE JUJUY,Jujuy,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 21:00hs,,-24.19076363,-65.30331692
1584,8949458,TELECABINAS TUKY,VESPUCIO 2478,SAN SALVADOR DE JUJUY,Jujuy,0,1,1,0,Lun. a Vie. 08:00hs a 14:00hs y 17:00hs a 20:00hs,,,-24.210064,-65.270301
1612,8118019,COREFIN (SAN SALVADOR),LAVALLE 208,SAN SALVADOR DE JUJUY,Jujuy,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-24.18634431,-65.30286635
2078,6349346,TELECENTRO DANA,SENADOR PEREZ 1090,SAN SALVADOR DE JUJUY,Jujuy,1,1,1,0,Lun. a Vie. 07:00hs a 22:00hs ,,,-24.181516,-65.308496
1879,12049130,P S D,ANTARTIDA Y ALTE BROWN,SAN SALVADOR DE JUJUY,Jujuy,0,1,1,0,Lun. a Vie. 08:00hs a 14:00hs y 16:00hs a 24:00hs,Sáb. 08:00hs a 14:00hs y 16:00hs a 24:00hs,,-24.198976,-65.286386
2289,12049363,MEGA KIOSCO BIG MALL,AV. EXODO 950 LOC 33 Y 34,SAN SALVADOR DE JUJUY,Jujuy,0,1,1,0,Lun. a Vie. 09:00hs a 22:00hs ,,,-24.1931238,-65.30201116
2302,8002001,SICOM ALEM 2,LEANDRO N. ALEM 657,SAN SALVADOR DE JUJUY,Jujuy,0,0,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-24.192314,-65.29854
2303,8002002,SICOM BROWN,ALTE. BROWN 430,SAN SALVADOR DE JUJUY,Jujuy,0,0,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-24.194023,-65.289711
