IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
457,9902253,CORREO LA RIOJA - C,PTE J. D. PERON 258,LA RIOJA,La Rioja,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:30hs a 20:30hs,,,-29.413924,-66.862745
574,9902373,CORREO RIVADAVIA(LR),ORTIZ DE OCAMPO 2247,LA RIOJA,La Rioja,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:00hs a 19:00hs,,,-29.435888,-66.859432
575,9902374,CORREO LA RIOJA,9 DE JULIO 13,LA RIOJA,La Rioja,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:30hs a 20:30hs,,,-29.41515,-66.855108
1081,5249027,ESTACION DE SERVICIO EL TRIANGULO,FRANCISCO GOMEZ 499,LA RIOJA,La Rioja,0,0,1,0,Lun. a Vie. 07:00hs a 22:00hs ,Sáb. 07:00hs a 22:00hs ,Dom. 07:00hs a 22:00hs ,-29.407495,-66.844808
1147,90003014,C. S. CHANGO MAS LA RIOJA (WAL MART),AV. ORTIZ DE OCAMPO 1127,LA RIOJA,La Rioja,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,,-29.43018392,-66.86086259
1281,6149200,DESPENSA NINO JESUS,AV. SAN NICOLAS DE BARI 1894,LA RIOJA,La Rioja,0,0,1,0,Lun. a Vie. 08:30hs a 23:00hs ,Sáb. 08:30hs a 23:00hs ,Dom. 08:30hs a 15:00hs ,-29.40838833,-66.81164804
1811,11449022,WORLD INFORMATIC,MONTEAGUDO 245,LA RIOJA,La Rioja,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 22:00hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 21:00hs,,-29.416481,-66.890991
2091,5349300,SUPERMERCADO MAYOR S.A I,AV. BENAVIDEZ Y CHIMBAS,LA RIOJA,La Rioja,0,1,1,0,Lun. a Vie. 08:30hs a 22:00hs ,,,-29.397387,-66.841038
2400,10249658,LA FIJA,AV. CASTRO BARROS 1240,LA RIOJA,La Rioja,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 18:00hs a 21:30hs,Sáb. 09:00hs a 14:00hs ,,-29.420096,-66.86513
2092,5349306,SUPERMERCADO MAYOR S.A VII,ALGARROBO BLANCO Y EL TALA,LA RIOJA,La Rioja,0,0,1,0,Lun. a Vie. 08:30hs a 13:30hs y 17:30hs a 22:30hs,,,-29.450594,-66.863194
2205,8118024,COREFIN (LA RIOJA),SAN NICOLAS DE BARI 520,LA RIOJA,La Rioja,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:30hs a 21:30hs,Sáb. 09:00hs a 13:00hs ,,-29.41504727,-66.85536114
2994,9749207,RECO12 EL SUPER KISOCO,AV. SAN NICOLAS DE BARI 1525,LA RIOJA,La Rioja,0,1,1,0,Lun. a Vie. 09:00hs a 24:00hs ,Sáb. 09:00hs a 24:00hs ,Dom. 09:00hs a 24:00hs ,-29.407299,-66.805496
3344,6949475,PASCAL,BENJAMIN DE LA VEGA 224,LA RIOJA,La Rioja,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 18:00hs a 21:00hs,,,-29.415766,-66.851905
3398,12049804,WALTER DAMP,AV. MONSENOR ANGELENE 1399,LA RIOJA,La Rioja,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,,,-29.413477,-66.862135
4343,11949489,MINIMARKET 1 DE MARZO,AV. 1 DE MARZO Y PELLEGRINI,LA RIOJA,La Rioja,1,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 08:00hs a 21:00hs ,Dom. 08:00hs a 24:00hs ,-29.427009,-66.8449
4789,8749208,CASA PULITA,AV JUAN FACUNDO QUIROGA 551,LA RIOJA,La Rioja,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:30hs a 21:00hs,Sáb. 09:00hs a 13:00hs y 17:30hs a 21:00hs,,-29.4205,-66.852633
5713,6949574,IMPRESIONES HAPPINESS Y MAS,TRINIDAD 3216,LA RIOJA,La Rioja,1,1,1,0,Lun. a Vie. 08:30hs a 12:00hs y 17:30hs a 21:30hs,Sáb. 09:30hs a 12:00hs ,,-29.389783,-66.825172
