IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
128,90015005,C.S. LIBERTAD MENDOZA,AV. J.V.GONZALEZ Y CIPOLLETTI,GODOY CRUZ,Mendoza,1,1,1,0,Lun. a Vie. 09:00hs a 22:00hs ,Sáb. 09:00hs a 22:00hs ,Dom. 09:00hs a 22:00hs ,-32.932121,-68.858753
393,9902179,CORREO GODOY CRUZ,PERITO MORENO 50,GODOY CRUZ,Mendoza,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-32.92522298,-68.84383859
1162,5349141,MULTIESPACIO 581,RIVADAVIA 581,GODOY CRUZ,Mendoza,1,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-32.924407,-68.84476875
1010,5149695,FARMACIA NATAL IV,MARCOS SASTRE 985,GODOY CRUZ,Mendoza,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-32.914744,-68.871496
1658,9849039,MINIMARKET LULY,JUAN XXIII 353,GODOY CRUZ,Mendoza,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 20:30hs,,,-32.930219,-68.835604
1703,7049974,COMMODO VEA 6,PASO DE LOS ANDES 850,GODOY CRUZ,Mendoza,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-32.951674,-68.753454
1572,7049897,DRUGSTORE VEA 7,AMERICA 2780,GODOY CRUZ,Mendoza,0,1,1,0,Lun. a Vie. 08:30hs a 20:30hs ,Sáb. 08:30hs a 20:30hs ,Dom. 08:30hs a 13:00hs y 17:00hs a 20:30hs,-32.912257,-68.876536
2217,8749051,WESTE GODOY CRUZ,AV. SAN MARTIN Y RIVADAVIA,GODOY CRUZ,Mendoza,1,1,1,0,Lun. a Vie. 08:30hs a 20:30hs ,Sáb. 09:00hs a 20:00hs ,,-32.923813,-68.848303
2894,8118043,COREFIN (GODOY CRUZ),RIVADAVIA 604,GODOY CRUZ,Mendoza,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-32.924308,-68.84619
3161,8749085,PAGOS STARE,SARMIENTO 585 LOC 25,GODOY CRUZ,Mendoza,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:30hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-32.938762,-68.839144
3457,5349360,COMMODO JUMBO,BALCARCE 735 LOC 1050,GODOY CRUZ,Mendoza,1,1,1,0,Lun. a Vie. 08:30hs a 21:30hs ,Sáb. 08:30hs a 21:30hs ,Dom. 08:30hs a 21:30hs ,-32.917729,-68.840845
3472,12049849,MINIMARKET MIKA,ARISTOBULO DEL VALLE 2008- II BRIO SOEVA,GODOY CRUZ,Mendoza,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 20:00hs,,-32.948727,-68.826082
3326,10649014,PRESENCE,CERRO TRAPAL 1104,GODOY CRUZ,Mendoza,1,1,1,0,Lun. a Vie. 09:30hs a 12:30hs y 16:30hs a 20:30hs,Sáb. 09:30hs a 12:30hs y 16:30hs a 20:30hs,,-32.943628,-68.827555
3350,8749099,BOLSA DE COMERCIO SEDE GODOY CRUZ,RIVADAVIA Y SAN MARTIN,GODOY CRUZ,Mendoza,0,0,1,0,Lun. a Vie. 08:30hs a 20:30hs ,,,-32.92394,-68.848112
3356,8749105,BOLSA DE COMERCIO SEDE PALMARES,RUTA PANAMERICANA 2650,GODOY CRUZ,Mendoza,0,0,1,0,Lun. a Vie. 08:00hs a 16:00hs ,,,-32.892383,-68.80078
3816,8749137,COMMODO SARMIENTO,SARMIENTO 998,GODOY CRUZ,Mendoza,1,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 08:00hs a 21:00hs ,Dom. 08:00hs a 21:00hs ,-32.939731,-68.834774
