IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
394,9902180,CORREO VILLANUEVA,BANDERA DE LOS ANDES 4190,GUAYMALLEN,Mendoza,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,Dom. 10:00hs a 21:00hs ,-32.9030101,-68.78936598
1750,11649257,LNG COMPUTACION,SARMIENTO 685,GUAYMALLEN,Mendoza,0,0,1,0,Lun. a Vie. 10:30hs a 13:00hs y 18:00hs a 21:30hs,Sáb. 10:30hs a 13:00hs y 18:00hs a 21:30hs,,-32.93909,-68.838401
1541,7249066,RAKU,TIRASSO 2510 LOC 2,GUAYMALLEN,Mendoza,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-32.902488,-68.76099
1882,7249083,REGALERIA URQUIZA,URQUIZA 1030,GUAYMALLEN,Mendoza,0,1,1,0,Lun. a Vie. 08:30hs a 14:00hs y 17:30hs a 22:30hs,Sáb. 09:00hs a 14:00hs ,,-32.8998255,-68.7788575
2233,8749056,COMMODO VEA AVELLANEDA,GODOY CRUZ 3825,GUAYMALLEN,Mendoza,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 21:00hs,Dom. 09:00hs a 12:00hs ,-32.893991,-68.788963
2277,11649295,COMMODO MENDOZA PLAZA SHOPPING,AV. ACCESO ESTE 3280 LOC 47,GUAYMALLEN,Mendoza,1,1,1,0,Lun. a Vie. 09:00hs a 22:00hs ,Sáb. 09:00hs a 22:00hs ,Dom. 09:00hs a 22:00hs ,-32.897084,-68.821039
2832,8859000,AGL CIBER CERVANTES,CERVANTES 1585,GUAYMALLEN,Mendoza,0,0,1,0,Lun. a Vie. 08:00hs a 13:30hs y 16:30hs a 21:00hs,Sáb. 08:00hs a 13:30hs y 16:30hs a 21:00hs,,-32.88005,-68.810058
2845,10349072,SERVICIOS RC,PEDRO MOLINA 182,GUAYMALLEN,Mendoza,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:00hs a 21:00hs,Sáb. 08:30hs a 13:00hs y 16:00hs a 21:00hs,,-32.896354,-68.843352
3147,10249752,NUEVA CIUDAD,BANDERA DE LOS ANDES 2732,GUAYMALLEN,Mendoza,0,1,1,0,Lun. a Vie. 09:00hs a 13:30hs y 17:00hs a 20:30hs,,,-32.89737,-68.801537
3427,12249132,LOCUTORIO LAS HERAS,LAS HERAS 940,GUAYMALLEN,Mendoza,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 21:00hs,,-32.889025,-68.818464
3308,6149317,COMMODO LA BARRACA,LAS CANAS 1833,GUAYMALLEN,Mendoza,0,1,1,0,Lun. a Vie. 10:00hs a 14:00hs y 17:00hs a 21:00hs,Sáb. 10:00hs a 14:00hs y 17:00hs a 21:00hs,,-32.912572,-68.820211
3352,8749101,BOLSA DE COMERCIO SEDE GUAYMALLEN,BANDERA DE LOS ANDES 4320,GUAYMALLEN,Mendoza,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-32.903522,-68.78841
3353,8749102,BOLSA DE COMERCIO SEDE LA BARRACA,LAS CANAS 1883 LOC 17,GUAYMALLEN,Mendoza,0,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-32.91726,-68.822101
4139,12449104,MAXI JUMBO,TAPON MOYANO Y KM 1035 (ACCESO ESTE),GUAYMALLEN,Mendoza,0,1,1,0,Lun. a Vie. 13:30hs a 20:30hs ,Sáb. 15:30hs a 20:00hs ,,-32.921539,-68.768604
3904,10449030,COMMODO FERIA DE GUAYMALLEN,SARMIENTO Y PAMPA LOCAL AFIN 26 (MERC.,GUAYMALLEN,Mendoza,1,1,1,0,Lun. a Vie. 09:00hs a 13:30hs y 16:00hs a 19:00hs,Sáb. 09:00hs a 14:00hs ,,-32.889993,-68.799081
4734,6949553,LIBRERIA MONSE,AVELLANEDA 2585,GUAYMALLEN,Mendoza,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-32.882953,-68.784074
4606,11349022,DIETETICA CANELA,PEDRO DEL CASTILLO 4190,GUAYMALLEN,Mendoza,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-32.898835,-68.786887
4631,8749192,LIBERTAD SERVICIOS,LIBERTAD 405/7,GUAYMALLEN,Mendoza,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 20:30hs,,,-32.902501,-68.788659
5159,12449327,LA TIENDA,PEDRO VARGAS 3291,GUAYMALLEN,Mendoza,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-32.909688,-68.796501
5877,8159573,AGL SEGUROS PERINETTI DARIO ANTONIO,BANDERA DE LOS ANDES 4166,GUAYMALLEN,Mendoza,0,0,1,0,Lun. a Vie. 08:30hs a 13:30hs y 17:00hs a 20:00hs,,,-32.90267,-68.789558
5526,8149498,S&P SEGUROS GENERALES,ITALIA 6178,GUAYMALLEN,Mendoza,0,1,1,0,Lun. a Vie. 09:30hs a 13:00hs y 17:30hs a 20:30hs,Sáb. 09:30hs a 13:00hs y 17:30hs a 20:30hs,,-32.90012,-68.779127
