IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
392,9902178,CORREO LAS HERAS,DOMINGO F. SARMIENTO 1494,LAS HERAS,Mendoza,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-32.85287218,-68.84297496
1042,5149729,FARMACIA NATAL II,JOSE MARIA GODOY 1650,LAS HERAS,Mendoza,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-32.839462,-68.838487
1151,7049375,DISTRIBUIDORA LAS PIBAS,SAN MARTIN 1697,LAS HERAS,Mendoza,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 08:30hs a 13:00hs y 17:00hs a 20:00hs,Dom. 10:00hs a 12:00hs ,-32.84711957,-68.83410929
1191,90003016,WAL*MART LAS HERAS,BOULOGNE SUR MER Y REGALADO OLGUIN,LAS HERAS,Mendoza,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-32.85198,-68.860197
1009,5149694,FARMACIA NATAL III,BARILOCHE 2580,LAS HERAS,Mendoza,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-32.842367,-68.87165
1341,7549395,AUTOSERVICIO ANALIA,TOMAS GUIDO 2330,LAS HERAS,Mendoza,1,1,1,0,Lun. a Vie. 08:00hs a 14:00hs y 17:00hs a 21:00hs,Sáb. 08:00hs a 14:00hs y 17:00hs a 21:00hs,,-32.844426,-68.81002857
1939,8049221,DEPOSITO FADA,INDEPENDENCIA 187,LAS HERAS,Mendoza,0,0,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,,,-32.8419822,-68.83206616
2327,10449018,NAHUEL,AVELLANEDA  31,LAS HERAS,Mendoza,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:30hs a 20:30hs,,,-32.83767225,-68.83422075
2191,11249013,PLASTICOS SAN MIGUEL,SAN MIGUEL 1840,LAS HERAS,Mendoza,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:30hs a 21:00hs,,,-32.8494614,-68.84142285
2793,6949431,LA MATI 2,JOSE MARIA GODOY 255,LAS HERAS,Mendoza,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs y 16:00hs a 20:00hs,,-32.868599,-68.878208
3109,5349340,COMMODO LOURDES - VEA,LISANDRO MOYANO 302,LAS HERAS,Mendoza,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 17:00hs a 20:30hs,Sáb. 08:30hs a 12:30hs y 17:00hs a 20:30hs,,-32.862901,-68.821912
3417,10249802,TAMARINDO,LAPRIDA 2163,LAS HERAS,Mendoza,0,1,1,0,Lun. a Vie. 09:30hs a 13:30hs y 17:30hs a 20:30hs,Sáb. 09:30hs a 13:30hs ,,-32.845992,-68.807855
3497,10249813,AGENCIA MAZZA,SAN MARTIN 3398,LAS HERAS,Mendoza,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 20:00hs,Sáb. 08:30hs a 13:00hs y 17:00hs a 20:00hs,,-34.744743,-58.36996
3339,9849140,MINIMARKET EL DIEGO,ARISTOBULO DEL VALLE 1556,LAS HERAS,Mendoza,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 19:00hs,Sáb. 09:00hs a 13:00hs y 16:00hs a 19:00hs,,-32.842231,-68.773605
3658,8049355,PAGOS VIAJANTES,MANUEL A. SAEZ 1605,LAS HERAS,Mendoza,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 18:00hs a 21:00hs,Sáb. 10:00hs a 13:30hs ,,-32.881385,-68.81032
4535,12149073,DESPENSA SAN EXPEDITO,CACHEUTA 271 - B.SANTA RITA M-B C-23,LAS HERAS,Mendoza,0,1,1,0,Lun. a Vie. 08:00hs a 14:00hs y 17:00hs a 21:00hs,Sáb. 08:00hs a 14:00hs y 17:00hs a 21:00hs,,-32.870006,-68.864001
4921,9849173,MINIMARKET PLAZA,DR. MORENO 1579,LAS HERAS,Mendoza,1,1,1,0,Lun. a Vie. 08:00hs a 13:30hs y 16:00hs a 21:00hs,Sáb. 09:30hs a 13:30hs ,,-32.850185,-68.839844
