IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
400,9902186,CORREO MAIPU (ME),SAN MARTIN 335,MAIPU,Mendoza,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-32.984587,-68.784864
1362,90003027,CHANGO MAS MAIPU (WAL MART),AV. MAZA 470,MAIPU,Mendoza,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-32.977779,-68.796686
1633,8049158,COMMODO MAIPU,PADRE VAZQUEZ 328,MAIPU,Mendoza,1,1,1,0,Lun. a Vie. 10:00hs a 21:00hs ,Sáb. 10:00hs a 21:00hs ,Dom. 10:00hs a 21:00hs ,-32.982558,-68.788083
3357,8749113,BOLSA DE COMERCIO SEDE MAIPU,SAN MARTIN 286,MAIPU,Mendoza,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-32.984389,-68.786012
3850,9849153,MIMO S,CERRO TUPUNGATO 649 MNZA-J CASA-15,MAIPU,Mendoza,0,1,1,0,Lun. a Vie. 08:30hs a 14:00hs y 17:00hs a 21:00hs,Sáb. 08:30hs a 14:00hs y 17:00hs a 21:00hs,,-32.969231,-68.827453
4130,90049041,COMMODO BRISAS DEL PARQUE,BARRIO BRISAS DEL PARQUE MNZA E C.1 LOC2,MAIPU,Mendoza,0,1,1,0,Lun. a Vie. 08:30hs a 20:30hs ,Sáb. 08:30hs a 20:30hs ,,-32.989073,-68.797459
4159,8749172,PAGOS CHICON,PADRE VAZQUEZ 991,MAIPU,Mendoza,0,1,1,0,Lun. a Vie. 09:00hs a 13:30hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:30hs ,,-32.973787,-68.78591
5920,6149360,EL GRAN ALMACEN,OZAMIS SUR 120,MAIPU,Mendoza,1,1,1,0,Lun. a Vie. 09:00hs a 13:30hs y 17:00hs a 21:30hs,Sáb. 09:00hs a 13:30hs y 17:00hs a 21:30hs,,-32.987176,-68.79128
6044,8749307,COMMODO ATOMO MAIPU,TROPERO SOSA 441,MAIPU,Mendoza,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:00hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-32.987608,-68.784392
5405,8149483,LDA BROKERS DE SEGUROS,PADRE VAZQUEZ 468,MAIPU,Mendoza,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-32.98045,-68.787997
6086,8149655,CREDITO MAGICO MAIPU,SAN MARTIN 46,MAIPU,Mendoza,0,1,1,0,Lun. a Vie. 09:00hs a 12:30hs y 17:00hs a 20:00hs,,,-32.983495,-68.789317
6094,6449364,SOEVA MAIPU TURISMO,OZAMIS 1324,MAIPU,Mendoza,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:30hs,Sáb. 08:30hs a 12:30hs ,,-32.969131,-68.786606
5462,8149488,MAIPU SEGUROS,PABLO PESCARA 141,MAIPU,Mendoza,0,1,1,0,Lun. a Vie. 08:00hs a 15:00hs ,,,-32.984923,-68.787409
