IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
123,90003011,WAL MART MENDOZA,MOLDES 1023,MENDOZA,Mendoza,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-32.914395,-68.825157
137,8849238,LOCUTORIO ALEM,ALEM 39,MENDOZA,Mendoza,1,1,1,0,Lun. a Vie. 08:30hs a 14:30hs ,,,-32.89296818,-68.83944471
382,9902167,CORREO MENDOZA - C,GRAL JOSE DE SAN MARTIN 678,MENDOZA,Mendoza,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-32.895344,-68.840819
395,9902181,CORREO MENDOZA SUC. 1,GRAL. GREGORIO PAZ 501,MENDOZA,Mendoza,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-32.883914,-68.844689
1041,5149730,FARMACIA NATAL I,OLASCOAGA 2799,MENDOZA,Mendoza,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 20:00hs,,,-32.869619,-68.849142
1107,8849586,TELEONLINE,AV. SAN JUAN 1169,MENDOZA,Mendoza,0,0,1,0,Lun. a Vie. 08:30hs a 12:30hs ,,,-32.89017741,-68.83711749
1392,8849870,O.S.M.,AV. BELGRANO 920,MENDOZA,Mendoza,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs ,,,-32.89054275,-68.8505645
1789,7549786,MAXI MALL,AV. SAN MARTIN 1465,MENDOZA,Mendoza,0,1,1,0,Lun. a Vie. 09:30hs a 21:30hs ,Sáb. 09:30hs a 21:30hs ,Dom. 10:30hs a 20:30hs ,-32.88678459,-68.83851212
1935,6449246,CLUB MENDOZA DE REGATAS,LAS PALMERAS S/N - PQUE GRAL.SAN MARTIN,MENDOZA,Mendoza,0,0,1,0,Lun. a Vie. 09:00hs a 22:00hs ,Sáb. 09:00hs a 22:00hs ,,-32.893377,-68.867193
1936,11649284,COMMODO GARIBALDI,GARIBALDI 25 LOC 2,MENDOZA,Mendoza,1,1,1,0,Lun. a Vie. 09:00hs a 21:30hs ,Sáb. 09:00hs a 21:00hs ,Dom. 09:00hs a 13:00hs ,-32.890819,-68.83909
1940,8149212,MUTUAL PREVISIONAL I,ALEM 401,MENDOZA,Mendoza,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:30hs a 20:00hs,,,-32.892914,-68.834694
1959,6949350,MENDOZA COPIAS,PEDRO MOLINA 127,MENDOZA,Mendoza,0,1,1,0,Lun. a Vie. 08:00hs a 14:30hs y 16:00hs a 21:00hs,,,-32.89639142,-68.84281175
2234,12049312,DRUGSTORE DALVIAN,CERRO BODEGUITA,MENDOZA,Mendoza,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,,,-32.873822,-68.883444
2255,7749009,MAXI MALL DEPORTIVO,9 DE JULIO 1453-55,MENDOZA,Mendoza,0,1,1,0,Lun. a Vie. 09:30hs a 21:00hs ,,,-32.88666814,-68.83983071
2275,90001174,C.S. CARREFOUR SEXTA,JORGE A. CALLE 631,MENDOZA,Mendoza,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-32.868908,-68.853423
2315,8049263,SERVICIOS BARNES,VUCETICH  3133,MENDOZA,Mendoza,0,1,1,0,Lun. a Vie. 08:00hs a 15:00hs ,,,-32.865613,-68.84966433
2396,9849112,LUNA,GODOY CRUZ 18,MENDOZA,Mendoza,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 20:00hs,,,-32.900198,-68.767417
2105,11649292,PLANET EXPRESS,NECOCHEA 71,MENDOZA,Mendoza,1,1,1,0,Lun. a Vie. 08:30hs a 21:00hs ,Sáb. 08:30hs a 21:00hs ,,-32.88725514,-68.83962357
2137,12049256,MULTIESPACIO II,CHILE 948,MENDOZA,Mendoza,0,1,1,0,Lun. a Vie. 08:30hs a 13:30hs y 16:30hs a 20:30hs,Sáb. 08:30hs a 13:30hs ,,-32.89111618,-68.84644063
2146,90001145,C.S. CARREFOUR MENDOZA AZUL,LAS HERAS 798,MENDOZA,Mendoza,1,1,1,0,Lun. a Vie. 08:30hs a 20:30hs ,Sáb. 09:00hs a 13:00hs y 16:00hs a 20:00hs,,-32.88440775,-68.84859933
2160,90001160,C.S. CARREFOUR COLON,COLON 324,MENDOZA,Mendoza,1,1,1,0,Lun. a Vie. 08:30hs a 20:30hs ,Sáb. 09:00hs a 13:00hs y 17:00hs a 20:30hs,,-32.89431141,-68.84486163
2163,90001163,C.S. CARREFOUR MENDOZA GUAYMALLEN,AV. ACC.ESTE LAT SUR Y RONDEAU,MENDOZA,Mendoza,1,1,1,0,Lun. a Vie. 08:30hs a 21:00hs ,Sáb. 08:30hs a 21:00hs ,,-32.896733,-68.833074
2194,5349314,COMMODO VEA SEXTA SECCION,JORGE A. CALLE  897,MENDOZA,Mendoza,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:30hs a 20:30hs ,Dom. 09:30hs a 20:30hs ,-32.868984,-68.85817875
2829,9859002,AGL LA FAMILIA DE DIOS,VIDELA CORREA 195,MENDOZA,Mendoza,0,0,1,0,Lun. a Vie. 07:00hs a 23:00hs ,Sáb. 07:00hs a 23:00hs ,,-32.870434,-68.836707
2786,5349327,COMMODO QUINTA,PASO DE LOS ANDES 82,MENDOZA,Mendoza,1,1,1,0,Lun. a Vie. 09:00hs a 14:00hs y 17:00hs a 20:30hs,Sáb. 09:00hs a 14:00hs y 17:00hs a 20:30hs,,-32.899998,-68.859863
3043,5349335,COMMODO VEA BARCALA,PATRICIAS MENDOCINAS 1800,MENDOZA,Mendoza,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,Dom. 09:00hs a 21:00hs ,-32.881892,-68.841132
3082,6449288,MUTUAL AMERICA,RIOJA 1234,MENDOZA,Mendoza,0,1,1,0,Lun. a Vie. 08:00hs a 16:00hs ,,,-32.889403,-68.835609
3103,8749082,COMMODO CENTRAL,AV. ESPANA 1233,MENDOZA,Mendoza,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 09:00hs a 13:30hs ,,-32.888706,-68.841552
3490,12049854,MINIMARKET UP,LAS HERAS 252,MENDOZA,Mendoza,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs ,,,-32.885752,-68.841504
