IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
401,9902187,CORREO SAN RAFAEL,SAN LORENZO 69,SAN RAFAEL,Mendoza,1,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-34.61545927,-68.32795055
2237,12049313,DRUGSTORE MANOTA S,COMANDANTE SALAS  395,SAN RAFAEL,Mendoza,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:30hs a 20:30hs,,,-34.60945214,-68.32948145
2180,12049273,SERVICIOS COMANDANTE SALAS,COMANDANTE SALAS 126 LOC 1,SAN RAFAEL,Mendoza,1,1,1,0,Lun. a Vie. 09:30hs a 13:00hs y 18:00hs a 21:00hs,,,-34.61213159,-68.33069529
2834,8859004,AGL LOCUTORIO UNISHOP,H. YRIGOYEN 4 LOC 5,SAN RAFAEL,Mendoza,0,0,1,0,Lun. a Vie. 08:30hs a 12:00hs y 16:30hs a 20:00hs,,,-34.616098,-68.330216
2960,12249106,LOCUTORIO PEDRO VARGAS,PEDRO VARGAS 1759,SAN RAFAEL,Mendoza,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 20:30hs,Sáb. 08:30hs a 13:00hs y 16:30hs a 20:30hs,,-34.633027,-68.34143
3448,6749119,FERRETERIA EL AEROPUERTO,H. IRIGOYEN 5899,SAN RAFAEL,Mendoza,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 19:00hs,,,-34.592671,-68.399209
3351,8749107,BOLSA DE COMERCIO SEDE SAN RAFAEL,PELLEGRINI 120,SAN RAFAEL,Mendoza,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-34.614489,-68.330566
3394,12249130,LOCUTORIO LEANDRA,PEDRO ESPASADIN 2247,SAN RAFAEL,Mendoza,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 17:00hs a 20:30hs,Sáb. 08:30hs a 12:30hs y 17:00hs a 20:30hs,,-34.612892,-68.339062
4196,8749175,JULIO 4,AVELLANEDA 110 LOCAL 35 Y 36,SAN RAFAEL,Mendoza,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 14:00hs a 22:00hs,Sáb. 08:00hs a 13:00hs y 17:00hs a 22:00hs,,-34.616937,-68.33177
4649,5249114,AUTOEXPRESS,SARMIENTO 1016,SAN RAFAEL,Mendoza,0,1,1,0,Lun. a Vie. 09:00hs a 20:30hs ,Sáb. 09:00hs a 12:30hs ,,-34.624956,-68.353693
4614,8749190,WESTERN LIBERTADOR,AV. DEL LIBERADOR 70 LOCAL 4,SAN RAFAEL,Mendoza,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-34.614991,-68.329342
4900,9849171,MINIMARKET SARMIENTO,SARMIENTO 723,SAN RAFAEL,Mendoza,0,1,1,0,Lun. a Vie. 08:00hs a 13:30hs y 16:00hs a 20:30hs,Sáb. 08:00hs a 13:30hs y 16:00hs a 20:30hs,,-34.61081,-68.319953
