IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
550,9902347,CORREO OBERA,SANTA FE 205,OBERA,Misiones,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 19:00hs,,,-27.487571,-55.120567
1512,8118004,COREFIN (OBERA),AV. LIBERTAD 100,OBERA,Misiones,0,0,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:30hs a 20:30hs,Sáb. 08:30hs a 12:30hs ,,-27.485304,-55.118953
2038,10149004,ZOOM PRODUCCIONES,CORRIENTES 299,OBERA,Misiones,0,0,1,0,Lun. a Vie. 07:30hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 12:00hs ,,-27.4881067,-55.118785
3284,8149295,ASEGURADORA BARREYRO,AV. SARMIENTO 431,OBERA,Misiones,0,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-27.483649,-55.116235
4032,8149342,CREDI SI,SAN MARTIN 1941,OBERA,Misiones,0,1,1,0,Lun. a Vie. 08:00hs a 17:00hs ,,,-27.48883,-55.123682
4223,9749291,ALMACEN EL PORTENO,ALEMANIA 764,OBERA,Misiones,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:30hs a 20:30hs,,,-27.474514,-55.127584
3950,6149336,AUTOSERVICIO SAN JORGE,ERASMIE 663,OBERA,Misiones,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:00hs a 20:30hs,,,-27.479812,-55.126841
4373,8149362,INTEGRAL GESTORIA Y SEGUROS,WILDE 999,OBERA,Misiones,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-27.491966,-55.119604
4588,11949507,PAGOS S Y N,9 DE JULIO 965,OBERA,Misiones,1,1,1,0,Lun. a Vie. 08:30hs a 21:00hs ,,,-27.486833,-55.121637
5213,5449487,PINOLANDIA MUEBLES,AV LIBERTAD 626,OBERA,Misiones,0,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 20:30hs,Sáb. 08:00hs a 12:30hs ,,-27.487358,-55.112766
5618,11949612,MAXIQUIOSCO MALU,FRENCH 744,OBERA,Misiones,0,1,1,0,Lun. a Vie. 08:00hs a 20:30hs ,Sáb. 08:00hs a 20:30hs ,,-27.480766,-55.121618
4945,8149384,ORGANIZACION RENATO SARATT,AZCUENAGA 580,OBERA,Misiones,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 20:30hs,Sáb. 08:30hs a 13:00hs ,,-27.485253,-55.117533
