IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
124,90015001,C.S. LIBERTAD POSADAS,AV. QUARANTA Y TOMAS GUIDO,POSADAS,Misiones,1,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 14:00hs ,,-27.402785,-55.917775
142,5149571,FARMACIA BIOFARM,AV. TAMBOR DE TACUARI 7526,POSADAS,Misiones,0,1,1,0,Lun. a Vie. 07:00hs a 21:00hs ,Sáb. 07:00hs a 21:00hs ,Dom. 07:00hs a 21:00hs ,-27.36529143,-55.94874694
471,9902267,CORREO POSADAS - C,GRAL. SIMON BOLIVAR 2112,POSADAS,Misiones,1,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-27.36656698,-55.89697096
212,5208024,ESSO SERVICENTRO TAMBOR DE TACUARI,AV. TAMBOR DE TACUARI 4951,POSADAS,Misiones,0,1,1,0,Lun. a Vie. 07:00hs a 23:00hs ,Sáb. 07:00hs a 23:00hs ,Dom. 07:00hs a 23:00hs ,-27.36804653,-55.92466918
767,9902601,CORREO POSADAS SUC. 1,REP ORIENTAL DEL URUGUAY 3842,POSADAS,Misiones,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 19:00hs,,,-27.38463288,-55.90005588
858,9902708,CORREO POSADAS - 2,CHACRA 148,POSADAS,Misiones,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 19:00hs,,,-27.386838,-55.940066
1495,10249462,SUBAGENCIA DE QUINIELAS 102,AV. SANTA CATALINA 4318,POSADAS,Misiones,1,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 08:00hs a 21:00hs ,,-27.38740673,-55.9119002
1248,90017006,C.S. SHOPPING POSADAS PLAZA,BOLIVAR 1979,POSADAS,Misiones,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,,-27.36681482,-55.89555671
1640,11849052,FARMACIA SAN BLAS,AV. RADEMACHER 5105,POSADAS,Misiones,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 17:00hs a 20:30hs,Sáb. 09:00hs a 12:00hs y 17:00hs a 20:30hs,,-27.39570576,-55.89767351
1511,8118003,COREFIN (POSADAS),SAN LORENZO 1744,POSADAS,Misiones,0,0,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:30hs a 20:30hs,Sáb. 08:30hs a 12:30hs ,,-27.36620843,-55.89576143
1580,7049904,LIBRERIA M V,AV. C. ANDRESITO 2746 LOC 1,POSADAS,Misiones,0,1,1,0,Lun. a Vie. 07:30hs a 12:30hs y 16:00hs a 20:00hs,Sáb. 07:30hs a 12:30hs y 16:00hs a 20:00hs,,-27.39684566,-55.90798019
1581,7049905,LIBRERIA M V II,H. DE ODONETTO 2249,POSADAS,Misiones,0,1,1,0,Lun. a Vie. 07:30hs a 12:30hs y 16:00hs a 20:00hs,Sáb. 07:30hs a 12:30hs y 16:00hs a 20:00hs,,-27.364231,-55.948288
1590,11849032,FARMACIA PHARMAB,RUTA 12 9886 KM 7,POSADAS,Misiones,1,1,1,0,Lun. a Vie. 07:30hs a 13:15hs y 15:30hs a 21:30hs,Sáb. 08:00hs a 13:00hs y 15:30hs a 21:30hs,Dom. 08:00hs a 13:00hs y 15:30hs a 21:30hs,-27.43684837,-55.88375821
1957,12049173,TELECENTRO BOLIVAR,BOLIVAR 1937-41  LOC 1,POSADAS,Misiones,0,1,1,0,Lun. a Vie. 06:00hs a 21:00hs ,Sáb. 06:00hs a 21:00hs ,Dom. 06:00hs a 21:00hs ,-27.36685853,-55.89514898
2084,8949518,TELECENTRO URUGUAY,AV. URUGUAY 3934,POSADAS,Misiones,0,1,1,0,Lun. a Vie. 07:00hs a 22:00hs ,Sáb. 07:00hs a 22:00hs ,Dom. 07:00hs a 22:00hs ,-27.38543296,-55.90018557
1829,7549803,POLIRUBROS K Y M,AV. JAURETCHE 4572,POSADAS,Misiones,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:30hs a 22:00hs,Sáb. 08:00hs a 13:00hs y 16:30hs a 22:00hs,,-27.38606,-55.94210817
2326,8249036,SUB AGENCIA 105,AV. LAVALLE 5234 LOC 1,POSADAS,Misiones,0,1,1,0,Lun. a Vie. 07:00hs a 13:00hs y 15:00hs a 20:30hs,Sáb. 07:00hs a 13:00hs y 15:00hs a 20:30hs,,-27.39537702,-55.90918731
3133,12049653,LM Y LM MAXIKIOSCO,AV. CONSTITUCION 2296 LOC A,POSADAS,Misiones,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 12:00hs y 16:00hs a 20:00hs,,-27.412052,-55.907139
3204,5320005,SUPERMAYORISTA VITAL POSADAS,RUTA 12 KM. 6,POSADAS,Misiones,0,0,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 08:00hs a 20:00hs ,,-37.965737,-57.577872
3482,6349399,PAGOS LA TRANSFERENCIA,"RN 12 KM 7,5 LOC 11",POSADAS,Misiones,0,1,1,0,Lun. a Vie. 07:30hs a 19:00hs ,Sáb. 08:00hs a 17:00hs ,,-27.362137,-55.900875
3306,12049754,MAXIKIOSCO DANIEL,COLON 1601,POSADAS,Misiones,0,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,,-27.365058,-55.894459
3655,12049955,LA TOTA,AV.CABO DE HORNOS 4130 LOCAL 2,POSADAS,Misiones,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,,-27.42572,-55.933252
4031,8149341,CREDI SI,BOLIVAR 1236,POSADAS,Misiones,0,1,1,0,Lun. a Vie. 08:00hs a 17:00hs ,,,-27.367517,-55.8878
