IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
774,9902609,CORREO IGUAZU,AV. GRAL JOSE DE SAN MARTIN 384,PUERTO IGUAZU,Misiones,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 19:30hs,,,-25.595961,-54.573383
1874,6049046,SERIGRAFIA SERIGRAB,PERITO MORENO 215,PUERTO IGUAZU,Misiones,1,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 17:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-25.59837647,-54.57424421
3220,5849009,IGUASSU URBAN MALL,AV. REPUBLICA ARGENTINA 86 LOC B03,PUERTO IGUAZU,Misiones,0,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,Dom. 14:00hs a 21:00hs ,-25.606315,-54.566912
3415,5349358,SUPERMERCADOS EOS I,AV. VICTORIA AGUIRRE Y ANDRESITO,PUERTO IGUAZU,Misiones,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:00hs a 20:30hs,Sáb. 08:00hs a 13:00hs y 15:00hs a 20:30hs,Dom. 08:00hs a 13:00hs ,-25.605403,-54.568516
3416,5349359,SUPERMERCADOS EOS II,AV. TRES FRONTERAS 310,PUERTO IGUAZU,Misiones,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:00hs a 21:00hs,Sáb. 08:00hs a 13:00hs y 15:00hs a 21:00hs,Dom. 08:00hs a 13:00hs ,-25.596826,-54.58134
4208,8249085,FINAMERICAN SRL,VICTORIA AGUIRRE 1162,PUERTO IGUAZU,Misiones,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:00hs a 20:30hs,,,-25.606556,-54.567494
3920,8021012,VITACOM KIOSCO MILKA (012),VICTORIA AGUIRRE 1212,PUERTO IGUAZU,Misiones,0,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-25.607467,-54.566557
3991,11949430,LO DE DANI,AV. VICTORIA AGUIRRE 582,PUERTO IGUAZU,Misiones,0,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,,,-25.601567,-54.572863
4576,11949501,LO DE DANI II,MARTA SCHWRTZ Y CORREA LUNA,PUERTO IGUAZU,Misiones,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:30hs a 20:30hs,Sáb. 08:30hs a 12:30hs ,,-25.600348,-54.575333
5752,8149556,GESTOBEL,1 DE MAYO Y 9 DE JULIO,PUERTO IGUAZU,Misiones,0,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 20:30hs,Sáb. 08:00hs a 12:30hs ,,-25.598706,-54.582186
