IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
818,9902662,CORREO CENTENARIO,SAN MARTIN 370,CENTENARIO,Neuquén,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 19:00hs,,,-38.829758,-68.120851
1402,7649012,ACCESORIOS STOP,HONDURAS 565,CENTENARIO,Neuquén,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:30hs a 19:30hs,,,-38.82878655,-68.13338282
1845,7549812,GIRASOL,HONDURAS Y ATAHUALPA YUPANQUI,CENTENARIO,Neuquén,1,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 17:00hs a 20:30hs,Sáb. 09:00hs a 12:00hs y 17:00hs a 20:00hs,,-38.820485,-68.145998
3873,12449006,GIRASOL CENTENARIO II,PARAGUAY 20,CENTENARIO,Neuquén,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:30hs a 20:30hs,Sáb. :09hs a 13:00hs y 16:30hs a 20:30hs,,-38.837624,-68.128856
3709,6427005,COOP. OBRERA CENTENARIO (69),HONDURAS 1111,CENTENARIO,Neuquén,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 21:00hs,Sáb. 08:30hs a 21:00hs ,Dom. 09:00hs a 13:00hs ,-38.82437,-68.13956
3710,6427006,COOP. OBRERA CENTENARIO (70),INGENIERO BALLESTER 740,CENTENARIO,Neuquén,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 21:00hs,Sáb. 08:30hs a 21:00hs ,Dom. 09:00hs a 13:00hs ,-38.827036,-68.123059
3711,6427007,COOP. OBRERA CENTENARIO (71),SAN MARTIN 245,CENTENARIO,Neuquén,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 20:30hs,Sáb. 08:30hs a 13:00hs y 16:30hs a 20:30hs,Dom. 09:00hs a 13:00hs ,-38.830581,-68.120533
3712,6427008,COOP. OBRERA CENTENARIO (73),EL SALVADOR Y O HIGGINS,CENTENARIO,Neuquén,0,0,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:30hs a 20:30hs,Sáb. 08:30hs a 12:30hs y 16:30hs a 20:30hs,Dom. 09:00hs a 13:00hs ,-38.825695,-68.150327
3713,6427009,COOP. OBRERA CENTENARIO (95),CANADA 815,CENTENARIO,Neuquén,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 21:00hs,Sáb. 08:30hs a 13:00hs y 16:30hs a 21:00hs,Dom. 09:00hs a 13:00hs ,-38.822937,-68.147248
3714,6427010,COOP. OBRERA CENTENARIO (96),INGENIERO BALLESTER 383,CENTENARIO,Neuquén,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 21:00hs,Sáb. 08:30hs a 13:00hs y 16:30hs a 21:00hs,Dom. 09:00hs a 13:00hs ,-38.827842,-68.126484
