IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
120,90003008,WAL MART NEUQUEN,RN 22 Y EUGENIO PERTICONE,NEUQUEN,Neuquén,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-38.949645,-68.02217
389,9902174,CORREO NEUQUEN - C,SANTA FE 101,NEUQUEN,Neuquén,1,0,1,0,Lun. a Vie. 08:00hs a 14:00hs y 16:00hs a 20:00hs,,,-38.953941,-68.055968
1960,6949351,LIBRERIA EL TREBOL,SARMIENTO 997,NEUQUEN,Neuquén,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs y 18:00hs a 21:00hs,,-38.95746147,-68.07252386
2024,12049198,KIOSCO EL CORSA,BELGRANO 4190,NEUQUEN,Neuquén,0,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 10:00hs a 13:00hs ,-38.95222673,-68.11632514
2052,90001114,C.S. CARREFOUR NEUQUEN II,ANTARTIDA ARGENTINA 3700,NEUQUEN,Neuquén,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,,-38.948957,-68.111351
2054,90001116,C.S. CARREFOUR HIPER NEUQUEN,OLASCOAGA 350,NEUQUEN,Neuquén,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,,-38.95883814,-68.05850933
2090,11149048,ESTUDIO JURIDICO CIALCETA Y ASOCIADOS,FELIX SAN MARTIN 424,NEUQUEN,Neuquén,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-38.95918782,-68.05281053
2213,8118033,COREFIN (NEUQUEN),ALCORTA 124,NEUQUEN,Neuquén,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:00hs a 19:30hs,Sáb. 09:00hs a 13:00hs ,,-38.95840929,-68.06065376
2198,12049284,AMANCAY,AMANCAY 596,NEUQUEN,Neuquén,0,1,1,0,Lun. a Vie. 08:30hs a 20:30hs ,,,-38.94841683,-68.042311
2453,11949128,DESPENSA CARINA,REPUBLICA DE ITALIA 1664,NEUQUEN,Neuquén,1,1,1,0,Lun. a Vie. 08:30hs a 21:00hs ,Sáb. 08:30hs a 21:00hs ,,-38.94539,-68.082192
2456,8049288,CENTRO DE PAGOS,CARLOS H RODRIGUEZ 261,NEUQUEN,Neuquén,0,1,1,0,Lun. a Vie. 07:30hs a 18:00hs ,Sáb. 10:00hs a 13:00hs ,,-38.953001,-68.062918
3187,12049676,DRUGSTORE MECOHUE,JUAN JULIAN LASTRA 2400,NEUQUEN,Neuquén,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,,-38.959578,-68.092604
3196,8049324,CENTRO DE PAGOS II,DIAGONAL ALVEAR 55,NEUQUEN,Neuquén,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs ,,,-38.952495,-68.060143
3206,5320007,SUPERMAYORISTA VITAL NEUQUEN,RUTA NACIONAL 22 KM 1218,NEUQUEN,Neuquén,0,0,1,0,Lun. a Vie. 08:00hs a 19:00hs ,Sáb. 08:00hs a 20:00hs ,,-38.958777,-68.118227
3228,8749088,CENTRO DE PAGOS III,SAN LUIS 334,NEUQUEN,Neuquén,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 14:00hs ,,-38.958708,-68.060722
3375,12049791,KIOSCO LOS MELLIZOS,LUIS BELTRAN 854,NEUQUEN,Neuquén,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 20:00hs,,-38.96249,-68.07128
3393,5749028,EL ABUELO,ALUMINE 109,NEUQUEN,Neuquén,0,1,1,0,Lun. a Vie. 09:00hs a 17:00hs ,Sáb. 09:00hs a 13:00hs ,,-38.956325,-68.037029
