IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
46,5307043,LA ANONIMA BARILOCHE IV  (84),GALLARDO 801,BARILOCHE,Río Negro,0,0,1,0,Lun. a Vie. 10:00hs a 18:00hs ,,,-41.139036,-71.299277
490,9902286,CORREO S. C. DE BARILOCHE,PERITO F. P. MORENO 175,BARILOCHE,Río Negro,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 19:00hs,,,-41.134914,-71.307635
1155,8849659,LOCUTORIO DE LA MONTANA,LA PAZ 820,BARILOCHE,Río Negro,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,Sáb. 08:00hs a 20:00hs ,,-41.15372623,-71.30173208
2215,8118035,COREFIN (BARILOCHE),ONELLI 736,BARILOCHE,Río Negro,0,0,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 19:30hs,Sáb. 09:00hs a 13:00hs ,,-41.1416299,-71.29828606
2161,90001161,C.S. CARREFOUR BARILOCHE,MORENO 909,BARILOCHE,Río Negro,1,1,1,0,Lun. a Vie. 09:00hs a 22:00hs ,Sáb. 09:00hs a 22:00hs ,,-41.1371,-71.2973
3195,12249122,CHANGO MAS LOC. LA MONTANA III,AV. J HEMANN,BARILOCHE,Río Negro,0,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,,,-41.136403,-71.314548
3106,12049630,KLASSE,GALLARDO 25,BARILOCHE,Río Negro,1,1,1,0,Lun. a Vie. 09:30hs a 17:30hs ,Sáb. 10:00hs a 13:00hs ,,-41.136779,-71.310121
3573,9902883,CORREO BARILOCHE SUC.1,BERNARDINO RIVADAVIA 830,BARILOCHE,Río Negro,1,0,1,0,Lun. a Vie. 08:00hs a 16:00hs ,,,-41.142157,-71.292579
3731,8749133,SERVICIOS LLM  LA ANONIMA BARILOCHE,GALLARDO 801,BARILOCHE,Río Negro,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-41.137914,-71.298979
3933,11949410,MULTIRUBRO EL MANZANO,CHALLHUACO 3169,BARILOCHE,Río Negro,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-41.1931,-71.321295
4280,6949538,KLASSE II,BESTCHETD 155 LOCAL 13,BARILOCHE,Río Negro,1,1,1,0,Lun. a Vie. 09:00hs a 17:30hs ,Sáb. 10:00hs a 13:00hs ,,-41.133762,-71.302695
4844,12449251,DRUGSTORE EL SITIO,ONELLI 1460,BARILOCHE,Río Negro,1,1,1,0,Lun. a Vie. 08:30hs a 19:00hs ,Sáb. 08:30hs a 19:00hs ,,-41.147052,-71.299264
5765,90001245,C.S. BARILOCHE,ONELLI780,BARILOCHE,Río Negro,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs y 16:00hs a 20:00hs,,-41.141009,-71.298105
5967,8159592,AGL SEGUROS  GYC ASESORES,VICE COMANDANTE  OCONNOR 1142 LOCAL1,BARILOCHE,Río Negro,0,0,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-41.134146,-71.293516
