IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
559,9902356,CORREO CIPOLLETTI,TTE. PRIMERO IBANEZ 5,CIPOLLETTI,Río Negro,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 19:00hs,,,-38.93445,-67.99868
822,9902668,CORREO SUCURSAL 1 CIPOLLETI,ESPANA 134,CIPOLLETTI,Río Negro,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 19:00hs,,,-38.940519,-67.995055
1562,11849025,FARMACIA FERNANDEZ S.C.S.,VILLEGAS 86,CIPOLLETTI,Río Negro,0,0,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:30hs a 21:00hs,Sáb. 08:30hs a 12:30hs y 16:30hs a 21:00hs,,-38.94080614,-67.99658929
1575,90003041,C. S. CHANGO MAS CIPOLLETTI (WAL MART),AV. BOLIVIA Y AV. PRIMEROS POBLADORES,CIPOLLETTI,Río Negro,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-38.932001,-67.9833
1952,5449394,ALTERNATIVA SUR,ESPANA 124,CIPOLLETTI,Río Negro,0,1,1,0,Lun. a Vie. 09:30hs a 12:30hs ,Sáb. 09:30hs a 12:30hs ,,-38.94061965,-67.99508937
2214,8118034,COREFIN (CIPOLETTI),SAN MARTIN 315,CIPOLLETTI,Río Negro,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-38.94071643,-67.99625214
3730,6427016,COOP. OBRERA CIPOLLETTI (65),BRENTANA 621,CIPOLLETTI,Río Negro,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 21:00hs,Sáb. 08:30hs a 13:00hs y 16:30hs a 21:00hs,Dom. 09:00hs a 13:00hs y 17:30hs a 21:00hs,-38.935948,-67.987974
3677,7059043,AGL KIOSCO OPEN 24,IRIGOYEN 335,CIPOLLETTI,Río Negro,0,0,1,0,Lun. a Vie. 09:00hs a 23:00hs ,Sáb. 09:00hs a 23:00hs ,Dom. 09:00hs a 23:00hs ,-38.93802,-67.996714
3918,12449021,KIOSCO ALEM,ALEM 1099,CIPOLLETTI,Río Negro,1,1,1,0,Lun. a Vie. 08:00hs a 14:00hs y 16:00hs a 21:00hs,Sáb. 08:00hs a 14:00hs y 16:00hs a 21:00hs,,-38.937982,-67.985803
4335,10349105,GESTORIA DEL VALLE,ESMERALDA 890,CIPOLLETTI,Río Negro,1,1,1,0,Lun. a Vie. 08:30hs a 16:30hs y 12:00hs a 20:00hs,Sáb. 08:30hs a 16:30hs y 12:00hs a 20:00hs,,-38.932632,-67.990458
4564,90049087,SERVICIOS DE PAGO CIPOLLETTI,MENGUELLE 467,CIPOLLETTI,Río Negro,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 20:30hs,Sáb. 08:30hs a 13:00hs ,,-38.935107,-68.000744
5829,8159564,AGL SEGUROS TRIUNFO CIPOLLETTI,SAN MARTIN 499,CIPOLLETTI,Río Negro,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-38.940518,-67.995245
6016,9749355,EL TONEL,MARIANO MORENO 460,CIPOLLETTI,Río Negro,0,1,1,0,Lun. a Vie. 10:00hs a 13:00hs y 18:00hs a 22:00hs,Sáb. 10:00hs a 14:00hs ,,-38.932066,-68.008422
6057,90001264,C.S. CIPOLLETTI,GRAL. ROCA 560,CIPOLLETTI,Río Negro,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 12:30hs ,,-38.939462,-67.994232
