IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
556,9902353,CORREO GENERAL ROCA,PTE GRAL J. A. ROCA 1462,GENERAL ROCA,Río Negro,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 19:00hs,,,-39.028825,-67.575918
1238,7049522,QUIOSCO ALE,MISIONES 977,GENERAL ROCA,Río Negro,0,1,1,0,Lun. a Vie. 09:15hs a 19:00hs ,Sáb. 09:15hs a 19:00hs ,,-39.03346588,-67.58522229
1742,12049026,KIOSCO ILIHUE,BME. MITRE 5407,GENERAL ROCA,Río Negro,0,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 10:00hs a 14:00hs ,-39.01960171,-67.6385739
2199,12049285,KIOSCO JAVIER,MITRE 387,GENERAL ROCA,Río Negro,0,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 09:00hs a 13:30hs ,,-39.02798935,-67.56982871
2950,11949195,POLIRUBRO ELIHUEN,VILLEGAS 2924,GENERAL ROCA,Río Negro,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 22:00hs,Sáb. 08:30hs a 13:00hs y 17:00hs a 22:00hs,,-38.92603,-67.99417
3046,11949208,KIOSCO VIBRA POSITIVA,AV. ROCA 552,GENERAL ROCA,Río Negro,0,1,1,0,Lun. a Vie. 07:30hs a 13:00hs y 15:30hs a 20:30hs,Sáb. 07:30hs a 13:00hs y 15:30hs a 20:30hs,,-39.039253,-67.578197
3105,12049629,QUIOSCO ALE II,CHULAVISTA 1550,GENERAL ROCA,Río Negro,0,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,,-39.038245,-67.57993
3564,12049908,KIOSCO RAFA,9 DE JULIO 581,GENERAL ROCA,Río Negro,1,1,1,0,Lun. a Vie. 08:30hs a 13:30hs y 16:30hs a 22:30hs,Sáb. 08:00hs a 13:00hs ,,-39.029813,-67.573262
3729,6427021,COOP. OBRERA GRAL. ROCA (62),LA PLATA 402,GENERAL ROCA,Río Negro,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 21:00hs,Sáb. 08:30hs a 13:00hs y 16:30hs a 21:00hs,Dom. 09:00hs a 13:00hs ,-39.027336,-67.558164
3725,6427019,COOP. OBRERA GRAL. ROCA (60),TUCUMAN 1330,GENERAL ROCA,Río Negro,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 21:30hs,Sáb. 08:30hs a 21:30hs ,Dom. 09:00hs a 13:00hs y 17:00hs a 21:30hs,-39.027304,-67.584393
3727,6427020,COOP. OBRERA GRAL. ROCA (61),TUCUMAN 358,GENERAL ROCA,Río Negro,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 21:30hs,Sáb. 08:30hs a 13:00hs y 16:30hs a 21:30hs,,-39.029181,-67.569445
4020,12449067,KIOSCO ALF,SAN JUAN 2767,GENERAL ROCA,Río Negro,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-39.011791,-67.584337
4042,12449072,KIOSCO SA-GA,AV. SAN JUAN 1815,GENERAL ROCA,Río Negro,1,1,1,0,Lun. a Vie. 08:00hs a 14:00hs y 17:30hs a 22:00hs,Sáb. 08:00hs a 14:00hs y 17:30hs a 22:00hs,,-39.023718,-67.586756
3976,12449050,KIOSCO LEON,TUCUMAN 1511,GENERAL ROCA,Río Negro,0,1,1,0,Lun. a Vie. 08:00hs a 14:00hs y 16:00hs a 21:00hs,Sáb. 08:00hs a 14:00hs ,,-39.027157,-67.585757
4774,11949525,MAXIKIOSCO LUNA,SAN JUAN 1771,GENERAL ROCA,Río Negro,0,1,1,0,Lun. a Vie. 10:00hs a 17:30hs ,Sáb. 10:00hs a 17:30hs ,,-39.02408,-67.586848
5875,90001250,C.S. GENERAL ROCA,TUCUMAN 942,GENERAL ROCA,Río Negro,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:30hs a 20:30hs,Sáb. 08:00hs a 13:00hs y 16:30hs a 20:30hs,,-39.028101,-67.578163
