IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
449,9902245,CORREO SALTA - C,DEAN FUNES GREGORIO 160,SALTA,Salta,1,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-24.78809722,-65.40805463
1049,11649050,CYBER CONEXION,ALVARADO 1373,SALTA,Salta,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 15:00hs a 21:00hs,Sáb. 09:30hs a 13:00hs ,,-24.79041,-65.420375
1215,10249313,AGENCIA TOMBOLA NUNEZ,SAN MARTIN 1706,SALTA,Salta,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 18:00hs a 20:00hs,,,-24.79237724,-65.42658508
919,9902741,CORREO AGENCIA POSTAL 2,GRAL. JUSTO JOSE DE URQUIZA 998,SALTA,Salta,1,0,1,0,Lun. a Vie. 08:00hs a 16:00hs ,,,-24.79185955,-65.4166221
971,90015013,C.S. LIBERTAD SALTA,MONS. TAVELLA Y EX COMB DE MALVINAS,SALTA,Salta,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,,-24.830427,-65.429915
984,9902774,CORREO CENTRO CIVICO GRAND BOURG,AV.DE LOS INCAS S/N,SALTA,Salta,1,0,1,0,Lun. a Vie. 08:00hs a 15:00hs ,,,-24.779101,-65.444384
1403,7449030,YEMINA MODA,LA RIOJA 2137,SALTA,Salta,0,1,1,0,Lun. a Vie. 09:30hs a 13:30hs y 18:30hs a 22:00hs,Sáb. 10:30hs a 13:30hs y 18:30hs a 22:00hs,Dom. 10:30hs a 13:30hs ,-24.79697771,-65.43280414
1407,8149159,SUCREDITO SALTA,BME. MITRE 296,SALTA,Salta,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-24.78643647,-65.41065035
1247,90003022,CHANGO MAS SALTA (WAL MART),AV. PARAGUAY 1450,SALTA,Salta,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-24.8044281,-65.418623
1251,9902800,CORREO AGENCIA CIUDAD JUDICIAL SALTA,AV. DR. BERNARDO HOUSSAY Y RIVADAVIA,SALTA,Salta,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs ,,,-24.782977,-65.411801
1622,5349233,DAMESCO I,AV. PARAGUAY 2550,SALTA,Salta,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:30hs a 22:00hs,Sáb. 08:00hs a 13:00hs y 16:30hs a 22:00hs,Dom. 09:00hs a 12:30hs ,-24.821075,-65.426588
