IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
129,90015006,C.S. LIBERTAD SAN JUAN,AV. CIRCUNVALACION Y S. ORTIZ,SAN JUAN,San Juan,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-31.52239,-68.542579
473,9902269,CORREO SAN JUAN,J. I. DE LA ROZA ESTE 223,SAN JUAN,San Juan,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-31.537066,-68.522631
953,6949163,LIBRERIA INTEGRAL DISTRIBUCIONES,SANTIAGO DEL ESTERO 224 SUR,SAN JUAN,San Juan,0,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 17:00hs a 20:30hs,Sáb. 09:00hs a 12:00hs ,,-31.53738858,-68.53303242
1323,8849824,LOCUTORIO FONOSHOP,RIVADAVIA 104,SAN JUAN,San Juan,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-31.536826,-68.527487
1774,8049183,SERVICIOS MOLINA,AV. IGNACIO DE LA ROZA 112 ESTE LOC 41,SAN JUAN,San Juan,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:30hs a 21:00hs,Sáb. 09:30hs a 13:00hs ,,-31.53708482,-68.52419816
2165,90001166,C.S. CARREFOUR SAN JUAN,GRAL. ACHA NORTE 32,SAN JUAN,San Juan,1,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 08:00hs a 21:00hs ,,-31.533603,-68.524844
2426,8118041,COREFIN (SAN JUAN),AV. LIB. GRAL SAN MARTIN 11 OESTE,SAN JUAN,San Juan,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 12:30hs ,,-31.571978,-68.545334
2833,9859000,AGL MINIMERKET VELASCO,MENDOZA 85,SAN JUAN,San Juan,0,0,1,0,Lun. a Vie. 08:00hs a 18:00hs ,,,-31.553726,-68.524346
3521,8149311,SAN JUAN SERVICIOS - COMERCIAL 3,MENDOZA SUR 99,SAN JUAN,San Juan,0,1,1,0,Lun. a Vie. 09:00hs a 12:30hs y 17:00hs a 20:00hs,Sáb. 09:00hs a 12:30hs ,,-31.535468,-68.525965
3338,5349353,PAGOS VEA - GRAL ACHA,GRAL. ACHA Y SATURNINO SARASSA,SAN JUAN,San Juan,1,1,1,0,Lun. a Vie. 09:00hs a 13:30hs y 16:30hs a 21:00hs,Sáb. 09:00hs a 13:00hs y 17:30hs a 20:30hs,,-31.55328,-68.507499
4687,10349114,J Y M REGIONALES,AV.LIBERTADOR GRAL SAN MARTIN 234,SAN JUAN,San Juan,1,1,1,0,Lun. a Vie. 10:00hs a 13:00hs y 18:00hs a 21:00hs,Sáb. 10:00hs a 13:00hs y 18:00hs a 21:00hs,,-31.532987,-68.547426
5761,90001243,C.S. SAN JUAN,AV. LIBERTADOR  ESTE  315 LOCAL  2,SAN JUAN,San Juan,1,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 13:00hs ,,-31.533933,-68.52146
5950,8149604,NORMA CRUZ PRODUCTORES ASESORES DE,SANTA FE 161 OESTE,SAN JUAN,San Juan,0,1,1,0,Lun. a Vie. 08:00hs a 14:00hs ,,,-31.539161,-68.527841
6089,8149662,CREDITO MAGICO SAN JUAN,LAPRIDA 83 ESTE,SAN JUAN,San Juan,1,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 17:00hs a 20:00hs,,,-31.535398,-68.524912
5419,8149484,ORGANIZACION DE SEGUROS CERRI ANTUNA,I. DE LA ROZA 517 (OESTE),SAN JUAN,San Juan,0,1,1,0,Lun. a Vie. 09:00hs a 17:00hs ,Sáb. 10:00hs a 12:30hs ,,-31.542819,-68.618536
