IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
470,9902266,CORREO SAN LUIS - C,SAN MARTIN 801,SAN LUIS,San Luis,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 20:00hs,,,-33.301771,-66.337022
611,9902410,CORREO SAN LUIS SUC. 1,PTE. J. D. PERON 1024,SAN LUIS,San Luis,1,0,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 19:00hs,,,-33.298355,-66.327179
1113,90003013,C. S. WAL MART SAN LUIS,AV. DEL FUNDADOR 1450,SAN LUIS,San Luis,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-33.29661,-66.302089
1698,8149187,BOSTON CRED,JUNIN 1050 LOC 19,SAN LUIS,San Luis,0,0,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 13:00hs y 16:30hs a 20:30hs,,-33.3022208,-66.33918457
1730,11849072,FARMACIA FRANZI,BARRIO 116 VIVIENDAS MZNA 267 CASA 8,SAN LUIS,San Luis,0,0,1,0,Lun. a Vie. 08:30hs a 23:00hs ,Sáb. 08:30hs a 23:00hs ,Dom. 10:00hs a 13:00hs ,-33.32328,-66.322982
2295,8049259,CREDIAN,PRINGLES 772,SAN LUIS,San Luis,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 21:00hs,,,-33.30279329,-66.33474386
2324,12249067,LOCUTORIO AYACUCHO,AYACUCHO 985,SAN LUIS,San Luis,1,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 08:30hs a 18:00hs ,,-33.30619057,-66.33701271
2893,8118042,COREFIN (SAN LUIS,PEATONAL RIVADAVIA 598,SAN LUIS,San Luis,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-33.304961,-66.335379
3252,12349026,LOCUTORIO ESPANA,ESPANA 900,SAN LUIS,San Luis,1,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-33.293189,-66.338547
3772,10349091,PAGOS SHOPPING,SAN LUIS SHOPPING LOCAL 17,SAN LUIS,San Luis,1,1,1,0,Lun. a Vie. 08:30hs a 22:00hs ,Sáb. 08:30hs a 22:00hs ,Dom. 08:30hs a 22:00hs ,-38.471972,-90.304931
3791,10349094,LOS ANDES,B 134 VIV-CERRO DE LA CRUZ MZNA 291 C12,SAN LUIS,San Luis,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-33.267298,-66.30393
4179,8749174,CENTRO INTEGRADOR MUNICIPAL 3RA ROTONDA,TERCERA ROTONDA S/N,SAN LUIS,San Luis,0,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-33.288564,-66.355184
5646,8149531,CAROLINA SILBA - AGENCIA DE SEGUROS,AV ESPANA 1034,SAN LUIS,San Luis,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:30hs a 20:30hs,,,-33.293306,-66.340485
