IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
566,9902363,CORREO VILLA MERCEDES,LEON GUILLET 31,VILLA MERCEDES,San Luis,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 19:00hs,,,-33.687905,-65.464721
226,5349088,SUPERMERCADO EUROPA,EUROPA 267,VILLA MERCEDES,San Luis,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs y 16:00hs a 20:00hs,,-33.68953733,-65.454823
730,9902560,CORREO VILLA MERCEDES (AG 1),DR. JUAN B. JUSTO 88,VILLA MERCEDES,San Luis,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-33.66371,-65.456642
1769,8149192,SERVICIOS FINANCIEROS BASTIANELLI Y ASOC,9 DE JULIO 510,VILLA MERCEDES,San Luis,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-33.684241,-65.459977
1808,12049089,EL KIOSCAZO,AV. 25 DE MAYO 524,VILLA MERCEDES,San Luis,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 20:00hs,Sáb. 10:00hs a 13:00hs ,,-33.682247,-65.471048
2013,7449064,POMONA S MODA,GONZALEZ TUNON 962,VILLA MERCEDES,San Luis,0,1,1,0,Lun. a Vie. 09:00hs a 14:00hs y 16:00hs a 20:30hs,,,-33.653545,-65.460411
2147,90001146,C.S. CARREFOUR VILLA MERCEDES SL,25 DE MAYO 876,VILLA MERCEDES,San Luis,1,1,1,0,Lun. a Vie. 08:30hs a 21:30hs ,Sáb. 08:30hs a 21:30hs ,,-33.67617,-65.467738
2441,8049286,BUONA FORTUNA,BUENOS AIRES  361,VILLA MERCEDES,San Luis,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 08:00hs a 14:00hs y 16:00hs a 21:00hs,,-33.68808,-65.459173
3608,8049346,CENTRO DE PAGOS V,LAVALLE 380,VILLA MERCEDES,San Luis,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 13:00hs ,,-33.686093,-65.465286
3290,10249787,PAGOS LA 500,VINUESA 1202 BARRIO 500 VIVIENDAS,VILLA MERCEDES,San Luis,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-33.694758,-65.441587
4380,5349384,CHANGO MAS VILLA MERCEDES,AV. PERON Y NECOCHEA LOCAL 1,VILLA MERCEDES,San Luis,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,Dom. 09:00hs a 20:00hs ,-33.680933,-65.452407
5630,8159478,AGL MONICA LUCERO SEGUROS,PUEYRREDON 786,VILLA MERCEDES,San Luis,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:00hs a 20:00hs,,,-33.67781,-65.468512
