IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
463,9902259,CORREO RIO GALLEGOS - C,AV. PTE DR. NESTOR C. KIRCHNER 893,RIO GALLEGOS,Santa Cruz,1,0,1,0,Lun. a Vie. 08:00hs a 16:30hs ,,,-51.62171,-69.214894
2117,90001136,C.S.CARREFOUR RIO GALLEGOS,AV. DR. NESTOR KIRCHNER 742,RIO GALLEGOS,Santa Cruz,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 18:00hs ,,-51.622811,-69.212929
2118,90001137,C.S.CARREFOUR RIO GALLEGOS II,PASEO DE LOS ARRIEROS 1098,RIO GALLEGOS,Santa Cruz,1,1,1,0,Lun. a Vie. 10:00hs a 18:00hs ,Sáb. 09:00hs a 17:00hs ,,-51.62788729,-69.24738229
3787,12049996,SANTA CRUZ COPIAS,JUAN DOMINGO PERON 195,RIO GALLEGOS,Santa Cruz,1,1,1,0,Lun. a Vie. 08:00hs a 20:30hs ,Sáb. 08:00hs a 20:30hs ,Dom. 16:00hs a 20:30hs ,-51.639362,-69.227955
3692,6449314,AMASOL I,CHILE 81,RIO GALLEGOS,Santa Cruz,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 18:30hs,,,-51.624368,-69.211631
4688,8149371,LIBRA SEGUROS,BERNARDINO RIVADAVIA 174,RIO GALLEGOS,Santa Cruz,1,1,1,0,Lun. a Vie. 09:30hs a 13:00hs y 15:30hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-51.621793,-69.219829
4745,11959119,AGL MORE TOR LIGTH,URQUIZA 283,RIO GALLEGOS,Santa Cruz,0,0,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,Dom. 09:00hs a 20:00hs ,-51.622429,-69.222311
4832,5449481,COMERCIAL SANTA CRUZ,ZAPIOLA 455,RIO GALLEGOS,Santa Cruz,0,1,1,0,Lun. a Vie. 09:00hs a 15:00hs y 12:00hs a 20:00hs,Sáb. 09:30hs a 16:00hs y 13:00hs a 20:00hs,,-51.619403,-69.222906
5931,8149596,LA SEGUNDA RIO GALLEGOS,RAWSON 83,RIO GALLEGOS,Santa Cruz,0,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-51.618331,-69.219948
5315,8149467,SEGUROS LIBRA II,CALLE 22 MZA 147,RIO GALLEGOS,Santa Cruz,1,1,1,0,Lun. a Vie. 09:00hs a 12:30hs y 16:00hs a 18:30hs,,,-51.648984,-69.280568
