IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
480,9902276,CORREO CANADA DE GOMEZ,SARMIENTO 96,CANADA DE GOMEZ,Santa Fe,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 19:30hs,,,-32.821533,-61.39220967
1672,5414001,GARCIA Y OLIVERO (CANADA DE GOMEZ),LAVALLE Y MORENO,CANADA DE GOMEZ,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 12:30hs ,,-32.819898,-61.396594
1506,5349222,SUPERMERCADO JOHANSEN,BELGRANO 432,CANADA DE GOMEZ,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:30hs a 21:00hs,Sáb. 08:00hs a 12:30hs y 16:30hs a 21:00hs,Dom. 08:00hs a 12:30hs y 16:30hs a 21:00hs,-32.81756578,-61.38707686
1919,6949345,ETCETERA,CAPDEVILA 1333,CANADA DE GOMEZ,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 15:30hs a 20:00hs,Sáb. 08:00hs a 12:00hs ,,-32.80673514,-61.39949335
4071,12449083,PINKY CEREBRO,SAN MARTIN 596,CANADA DE GOMEZ,Santa Fe,0,1,1,0,Lun. a Vie. 07:30hs a 23:30hs ,Sáb. 09:00hs a 13:00hs ,Dom. 17:00hs a 23:00hs ,-32.814065,-61.396746
4091,5449465,GARCIA Y OLIVERO (CANADA SUR),URQUIZA 1131,CANADA DE GOMEZ,Santa Fe,0,0,1,0,Lun. a Vie. 09:00hs a 12:00hs y 16:00hs a 20:00hs,,,-32.830913,-61.387362
4374,6449337,ASOCIACION MUTUAL AMOAC SERVICIOS,OCAMPO 955,CANADA DE GOMEZ,Santa Fe,1,1,1,0,Lun. a Vie. 08:00hs a 14:00hs y 16:00hs a 20:00hs,,,-32.818798,-61.395742
5723,12449370,MAXIKIOSCO ROJO,LAVALLE 1398,CANADA DE GOMEZ,Santa Fe,1,1,1,0,Lun. a Vie. 08:00hs a 20:30hs ,Sáb. 08:00hs a 20:30hs ,,-32.819082,-61.402173
5609,8149512,ORGANIZACION FALLERONI,LAVALLE 1244,CANADA DE GOMEZ,Santa Fe,1,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 15:30hs a 19:30hs,Sáb. 08:00hs a 12:00hs ,,-32.819474,-61.400008
4951,6359359,AGL AGENCIA ALFONSO,OCAMPO 949,CANADA DE GOMEZ,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 20:30hs,Sáb. 09:00hs a 12:30hs y 17:00hs a 20:30hs,,-32.818778,-61.39556
